job_id,customer_id,repair_date,repair_type,parts_changed,fault_code,fault_reason
JOB00046161,CUST00050057,2026-07-14,Emergency,Part_U2,F64,System error occurred due to component failure
JOB00046162,CUST00050058,2026-07-15,Emergency,Part_X6,F78,System error occurred due to component failure
JOB00046163,CUST00050059,2026-07-15,Emergency,Part_Y7,F11,System error occurred due to component failure
JOB00046164,CUST00050060,2026-07-15,Emergency,Part_Z17,F16,System error occurred due to component failure
JOB00046165,CUST00050061,2026-07-13,Emergency,Part_Q11,F78,System error occurred due to component failure
JOB00046166,CUST00050062,2026-07-12,Emergency,Part_A13,F53,System error occurred due to component failure
JOB00046167,CUST00050063,2026-07-11,Emergency,Part_F0,F44,System error occurred due to component failure
JOB00046168,CUST00050064,2026-07-09,Emergency,Part_Q15,F16,System error occurred due to component failure
JOB00046169,CUST00050065,2026-07-13,Emergency,Part_Y1,F16,System error occurred due to component failure
JOB00046170,CUST00050066,2026-07-14,Emergency,Part_Y7,F92,System error occurred due to component failure
JOB00046171,CUST00050067,2026-07-11,Emergency,Part_R9,F92,System error occurred due to component failure
JOB00046172,CUST00050068,2026-07-12,Emergency,Part_X6,F78,System error occurred due to component failure
JOB00046173,CUST00050069,2026-07-15,Emergency,Part_R9,F78,System error occurred due to component failure
JOB00046174,CUST00050070,2026-07-10,Emergency,Part_F8,F11,System error occurred due to component failure
JOB00046175,CUST00050071,2026-07-13,Emergency,Part_Q11,F73,System error occurred due to component failure
JOB00046176,CUST00050072,2026-07-15,Emergency,Part_L3,F64,System error occurred due to component failure
JOB00046177,CUST00050073,2026-07-14,Emergency,Part_C14,F59,System error occurred due to component failure
JOB00046178,CUST00050074,2026-07-14,Emergency,Part_F8,F78,System error occurred due to component failure
JOB00046179,CUST00050075,2026-07-15,Emergency,Part_L3,F78,System error occurred due to component failure
JOB00046180,CUST00050076,2026-07-12,Emergency,Part_Q11,F73,System error occurred due to component failure
JOB00046181,CUST00050077,2026-07-14,Emergency,Part_M10,F73,System error occurred due to component failure
JOB00046182,CUST00050078,2026-07-12,Emergency,Part_X6,F69,System error occurred due to component failure
JOB00046183,CUST00050079,2026-07-12,Emergency,Part_X6,F69,System error occurred due to component failure
JOB00046184,CUST00050080,2026-07-09,Emergency,Part_M10,F27,System error occurred due to component failure
JOB00046185,CUST00050081,2026-07-14,Emergency,Part_N19,F27,System error occurred due to component failure
JOB00046186,CUST00050082,2026-07-10,Emergency,Part_A13,F64,System error occurred due to component failure
JOB00046187,CUST00050083,2026-07-13,Emergency,Part_Q15,F27,System error occurred due to component failure
JOB00046188,CUST00050084,2026-07-14,Emergency,Part_A13,F16,System error occurred due to component failure
JOB00046189,CUST00050085,2026-07-13,Emergency,Part_N19,F16,System error occurred due to component failure
JOB00046190,CUST00050086,2026-07-09,Emergency,Part_Q11,F27,System error occurred due to component failure
JOB00046191,CUST00050087,2026-07-12,Emergency,Part_X6,F59,System error occurred due to component failure
JOB00046192,CUST00050088,2026-07-15,Emergency,Part_U2,F27,System error occurred due to component failure
JOB00046193,CUST00050089,2026-07-15,Emergency,Part_X6,F30,System error occurred due to component failure
JOB00046194,CUST00050090,2026-07-14,Emergency,Part_M10,F27,System error occurred due to component failure
JOB00046195,CUST00050091,2026-07-14,Emergency,Part_R9,F78,System error occurred due to component failure
JOB00046196,CUST00050092,2026-07-14,Emergency,Part_Q11,F44,System error occurred due to component failure
JOB00046197,CUST00050093,2026-07-13,Emergency,Part_Y1,F53,System error occurred due to component failure
JOB00046198,CUST00050094,2026-07-15,Emergency,Part_L3,F92,System error occurred due to component failure
JOB00046199,CUST00050095,2026-07-12,Emergency,Part_X6,F59,System error occurred due to component failure
JOB00046200,CUST00050096,2026-07-09,Emergency,Part_D18,F73,System error occurred due to component failure
JOB00046201,CUST00050097,2026-07-12,Emergency,Part_A13,F73,System error occurred due to component failure
JOB00046202,CUST00050098,2026-07-14,Emergency,Part_U2,F78,System error occurred due to component failure
JOB00046203,CUST00050099,2026-07-13,Emergency,Part_D18,F92,System error occurred due to component failure
JOB00046204,CUST00050100,2026-07-13,Emergency,Part_N19,F11,System error occurred due to component failure
JOB00046205,CUST00050101,2026-07-12,Emergency,Part_C12,F27,System error occurred due to component failure
JOB00046206,CUST00050102,2026-07-12,Emergency,Part_C14,F59,System error occurred due to component failure
JOB00046207,CUST00050103,2026-07-12,Emergency,Part_R16,F27,System error occurred due to component failure
JOB00046208,CUST00050104,2026-07-12,Emergency,Part_C14,F53,System error occurred due to component failure
JOB00046209,CUST00050105,2026-07-11,Emergency,Part_F0,F44,System error occurred due to component failure
JOB00046210,CUST00050106,2026-07-14,Emergency,Part_Z17,F73,System error occurred due to component failure
JOB00046211,CUST00050107,2026-07-13,Emergency,Part_F0,F73,System error occurred due to component failure
JOB00046212,CUST00050108,2026-07-12,Emergency,Part_U2,F73,System error occurred due to component failure
JOB00046213,CUST00050109,2026-07-10,Emergency,Part_Z17,F64,System error occurred due to component failure
JOB00046214,CUST00050110,2026-07-13,Emergency,Part_M10,F44,System error occurred due to component failure
JOB00046215,CUST00050111,2026-07-15,Emergency,Part_R16,F16,System error occurred due to component failure
JOB00046216,CUST00050112,2026-07-13,Emergency,Part_C14,F30,System error occurred due to component failure
JOB00046217,CUST00050113,2026-07-15,Emergency,Part_L3,F11,System error occurred due to component failure
JOB00046218,CUST00050114,2026-07-14,Emergency,Part_C12,F82,System error occurred due to component failure
JOB00046219,CUST00050115,2026-07-11,Emergency,Part_M10,F16,System error occurred due to component failure
JOB00046220,CUST00050116,2026-07-09,Emergency,Part_N19,F30,System error occurred due to component failure
JOB00046221,CUST00050117,2026-07-13,Emergency,Part_L3,F78,System error occurred due to component failure
JOB00046222,CUST00050118,2026-07-15,Emergency,Part_F8,F92,System error occurred due to component failure
JOB00046223,CUST00050119,2026-07-15,Emergency,Part_P4,F44,System error occurred due to component failure
JOB00046224,CUST00050120,2026-07-12,Emergency,Part_F8,F30,System error occurred due to component failure
JOB00046225,CUST00050121,2026-07-14,Emergency,Part_F8,F16,System error occurred due to component failure
JOB00046226,CUST00050122,2026-07-10,Emergency,Part_M10,F11,System error occurred due to component failure
JOB00046227,CUST00050123,2026-07-14,Emergency,Part_F0,F73,System error occurred due to component failure
JOB00046228,CUST00050124,2026-07-15,Emergency,Part_C14,F82,System error occurred due to component failure
JOB00046229,CUST00050125,2026-07-15,Emergency,Part_L3,F64,System error occurred due to component failure
JOB00046230,CUST00050126,2026-07-12,Emergency,Part_D18,F92,System error occurred due to component failure
JOB00046231,CUST00050127,2026-07-13,Emergency,Part_L3,F30,System error occurred due to component failure
JOB00046232,CUST00050128,2026-07-09,Emergency,Part_U2,F64,System error occurred due to component failure
JOB00046233,CUST00050129,2026-07-11,Emergency,Part_L3,F27,System error occurred due to component failure
JOB00046234,CUST00050130,2026-07-12,Emergency,Part_R16,F78,System error occurred due to component failure
JOB00046235,CUST00050131,2026-07-10,Emergency,Part_P4,F27,System error occurred due to component failure
JOB00046236,CUST00050132,2026-07-12,Emergency,Part_H5,F16,System error occurred due to component failure
JOB00046237,CUST00050133,2026-07-10,Emergency,Part_L3,F64,System error occurred due to component failure
JOB00046238,CUST00050134,2026-07-12,Emergency,Part_D18,F92,System error occurred due to component failure
JOB00046239,CUST00050135,2026-07-13,Emergency,Part_Z17,F78,System error occurred due to component failure
JOB00046240,CUST00050136,2026-07-13,Emergency,Part_F8,F27,System error occurred due to component failure
JOB00046241,CUST00050137,2026-07-12,Emergency,Part_U2,F69,System error occurred due to component failure
JOB00046242,CUST00050138,2026-07-15,Emergency,Part_P4,F27,System error occurred due to component failure
JOB00046243,CUST00050139,2026-07-12,Emergency,Part_Q15,F53,System error occurred due to component failure
JOB00046244,CUST00050140,2026-07-10,Emergency,Part_H5,F69,System error occurred due to component failure
JOB00046245,CUST00050141,2026-07-11,Emergency,Part_Y1,F11,System error occurred due to component failure
JOB00046246,CUST00050142,2026-07-14,Emergency,Part_H5,F27,System error occurred due to component failure
JOB00046247,CUST00050143,2026-07-13,Emergency,Part_U2,F78,System error occurred due to component failure
JOB00046248,CUST00050144,2026-07-13,Emergency,Part_R9,F53,System error occurred due to component failure
JOB00046249,CUST00050145,2026-07-09,Emergency,Part_X6,F78,System error occurred due to component failure
JOB00046250,CUST00050146,2026-07-12,Emergency,Part_M10,F78,System error occurred due to component failure
JOB00046251,CUST00050147,2026-07-10,Emergency,Part_H5,F73,System error occurred due to component failure
JOB00046252,CUST00050148,2026-07-14,Emergency,Part_U2,F92,System error occurred due to component failure
JOB00046253,CUST00050149,2026-07-10,Emergency,Part_A13,F27,System error occurred due to component failure
JOB00046254,CUST00050150,2026-07-11,Emergency,Part_P4,F82,System error occurred due to component failure
JOB00046255,CUST00050151,2026-07-11,Emergency,Part_L3,F92,System error occurred due to component failure
JOB00046256,CUST00050152,2026-07-12,Emergency,Part_P4,F11,System error occurred due to component failure
JOB00046257,CUST00050153,2026-07-10,Emergency,Part_M10,F59,System error occurred due to component failure
JOB00046258,CUST00050154,2026-07-12,Emergency,Part_U2,F69,System error occurred due to component failure
JOB00046259,CUST00050155,2026-07-09,Emergency,Part_X6,F16,System error occurred due to component failure
JOB00046260,CUST00050156,2026-07-12,Emergency,Part_D18,F27,System error occurred due to component failure
JOB00046261,CUST00050157,2026-07-13,Emergency,Part_C14,F11,System error occurred due to component failure
JOB00046262,CUST00050158,2026-07-11,Emergency,Part_X6,F11,System error occurred due to component failure
JOB00046263,CUST00050159,2026-07-15,Emergency,Part_P4,F11,System error occurred due to component failure
JOB00046264,CUST00050160,2026-07-10,Emergency,Part_R16,F82,System error occurred due to component failure
JOB00046265,CUST00050161,2026-07-13,Emergency,Part_F0,F53,System error occurred due to component failure
JOB00046266,CUST00050162,2026-07-12,Emergency,Part_C14,F30,System error occurred due to component failure
JOB00046267,CUST00050163,2026-07-13,Emergency,Part_F0,F78,System error occurred due to component failure
JOB00046268,CUST00050164,2026-07-09,Emergency,Part_M10,F78,System error occurred due to component failure
JOB00046269,CUST00050165,2026-07-09,Emergency,Part_F8,F73,System error occurred due to component failure
JOB00046270,CUST00050166,2026-07-15,Emergency,Part_R9,F16,System error occurred due to component failure
JOB00046271,CUST00050167,2026-07-14,Emergency,Part_Y7,F30,System error occurred due to component failure
JOB00046272,CUST00050168,2026-07-11,Emergency,Part_X6,F30,System error occurred due to component failure
JOB00046273,CUST00050169,2026-07-13,Emergency,Part_H5,F73,System error occurred due to component failure
JOB00046274,CUST00050170,2026-07-15,Emergency,Part_A13,F11,System error occurred due to component failure
JOB00046275,CUST00050171,2026-07-14,Emergency,Part_R9,F27,System error occurred due to component failure
JOB00046276,CUST00050172,2026-07-10,Emergency,Part_Q15,F44,System error occurred due to component failure
JOB00046277,CUST00050173,2026-07-09,Emergency,Part_U2,F30,System error occurred due to component failure
JOB00046278,CUST00050174,2026-07-11,Emergency,Part_C12,F59,System error occurred due to component failure
JOB00046279,CUST00050175,2026-07-10,Emergency,Part_U2,F53,System error occurred due to component failure
JOB00046280,CUST00050176,2026-07-12,Emergency,Part_L3,F92,System error occurred due to component failure
JOB00046281,CUST00050177,2026-07-10,Emergency,Part_R16,F78,System error occurred due to component failure
JOB00046282,CUST00050178,2026-07-12,Emergency,Part_M10,F78,System error occurred due to component failure
JOB00046283,CUST00050179,2026-07-10,Emergency,Part_D18,F69,System error occurred due to component failure
JOB00046284,CUST00050180,2026-07-13,Emergency,Part_P4,F59,System error occurred due to component failure
JOB00046285,CUST00050181,2026-07-15,Emergency,Part_C12,F73,System error occurred due to component failure
JOB00046286,CUST00050182,2026-07-12,Emergency,Part_X6,F64,System error occurred due to component failure
JOB00046287,CUST00050183,2026-07-13,Emergency,Part_R16,F27,System error occurred due to component failure
JOB00046288,CUST00050184,2026-07-11,Emergency,Part_U2,F78,System error occurred due to component failure
JOB00046289,CUST00050185,2026-07-11,Emergency,Part_D18,F69,System error occurred due to component failure
JOB00046290,CUST00050186,2026-07-13,Emergency,Part_M10,F78,System error occurred due to component failure
JOB00046291,CUST00050187,2026-07-15,Emergency,Part_F8,F78,System error occurred due to component failure
JOB00046292,CUST00050188,2026-07-13,Emergency,Part_Y7,F11,System error occurred due to component failure
JOB00046293,CUST00050189,2026-07-15,Emergency,Part_H5,F44,System error occurred due to component failure
JOB00046294,CUST00050190,2026-07-15,Emergency,Part_C12,F64,System error occurred due to component failure
JOB00046295,CUST00050191,2026-07-11,Emergency,Part_A13,F78,System error occurred due to component failure
JOB00046296,CUST00050192,2026-07-10,Emergency,Part_Y7,F30,System error occurred due to component failure
JOB00046297,CUST00050193,2026-07-11,Emergency,Part_X6,F16,System error occurred due to component failure
JOB00046298,CUST00050194,2026-07-15,Emergency,Part_Y1,F69,System error occurred due to component failure
JOB00046299,CUST00050195,2026-07-15,Emergency,Part_P4,F78,System error occurred due to component failure
JOB00046300,CUST00050196,2026-07-09,Emergency,Part_H5,F11,System error occurred due to component failure
JOB00046301,CUST00050197,2026-07-13,Emergency,Part_U2,F27,System error occurred due to component failure
JOB00046302,CUST00050198,2026-07-13,Emergency,Part_U2,F78,System error occurred due to component failure
JOB00046303,CUST00050199,2026-07-11,Emergency,Part_F0,F16,System error occurred due to component failure
JOB00046304,CUST00050200,2026-07-13,Emergency,Part_H5,F30,System error occurred due to component failure
JOB00046305,CUST00050201,2026-07-12,Emergency,Part_X6,F78,System error occurred due to component failure
JOB00046306,CUST00050202,2026-07-11,Emergency,Part_N19,F92,System error occurred due to component failure
JOB00046307,CUST00050203,2026-07-13,Emergency,Part_A13,F92,System error occurred due to component failure
JOB00046308,CUST00050204,2026-07-09,Emergency,Part_Y1,F44,System error occurred due to component failure
JOB00046309,CUST00050205,2026-07-12,Emergency,Part_D18,F44,System error occurred due to component failure
JOB00046310,CUST00050206,2026-07-15,Emergency,Part_A13,F59,System error occurred due to component failure
JOB00046311,CUST00050207,2026-07-12,Emergency,Part_Q11,F44,System error occurred due to component failure
JOB00046312,CUST00050208,2026-07-10,Emergency,Part_H5,F59,System error occurred due to component failure
JOB00046313,CUST00050209,2026-07-15,Emergency,Part_P4,F78,System error occurred due to component failure
JOB00046314,CUST00050210,2026-07-13,Emergency,Part_U2,F11,System error occurred due to component failure
JOB00046315,CUST00050211,2026-07-11,Emergency,Part_U2,F73,System error occurred due to component failure
JOB00046316,CUST00050212,2026-07-12,Emergency,Part_Q15,F27,System error occurred due to component failure
JOB00046317,CUST00050213,2026-07-12,Emergency,Part_A13,F69,System error occurred due to component failure
JOB00046318,CUST00050214,2026-07-11,Emergency,Part_D18,F27,System error occurred due to component failure
JOB00046319,CUST00050215,2026-07-13,Emergency,Part_F8,F11,System error occurred due to component failure
JOB00046320,CUST00050216,2026-07-10,Emergency,Part_H5,F53,System error occurred due to component failure
JOB00046321,CUST00050217,2026-07-11,Emergency,Part_Y7,F78,System error occurred due to component failure
JOB00046322,CUST00050218,2026-07-15,Emergency,Part_R16,F44,System error occurred due to component failure
JOB00046323,CUST00050219,2026-07-11,Emergency,Part_F8,F53,System error occurred due to component failure
JOB00046324,CUST00050220,2026-07-10,Emergency,Part_F8,F82,System error occurred due to component failure
JOB00046325,CUST00050221,2026-07-15,Emergency,Part_F0,F11,System error occurred due to component failure
JOB00046326,CUST00050222,2026-07-12,Emergency,Part_Y1,F16,System error occurred due to component failure
JOB00046327,CUST00050223,2026-07-12,Emergency,Part_U2,F11,System error occurred due to component failure
JOB00046328,CUST00050224,2026-07-15,Emergency,Part_Y1,F44,System error occurred due to component failure
JOB00046329,CUST00050225,2026-07-11,Emergency,Part_R16,F11,System error occurred due to component failure
JOB00046330,CUST00050226,2026-07-10,Emergency,Part_C14,F44,System error occurred due to component failure
JOB00046331,CUST00050227,2026-07-15,Emergency,Part_Z17,F11,System error occurred due to component failure
JOB00046332,CUST00050228,2026-07-09,Emergency,Part_D18,F11,System error occurred due to component failure
JOB00046333,CUST00050229,2026-07-15,Emergency,Part_P4,F30,System error occurred due to component failure
JOB00046334,CUST00050230,2026-07-12,Emergency,Part_A13,F78,System error occurred due to component failure
JOB00046335,CUST00050231,2026-07-14,Emergency,Part_H5,F44,System error occurred due to component failure
JOB00046336,CUST00050232,2026-07-11,Emergency,Part_L3,F73,System error occurred due to component failure
JOB00046337,CUST00050233,2026-07-15,Emergency,Part_R9,F69,System error occurred due to component failure
JOB00046338,CUST00050234,2026-07-14,Emergency,Part_Y1,F78,System error occurred due to component failure
JOB00046339,CUST00050235,2026-07-11,Emergency,Part_F8,F73,System error occurred due to component failure
JOB00046340,CUST00050236,2026-07-11,Emergency,Part_R9,F92,System error occurred due to component failure
JOB00046341,CUST00050237,2026-07-15,Emergency,Part_H5,F44,System error occurred due to component failure
JOB00046342,CUST00050238,2026-07-15,Emergency,Part_C14,F64,System error occurred due to component failure
JOB00046343,CUST00050239,2026-07-15,Emergency,Part_C14,F69,System error occurred due to component failure
JOB00046344,CUST00050240,2026-07-14,Emergency,Part_X6,F53,System error occurred due to component failure
JOB00046345,CUST00050241,2026-07-14,Emergency,Part_Y7,F59,System error occurred due to component failure
JOB00046346,CUST00050242,2026-07-10,Emergency,Part_H5,F78,System error occurred due to component failure
JOB00046347,CUST00050243,2026-07-10,Emergency,Part_Y1,F27,System error occurred due to component failure
JOB00046348,CUST00050244,2026-07-09,Emergency,Part_N19,F92,System error occurred due to component failure
JOB00046349,CUST00050245,2026-07-09,Emergency,Part_Q11,F92,System error occurred due to component failure
JOB00046350,CUST00050246,2026-07-11,Emergency,Part_D18,F78,System error occurred due to component failure
JOB00046351,CUST00050247,2026-07-14,Emergency,Part_D18,F16,System error occurred due to component failure
JOB00046352,CUST00050248,2026-07-13,Emergency,Part_Y7,F69,System error occurred due to component failure
JOB00046353,CUST00050249,2026-07-10,Emergency,Part_Q15,F44,System error occurred due to component failure
JOB00046354,CUST00050250,2026-07-12,Emergency,Part_H5,F44,System error occurred due to component failure
JOB00046355,CUST00050251,2026-07-12,Emergency,Part_C14,F69,System error occurred due to component failure
JOB00046356,CUST00050252,2026-07-12,Emergency,Part_N19,F53,System error occurred due to component failure
JOB00046357,CUST00050253,2026-07-10,Emergency,Part_Q11,F59,System error occurred due to component failure
JOB00046358,CUST00050254,2026-07-10,Emergency,Part_L3,F30,System error occurred due to component failure
JOB00046359,CUST00050255,2026-07-15,Emergency,Part_L3,F92,System error occurred due to component failure
JOB00046360,CUST00050256,2026-07-15,Emergency,Part_H5,F64,System error occurred due to component failure
JOB00046361,CUST00050257,2026-07-09,Emergency,Part_Y1,F30,System error occurred due to component failure
JOB00046362,CUST00050258,2026-07-15,Emergency,Part_P4,F11,System error occurred due to component failure
JOB00046363,CUST00050259,2026-07-13,Emergency,Part_F0,F59,System error occurred due to component failure
JOB00046364,CUST00050260,2026-07-14,Emergency,Part_P4,F82,System error occurred due to component failure
JOB00046365,CUST00050261,2026-07-11,Emergency,Part_U2,F73,System error occurred due to component failure
JOB00046366,CUST00050262,2026-07-12,Emergency,Part_Q11,F11,System error occurred due to component failure
JOB00046367,CUST00050263,2026-07-11,Emergency,Part_Y7,F92,System error occurred due to component failure
JOB00046368,CUST00050264,2026-07-11,Emergency,Part_Y1,F69,System error occurred due to component failure
JOB00046369,CUST00050265,2026-07-11,Emergency,Part_F0,F30,System error occurred due to component failure
JOB00046370,CUST00050266,2026-07-11,Emergency,Part_R9,F16,System error occurred due to component failure
JOB00046371,CUST00050267,2026-07-10,Emergency,Part_C14,F59,System error occurred due to component failure
JOB00046372,CUST00050268,2026-07-11,Emergency,Part_X6,F53,System error occurred due to component failure
JOB00046373,CUST00050269,2026-07-11,Emergency,Part_Z17,F69,System error occurred due to component failure
JOB00046374,CUST00050270,2026-07-10,Emergency,Part_Z17,F82,System error occurred due to component failure
JOB00046375,CUST00050271,2026-07-09,Emergency,Part_D18,F64,System error occurred due to component failure
JOB00046376,CUST00050272,2026-07-11,Emergency,Part_X6,F44,System error occurred due to component failure
JOB00046377,CUST00050273,2026-07-11,Emergency,Part_Q11,F78,System error occurred due to component failure
JOB00046378,CUST00050274,2026-07-13,Emergency,Part_N19,F73,System error occurred due to component failure
JOB00046379,CUST00050275,2026-07-11,Emergency,Part_C12,F44,System error occurred due to component failure
JOB00046380,CUST00050276,2026-07-13,Emergency,Part_X6,F11,System error occurred due to component failure
JOB00046381,CUST00050277,2026-07-15,Emergency,Part_P4,F16,System error occurred due to component failure
JOB00046382,CUST00050278,2026-07-10,Emergency,Part_R16,F27,System error occurred due to component failure
JOB00046383,CUST00050279,2026-07-13,Emergency,Part_D18,F64,System error occurred due to component failure
JOB00046384,CUST00050280,2026-07-14,Emergency,Part_P4,F92,System error occurred due to component failure
JOB00046385,CUST00050281,2026-07-10,Emergency,Part_R16,F27,System error occurred due to component failure
JOB00046386,CUST00050282,2026-07-14,Emergency,Part_H5,F27,System error occurred due to component failure
JOB00046387,CUST00050283,2026-07-14,Emergency,Part_A13,F69,System error occurred due to component failure
JOB00046388,CUST00050284,2026-07-11,Emergency,Part_N19,F69,System error occurred due to component failure
JOB00046389,CUST00050285,2026-07-13,Emergency,Part_R16,F92,System error occurred due to component failure
JOB00046390,CUST00050286,2026-07-11,Emergency,Part_A13,F59,System error occurred due to component failure
JOB00046391,CUST00050287,2026-07-11,Emergency,Part_A13,F27,System error occurred due to component failure
JOB00046392,CUST00050288,2026-07-10,Emergency,Part_Q11,F27,System error occurred due to component failure
JOB00046393,CUST00050289,2026-07-11,Emergency,Part_P4,F78,System error occurred due to component failure
JOB00046394,CUST00050290,2026-07-14,Emergency,Part_N19,F78,System error occurred due to component failure
JOB00046395,CUST00050291,2026-07-15,Emergency,Part_Q11,F82,System error occurred due to component failure
JOB00046396,CUST00050292,2026-07-10,Emergency,Part_A13,F27,System error occurred due to component failure
JOB00046397,CUST00050293,2026-07-10,Emergency,Part_X6,F27,System error occurred due to component failure
JOB00046398,CUST00050294,2026-07-10,Emergency,Part_D18,F53,System error occurred due to component failure
JOB00046399,CUST00050295,2026-07-10,Emergency,Part_M10,F16,System error occurred due to component failure
JOB00046400,CUST00050296,2026-07-12,Emergency,Part_L3,F73,System error occurred due to component failure
JOB00046401,CUST00050297,2026-07-14,Emergency,Part_R9,F27,System error occurred due to component failure
JOB00046402,CUST00050298,2026-07-14,Emergency,Part_Q11,F78,System error occurred due to component failure
JOB00046403,CUST00050299,2026-07-13,Emergency,Part_C12,F59,System error occurred due to component failure
JOB00046404,CUST00050300,2026-07-13,Emergency,Part_P4,F16,System error occurred due to component failure
JOB00046405,CUST00050301,2026-07-14,Emergency,Part_P4,F69,System error occurred due to component failure
JOB00046406,CUST00050302,2026-07-14,Emergency,Part_N19,F64,System error occurred due to component failure
JOB00046407,CUST00050303,2026-07-11,Emergency,Part_Q15,F78,System error occurred due to component failure
JOB00046408,CUST00050304,2026-07-15,Emergency,Part_F0,F82,System error occurred due to component failure
JOB00046409,CUST00050305,2026-07-11,Emergency,Part_L3,F27,System error occurred due to component failure
JOB00046410,CUST00050306,2026-07-15,Emergency,Part_N19,F69,System error occurred due to component failure
JOB00046411,CUST00050307,2026-07-15,Emergency,Part_Y7,F64,System error occurred due to component failure
JOB00046412,CUST00050308,2026-07-11,Emergency,Part_Q11,F11,System error occurred due to component failure
JOB00046413,CUST00050309,2026-07-10,Emergency,Part_Q11,F78,System error occurred due to component failure
JOB00046414,CUST00050310,2026-07-11,Emergency,Part_F8,F73,System error occurred due to component failure
JOB00046415,CUST00050311,2026-07-15,Emergency,Part_C12,F16,System error occurred due to component failure
JOB00046416,CUST00050312,2026-07-11,Emergency,Part_Y1,F92,System error occurred due to component failure
JOB00046417,CUST00050313,2026-07-12,Emergency,Part_F8,F73,System error occurred due to component failure
JOB00046418,CUST00050314,2026-07-14,Emergency,Part_F0,F78,System error occurred due to component failure
JOB00046419,CUST00050315,2026-07-09,Emergency,Part_U2,F16,System error occurred due to component failure
JOB00046420,CUST00050316,2026-07-14,Emergency,Part_C12,F44,System error occurred due to component failure
JOB00046421,CUST00050317,2026-07-09,Emergency,Part_P4,F78,System error occurred due to component failure
JOB00046422,CUST00050318,2026-07-10,Emergency,Part_Y7,F73,System error occurred due to component failure
JOB00046423,CUST00050319,2026-07-14,Emergency,Part_X6,F92,System error occurred due to component failure
JOB00046424,CUST00050320,2026-07-09,Emergency,Part_C12,F16,System error occurred due to component failure
JOB00046425,CUST00050321,2026-07-15,Emergency,Part_C12,F78,System error occurred due to component failure
JOB00046426,CUST00050322,2026-07-10,Emergency,Part_Y7,F69,System error occurred due to component failure
JOB00046427,CUST00050323,2026-07-11,Emergency,Part_R9,F59,System error occurred due to component failure
JOB00046428,CUST00050324,2026-07-09,Emergency,Part_N19,F78,System error occurred due to component failure
JOB00046429,CUST00050325,2026-07-12,Emergency,Part_F8,F16,System error occurred due to component failure
JOB00046430,CUST00050326,2026-07-12,Emergency,Part_C14,F53,System error occurred due to component failure
JOB00046431,CUST00050327,2026-07-12,Emergency,Part_F8,F27,System error occurred due to component failure
JOB00046432,CUST00050328,2026-07-12,Emergency,Part_N19,F78,System error occurred due to component failure
