pincode,customer_id,epc_rating,current_energy_efficiency,potential_energy_efficiency
PC2300,CUST00100325,G,59,81
PC2913,CUST00070205,F,83,68
PC4737,CUST00109562,E,77,84
PC9084,CUST00098560,E,87,85
PC2985,CUST00174334,F,6,81
PC1429,CUST00215863,E,85,84
PC1720,CUST00202352,E,17,59
PC8013,CUST00031529,D,79,97
PC4207,CUST00170424,E,54,87
PC4750,CUST00179615,A,13,52
PC3627,CUST00233676,D,21,77
PC6385,CUST00078255,E,32,60
PC7980,CUST00160160,F,43,87
PC7336,CUST00237634,A,64,67
PC2667,CUST00011093,C,36,83
PC3268,CUST00084862,D,75,68
PC1213,CUST00070306,C,60,58
PC8457,CUST00105593,E,31,69
PC1013,CUST00029437,F,79,95
PC8192,CUST00148388,B,45,72
PC5759,CUST00173907,D,93,88
PC8952,CUST00235921,F,92,97
PC5764,CUST00202934,A,41,95
PC4946,CUST00262345,G,8,95
PC1213,CUST00210340,A,46,71
PC1703,CUST00025439,D,1,88
PC7031,CUST00117332,C,11,58
PC2153,CUST00129560,C,34,93
PC3164,CUST00184304,E,4,68
PC2810,CUST00081620,F,70,84
PC8833,CUST00107350,F,23,68
PC5605,CUST00203414,F,36,88
PC2657,CUST00057783,F,26,50
PC8274,CUST00013405,A,42,93
PC7803,CUST00151320,C,8,75
PC8759,CUST00025980,E,93,92
PC6922,CUST00209932,C,28,61
PC9196,CUST00181173,E,46,91
PC4959,CUST00209185,F,4,71
PC6169,CUST00088587,G,90,71
PC7210,CUST00078164,B,27,54
PC9531,CUST00149229,D,78,57
PC8384,CUST00128942,A,39,51
PC1297,CUST00107945,B,5,76
PC8632,CUST00136331,F,42,63
PC9970,CUST00006336,F,46,55
PC7400,CUST00211242,G,10,87
PC4532,CUST00155462,C,72,52
PC5840,CUST00207256,A,64,65
PC6010,CUST00118270,G,74,72
PC5011,CUST00110582,F,71,61
PC2384,CUST00262559,C,52,63
PC4192,CUST00121084,B,70,81
PC9140,CUST00188746,E,70,80
PC9728,CUST00254798,B,63,87
PC9713,CUST00008473,B,67,70
PC6651,CUST00181332,D,40,72
PC9754,CUST00151851,D,15,93
PC1800,CUST00025885,B,75,88
PC1473,CUST00131047,E,60,69
PC7062,CUST00255989,B,64,97
PC3660,CUST00153143,G,88,89
PC6602,CUST00172535,G,37,88
PC1660,CUST00220176,G,46,57
PC3256,CUST00250026,A,54,82
PC7639,CUST00055145,A,21,65
PC5933,CUST00012357,C,4,82
PC5846,CUST00056342,D,98,58
PC8468,CUST00108199,D,35,80
PC9581,CUST00070675,D,79,83
PC1504,CUST00146164,F,13,52
PC1460,CUST00156345,B,13,62
PC9703,CUST00182792,G,88,85
PC8420,CUST00244044,D,63,70
PC4627,CUST00255960,E,12,59
PC6771,CUST00098862,G,56,51
PC7681,CUST00220123,F,7,94
PC1805,CUST00199026,C,16,76
PC6876,CUST00041122,C,58,88
PC1003,CUST00058869,C,54,81
PC7148,CUST00177305,B,26,90
PC6691,CUST00074674,B,63,67
PC9583,CUST00259836,C,50,98
PC1771,CUST00075816,E,66,92
PC6332,CUST00027893,B,7,86
PC5954,CUST00222256,A,44,95
PC4546,CUST00080765,A,60,68
PC5956,CUST00022159,G,22,85
PC7282,CUST00120932,A,79,70
PC9298,CUST00234670,B,35,62
PC4350,CUST00031752,G,15,67
PC4430,CUST00069310,D,99,57
PC1572,CUST00131591,A,54,51
PC7276,CUST00137992,B,91,80
PC5848,CUST00030922,E,95,91
PC6001,CUST00173755,D,1,58
PC6233,CUST00057131,C,90,57
PC8469,CUST00171333,E,7,94
PC6054,CUST00242227,E,95,82
PC5182,CUST00259008,F,34,69
PC8359,CUST00019817,D,97,62
PC3029,CUST00045341,G,58,74
PC5878,CUST00079613,D,66,70
PC2620,CUST00193258,E,47,54
PC1496,CUST00106924,E,13,94
PC5495,CUST00146407,B,89,68
PC4686,CUST00141065,B,58,84
PC1252,CUST00162268,C,58,94
PC2836,CUST00142393,B,47,60
PC7954,CUST00103095,E,21,56
PC1922,CUST00197297,C,38,82
PC5655,CUST00208006,G,22,61
PC3518,CUST00116783,C,46,59
PC9172,CUST00251991,C,99,50
PC9557,CUST00138261,F,94,50
PC5535,CUST00041385,B,83,78
PC1424,CUST00240320,E,58,97
PC8421,CUST00171486,C,20,85
PC6062,CUST00252484,B,97,87
PC9169,CUST00205395,B,11,91
PC3514,CUST00170911,E,53,53
PC7483,CUST00062080,E,71,77
PC4568,CUST00187082,C,26,76
PC5353,CUST00026081,G,80,77
PC4008,CUST00200966,E,33,70
PC2250,CUST00119849,G,30,75
PC2197,CUST00200065,C,61,65
PC1917,CUST00127110,E,39,76
PC8540,CUST00209373,D,73,70
PC8513,CUST00004325,B,44,69
PC1389,CUST00113303,B,93,94
PC7644,CUST00032512,B,75,66
PC2707,CUST00079787,A,59,92
PC9677,CUST00126520,G,94,92
PC3082,CUST00009619,G,30,96
PC5355,CUST00131801,A,99,89
PC1933,CUST00088474,D,69,54
PC5226,CUST00056675,F,16,82
PC4042,CUST00110508,G,93,72
PC1590,CUST00218176,B,58,64
PC4459,CUST00013063,D,36,73
PC4043,CUST00082406,F,75,93
PC8379,CUST00238212,E,7,91
PC6183,CUST00120397,F,34,98
PC2759,CUST00035476,D,88,86
PC1589,CUST00173394,F,21,69
PC5982,CUST00209652,D,32,69
PC3248,CUST00176383,B,9,65
PC5786,CUST00217619,C,90,78
PC7633,CUST00253405,B,42,94
PC1596,CUST00089582,A,66,96
PC9210,CUST00224726,A,54,68
PC5440,CUST00212052,A,44,89
PC7601,CUST00240043,B,76,99
PC6110,CUST00108548,B,83,60
PC4507,CUST00217386,C,68,82
PC9293,CUST00237407,A,15,51
PC4728,CUST00174624,G,84,89
PC8937,CUST00039894,F,6,88
PC4598,CUST00077279,E,90,72
PC7917,CUST00199698,D,94,77
PC5737,CUST00114937,F,51,50
PC9339,CUST00122888,D,3,88
PC9892,CUST00075561,F,80,83
PC7040,CUST00038241,A,17,84
PC4189,CUST00267232,A,48,80
PC6031,CUST00151266,E,85,99
PC1461,CUST00070734,E,76,86
PC9493,CUST00035777,F,23,87
PC4467,CUST00222299,B,95,56
PC8897,CUST00179899,E,92,83
PC2963,CUST00065287,E,60,86
PC2202,CUST00173062,E,41,51
PC6254,CUST00086790,C,37,91
PC4777,CUST00104819,F,76,59
PC4959,CUST00118343,C,22,75
PC7833,CUST00163892,C,11,64
PC3688,CUST00270335,G,66,94
PC9798,CUST00175073,G,61,75
PC1115,CUST00034766,G,44,89
PC7976,CUST00188298,D,53,90
PC7389,CUST00220383,B,18,64
PC3656,CUST00188678,D,76,85
PC9274,CUST00099889,G,88,97
PC1668,CUST00155015,D,21,65
PC1900,CUST00175097,F,11,53
PC2784,CUST00164501,D,10,63
PC3518,CUST00171180,F,61,96
PC1265,CUST00127140,F,21,83
PC7232,CUST00026622,E,86,59
PC9844,CUST00045896,E,6,78
PC2210,CUST00254286,B,34,52
PC3209,CUST00059833,C,94,52
PC3876,CUST00106314,E,48,67
PC2973,CUST00003446,E,52,50
PC8114,CUST00259299,F,40,89
PC9443,CUST00111550,C,93,50
PC3330,CUST00021805,E,67,62
PC4182,CUST00064799,B,36,62
PC6641,CUST00227584,E,86,97
PC4173,CUST00144917,B,36,60
PC4535,CUST00163420,D,77,87
PC1163,CUST00219463,A,84,83
PC5612,CUST00221998,E,64,94
PC8924,CUST00079671,C,52,87
PC4290,CUST00243164,G,65,79
PC2974,CUST00022393,D,41,63
PC2897,CUST00206265,D,16,85
PC7967,CUST00182286,G,71,95
PC7124,CUST00029078,A,68,59
PC2872,CUST00136474,F,20,76
PC9818,CUST00233182,C,92,77
PC4260,CUST00197460,C,17,69
PC9040,CUST00033696,A,87,80
PC5869,CUST00026126,B,45,62
PC5841,CUST00179410,E,63,55
PC1226,CUST00012564,G,53,61
PC1538,CUST00241472,F,49,65
PC6853,CUST00218281,F,62,54
PC3637,CUST00242564,B,13,95
PC4470,CUST00059306,B,19,87
PC8315,CUST00127929,E,33,88
PC4844,CUST00100234,A,22,50
PC4564,CUST00153843,A,2,60
PC6279,CUST00187527,C,92,98
PC5871,CUST00139869,G,19,60
PC4246,CUST00080245,F,90,66
PC9252,CUST00253297,F,55,87
PC6926,CUST00050879,A,60,87
PC6426,CUST00185079,C,84,88
PC7593,CUST00079093,G,79,91
PC2908,CUST00088595,G,41,92
PC5445,CUST00143926,B,75,61
PC4466,CUST00045329,F,52,97
PC6130,CUST00200175,E,43,79
PC6614,CUST00025124,F,96,60
PC1633,CUST00184857,E,97,58
PC3593,CUST00120046,G,23,95
PC7760,CUST00114284,B,33,83
PC3825,CUST00038706,F,74,76
PC5461,CUST00102802,F,8,53
PC7398,CUST00070761,B,99,99
PC8873,CUST00190982,A,57,54
PC3565,CUST00155768,D,86,52
PC7760,CUST00075809,A,16,96
PC3108,CUST00128418,G,68,73
PC6405,CUST00111382,G,50,70
PC2908,CUST00180475,C,27,94
PC4326,CUST00077230,C,71,77
PC8526,CUST00115439,E,18,59
PC7410,CUST00241637,G,3,79
PC3876,CUST00089724,D,6,79
PC9338,CUST00199636,C,83,59
PC9416,CUST00246619,E,17,71
PC9195,CUST00042763,C,74,70
PC6776,CUST00197589,C,66,77
PC2224,CUST00100703,F,71,95
PC3333,CUST00262957,C,55,97
PC9156,CUST00123308,G,95,81
PC3841,CUST00219084,A,84,61
PC7557,CUST00252168,E,2,83
PC7329,CUST00098812,F,71,63
PC8809,CUST00155360,E,68,67
PC8535,CUST00254932,F,95,92
PC6671,CUST00131588,F,70,95
PC7342,CUST00114604,A,93,73
PC9709,CUST00053890,C,37,87
PC9305,CUST00017209,A,87,79
PC4126,CUST00146372,E,69,96
PC4104,CUST00181807,C,4,75
PC3253,CUST00221982,B,2,76
PC1587,CUST00189726,D,94,79
PC5758,CUST00203777,B,77,86
PC8017,CUST00067131,F,14,80
PC3015,CUST00018889,F,16,90
PC8689,CUST00159812,D,26,64
PC7455,CUST00184760,F,96,72
PC1795,CUST00091683,C,86,68
PC9077,CUST00218819,E,38,78
PC2456,CUST00233904,C,42,68
PC8001,CUST00002853,C,88,81
PC7021,CUST00122609,B,71,72
PC5525,CUST00138817,F,9,70
PC6631,CUST00213871,E,52,72
PC9763,CUST00264114,A,45,75
PC1246,CUST00066029,F,72,84
PC6681,CUST00057825,E,24,94
PC8411,CUST00106584,B,17,61
PC1785,CUST00257142,G,41,95
PC7573,CUST00061383,A,30,89
PC6898,CUST00030118,C,26,77
PC8656,CUST00051082,F,90,59
PC9388,CUST00210169,D,32,67
PC5322,CUST00138520,A,23,59
PC6774,CUST00055032,E,17,77
PC6919,CUST00105529,C,56,50
PC3412,CUST00127220,A,54,54
PC6764,CUST00246070,F,86,72
PC8240,CUST00233101,D,47,50
PC9762,CUST00262931,C,91,92
PC1876,CUST00118943,G,2,69
PC6555,CUST00183328,E,11,85
PC4069,CUST00245249,C,89,82
PC7271,CUST00201748,B,70,65
PC5200,CUST00061764,C,49,93
PC5120,CUST00178712,A,44,98
PC7592,CUST00179357,F,36,92
PC5621,CUST00042817,G,17,77
PC9185,CUST00012488,C,66,77
PC9481,CUST00156756,D,98,92
PC3229,CUST00042936,F,56,70
PC7417,CUST00224985,G,98,96
PC9555,CUST00194963,D,65,76
PC8880,CUST00117476,D,30,66
PC5807,CUST00110653,A,83,99
PC8461,CUST00173082,B,45,94
PC7368,CUST00199664,C,89,97
PC4894,CUST00043982,B,91,91
PC4130,CUST00263336,E,78,79
PC4345,CUST00271686,C,3,90
PC5582,CUST00107887,E,17,93
PC4275,CUST00022224,G,13,60
PC4726,CUST00017849,F,31,71
PC5022,CUST00244520,B,56,88
PC6521,CUST00149631,F,65,73
PC9346,CUST00104296,C,73,87
PC6231,CUST00095622,G,47,65
PC1624,CUST00232984,A,91,78
PC4738,CUST00146968,D,64,71
PC9843,CUST00248888,B,91,96
PC1880,CUST00039575,G,25,71
PC1849,CUST00157505,B,64,72
PC9869,CUST00120135,F,79,76
PC4688,CUST00123392,F,36,58
PC4361,CUST00268273,A,68,60
PC7013,CUST00097050,F,36,84
PC5226,CUST00042197,G,28,96
PC2820,CUST00011513,G,29,95
PC3345,CUST00005743,D,66,67
PC5790,CUST00202332,B,24,87
PC2385,CUST00109325,C,1,62
PC1065,CUST00222675,E,88,81
PC5559,CUST00071201,D,41,83
PC1275,CUST00253356,G,39,50
PC4563,CUST00142231,D,50,52
PC2618,CUST00027819,D,12,78
PC7659,CUST00269935,C,23,76
PC6177,CUST00266476,B,89,89
PC4962,CUST00105296,E,91,85
PC5211,CUST00088669,B,41,66
PC3602,CUST00171516,B,57,90
PC2823,CUST00254110,E,47,79
PC2907,CUST00259835,G,92,73
PC7771,CUST00265102,E,74,84
PC2496,CUST00005331,C,80,94
PC6770,CUST00076551,D,46,56
PC2596,CUST00131417,E,20,77
PC9206,CUST00251235,D,54,81
PC3133,CUST00195511,D,67,91
PC6962,CUST00197284,G,38,84
PC6884,CUST00176943,A,4,86
PC2290,CUST00131642,D,47,96
PC3067,CUST00108919,D,42,80
PC5774,CUST00022816,A,33,81
PC3428,CUST00100389,E,69,81
PC2966,CUST00098746,D,23,64
PC4395,CUST00177019,E,18,70
PC2845,CUST00126597,G,83,69
PC1991,CUST00041289,G,17,91
PC1645,CUST00192421,B,15,87
PC5522,CUST00248307,F,62,96
PC3820,CUST00187468,E,49,52
PC4437,CUST00000210,G,1,55
PC9751,CUST00260235,C,70,72
PC8125,CUST00199531,B,91,69
PC1093,CUST00133968,D,74,61
PC1126,CUST00199355,F,49,90
PC7947,CUST00241097,F,94,74
PC4175,CUST00255985,A,29,81
PC1816,CUST00080167,B,95,56
PC7069,CUST00212157,C,50,55
PC4229,CUST00035383,A,63,52
PC4719,CUST00079599,G,86,61
PC6911,CUST00155657,C,11,52
PC8093,CUST00271943,A,58,63
PC8942,CUST00034838,B,85,69
PC6852,CUST00008805,F,98,97
PC8322,CUST00019339,F,25,62
PC3434,CUST00033231,C,77,73
PC8663,CUST00140081,G,83,95
PC8950,CUST00127761,E,23,69
PC5544,CUST00179078,C,16,61
PC1434,CUST00192049,C,95,70
PC9787,CUST00259971,G,83,62
PC9887,CUST00186046,G,14,61
PC6333,CUST00066528,G,73,84
PC1431,CUST00008245,G,49,74
PC7345,CUST00154797,D,38,74
PC4285,CUST00018138,D,43,50
PC2471,CUST00139042,G,40,88
PC8756,CUST00106989,D,12,81
PC7859,CUST00168892,B,98,67
PC9471,CUST00258230,C,92,79
PC5086,CUST00127643,D,5,77
PC3688,CUST00049282,F,98,57
PC7772,CUST00172502,D,8,82
PC4690,CUST00032730,C,76,63
PC8471,CUST00180080,E,98,98
PC5036,CUST00156853,C,82,88
PC5991,CUST00244921,G,62,77
PC6761,CUST00263584,E,12,95
PC6487,CUST00271455,A,1,54
PC2082,CUST00194002,E,28,67
PC5843,CUST00189322,A,69,82
PC4960,CUST00111223,F,45,52
PC4367,CUST00255250,D,76,66
PC7317,CUST00156531,D,68,50
PC5282,CUST00122277,C,61,87
PC9979,CUST00118408,G,15,77
PC4836,CUST00097287,E,28,89
PC2562,CUST00232893,G,98,91
PC3054,CUST00251894,C,17,72
PC4828,CUST00045451,B,2,66
PC1446,CUST00148700,G,65,96
PC9705,CUST00062016,C,67,83
PC7881,CUST00073137,F,78,96
PC5649,CUST00041813,A,68,85
PC4375,CUST00183490,F,7,84
PC4955,CUST00026185,E,19,53
PC4046,CUST00240070,C,59,59
PC8486,CUST00057676,A,58,78
PC4944,CUST00075672,B,75,66
PC6041,CUST00166552,D,3,93
PC3895,CUST00231906,F,54,97
PC3943,CUST00163791,A,75,79
PC3725,CUST00111786,D,8,71
PC8877,CUST00004872,F,55,61
PC1134,CUST00243661,B,8,61
PC4460,CUST00243900,C,41,62
PC2826,CUST00204323,A,14,81
PC9750,CUST00037762,D,12,72
PC4810,CUST00119025,B,33,75
PC2374,CUST00259662,A,61,95
