location,part_category,manufacturer,part_type,in_stock,recycled
Van 2,Boiler Parts,Worcester Bosch,Part_Q11,331,No
Van 3,Boiler Parts,Vaillant,Part_Q11,165,No
North Depot,Boiler Parts,Baxi,Part_Q11,488,Yes
Central Hub,Boiler Parts,Vaillant,Part_C12,406,No
Van 1,Boiler Parts,Viessmann,Part_C12,372,Yes
Van 2,Boiler Parts,Viessmann,Part_C12,432,No
Van 3,Boiler Parts,Viessmann,Part_C12,205,No
North Depot,Boiler Parts,Glow-worm,Part_C12,5,No
Central Hub,Boiler Parts,Worcester Bosch,Part_A13,333,No
Van 1,Boiler Parts,Worcester Bosch,Part_A13,334,No
Van 2,Boiler Parts,Viessmann,Part_A13,85,Yes
Van 3,Boiler Parts,Vaillant,Part_A13,66,No
North Depot,Boiler Parts,Viessmann,Part_A13,40,No
Central Hub,Boiler Parts,Glow-worm,Part_C14,321,No
Van 1,Boiler Parts,Vaillant,Part_C14,432,No
Van 2,Boiler Parts,Baxi,Part_C14,147,No
Van 3,Boiler Parts,Vaillant,Part_C14,58,Yes
North Depot,Boiler Parts,Vaillant,Part_C14,195,Yes
Central Hub,Boiler Parts,Worcester Bosch,Part_Q15,74,Yes
Van 1,Boiler Parts,Worcester Bosch,Part_Q15,485,No
Van 2,Boiler Parts,Viessmann,Part_Q15,70,Yes
Van 3,Boiler Parts,Ideal,Part_Q15,322,Yes
North Depot,Boiler Parts,Glow-worm,Part_Q15,394,No
Central Hub,Boiler Parts,Ideal,Part_R16,57,No
Van 1,Boiler Parts,Baxi,Part_R16,425,Yes
Van 2,Boiler Parts,Ideal,Part_R16,213,No
Van 3,Boiler Parts,Viessmann,Part_R16,231,Yes
North Depot,Boiler Parts,Viessmann,Part_R16,265,No
Central Hub,Boiler Parts,Worcester Bosch,Part_Z17,4,Yes
Van 1,Boiler Parts,Vaillant,Part_Z17,405,No
Van 2,Boiler Parts,Glow-worm,Part_Z17,303,No
Van 3,Boiler Parts,Worcester Bosch,Part_Z17,247,No
North Depot,Boiler Parts,Vaillant,Part_Z17,78,No
Central Hub,Boiler Parts,Baxi,Part_D18,151,No
Van 1,Boiler Parts,Glow-worm,Part_D18,399,No
Van 2,Boiler Parts,Viessmann,Part_D18,148,No
Van 3,Boiler Parts,Glow-worm,Part_D18,333,No
North Depot,Boiler Parts,Baxi,Part_D18,129,Yes
Central Hub,Boiler Parts,Baxi,Part_N19,89,No
Van 1,Boiler Parts,Worcester Bosch,Part_N19,380,Yes
Van 2,Boiler Parts,Baxi,Part_N19,382,No
Van 3,Boiler Parts,Glow-worm,Part_N19,115,No
North Depot,Boiler Parts,Baxi,Part_N19,358,Yes
