date,region,job_type,detailed_category,number_of_jobs,jobs_hours
2026-07-15,Midlands,Repair,Leak,44,33
2026-07-16,Midlands,Repair,Annual Service,14,31
2026-07-17,Midlands,Service,Annual Service,17,23
2026-07-18,Midlands,Service,Boiler Breakdown,44,67
2026-07-19,Midlands,Service,Leak,36,34
2026-07-20,Midlands,Repair,Annual Service,35,21
2026-07-21,Midlands,Repair,Leak,43,21
2026-07-22,Midlands,Service,Annual Service,40,81
2026-07-23,Midlands,Service,Annual Service,18,85
2026-07-24,Midlands,Service,Leak,20,51
2026-07-25,Midlands,Service,Boiler Breakdown,36,27
2026-07-26,Midlands,Service,Leak,33,70
2026-07-27,Midlands,Repair,Leak,50,40
2026-07-28,Midlands,Service,Boiler Breakdown,48,23
2026-07-29,Midlands,Service,Leak,12,67
2026-07-30,Midlands,Repair,Boiler Breakdown,44,97
2026-07-31,Midlands,Repair,Leak,47,91
2026-08-01,Midlands,Repair,Boiler Breakdown,15,82
2026-08-02,Midlands,Service,Boiler Breakdown,50,54
2026-08-03,Midlands,Repair,Boiler Breakdown,25,92
2026-08-04,Midlands,Repair,Boiler Breakdown,26,96
2026-07-06,North West,Repair,Annual Service,33,89
2026-07-07,North West,Service,Annual Service,28,51
2026-07-08,North West,Repair,Boiler Breakdown,25,70
2026-07-09,North West,Repair,Annual Service,26,97
2026-07-10,North West,Repair,Annual Service,14,44
2026-07-11,North West,Repair,Leak,46,73
2026-07-12,North West,Repair,Leak,16,80
2026-07-13,North West,Service,Annual Service,33,26
2026-07-14,North West,Repair,Annual Service,16,74
2026-07-15,North West,Service,Boiler Breakdown,49,55
2026-07-16,North West,Repair,Leak,32,50
2026-07-17,North West,Service,Annual Service,34,46
2026-07-18,North West,Repair,Boiler Breakdown,17,32
2026-07-19,North West,Service,Annual Service,24,55
2026-07-20,North West,Repair,Boiler Breakdown,23,49
2026-07-21,North West,Service,Leak,34,98
2026-07-22,North West,Repair,Boiler Breakdown,43,63
2026-07-23,North West,Repair,Boiler Breakdown,48,46
2026-07-24,North West,Repair,Annual Service,35,46
2026-07-25,North West,Service,Leak,28,49
2026-07-26,North West,Service,Leak,14,77
2026-07-27,North West,Repair,Boiler Breakdown,11,82
2026-07-28,North West,Repair,Boiler Breakdown,32,49
2026-07-29,North West,Service,Annual Service,47,86
2026-07-30,North West,Repair,Annual Service,24,31
2026-07-31,North West,Service,Boiler Breakdown,15,87
2026-08-01,North West,Repair,Boiler Breakdown,21,49
2026-08-02,North West,Service,Annual Service,49,26
2026-08-03,North West,Repair,Boiler Breakdown,20,50
2026-08-04,North West,Service,Boiler Breakdown,21,88
2026-07-06,North East,Repair,Leak,21,39
2026-07-07,North East,Service,Boiler Breakdown,42,22
2026-07-08,North East,Service,Annual Service,40,39
2026-07-09,North East,Repair,Boiler Breakdown,25,78
2026-07-10,North East,Service,Annual Service,34,37
2026-07-11,North East,Repair,Leak,44,71
2026-07-12,North East,Repair,Boiler Breakdown,43,72
2026-07-13,North East,Service,Annual Service,48,67
2026-07-14,North East,Repair,Boiler Breakdown,33,23
2026-07-15,North East,Repair,Leak,19,77
2026-07-16,North East,Repair,Annual Service,19,22
2026-07-17,North East,Repair,Leak,39,67
2026-07-18,North East,Service,Annual Service,50,32
2026-07-19,North East,Repair,Leak,37,29
2026-07-20,North East,Repair,Annual Service,40,28
2026-07-21,North East,Service,Annual Service,16,38
2026-07-22,North East,Service,Leak,23,100
2026-07-23,North East,Repair,Leak,39,64
2026-07-24,North East,Service,Boiler Breakdown,41,75
2026-07-25,North East,Service,Annual Service,34,62
2026-07-26,North East,Service,Annual Service,22,31
2026-07-27,North East,Service,Annual Service,29,21
2026-07-28,North East,Repair,Annual Service,37,90
2026-07-29,North East,Service,Annual Service,26,81
2026-07-30,North East,Repair,Annual Service,15,78
2026-07-31,North East,Repair,Leak,30,87
2026-08-01,North East,Repair,Leak,25,48
2026-08-02,North East,Repair,Boiler Breakdown,35,26
2026-08-03,North East,Service,Annual Service,25,79
2026-08-04,North East,Repair,Leak,35,73
2026-07-06,Yorkshire,Service,Leak,40,28
2026-07-07,Yorkshire,Service,Boiler Breakdown,40,23
2026-07-08,Yorkshire,Repair,Boiler Breakdown,35,95
2026-07-09,Yorkshire,Service,Leak,20,63
2026-07-10,Yorkshire,Service,Annual Service,15,30
2026-07-11,Yorkshire,Repair,Annual Service,19,26
2026-07-12,Yorkshire,Repair,Boiler Breakdown,32,93
2026-07-13,Yorkshire,Service,Annual Service,47,30
2026-07-14,Yorkshire,Repair,Boiler Breakdown,16,54
2026-07-15,Yorkshire,Repair,Annual Service,14,79
2026-07-16,Yorkshire,Service,Boiler Breakdown,48,48
2026-07-17,Yorkshire,Service,Leak,40,77
2026-07-18,Yorkshire,Repair,Boiler Breakdown,25,59
2026-07-19,Yorkshire,Service,Leak,19,24
2026-07-20,Yorkshire,Service,Boiler Breakdown,18,39
2026-07-21,Yorkshire,Repair,Leak,25,81
2026-07-22,Yorkshire,Repair,Leak,23,80
2026-07-23,Yorkshire,Service,Boiler Breakdown,14,26
2026-07-24,Yorkshire,Repair,Leak,35,61
2026-07-25,Yorkshire,Repair,Leak,21,20
2026-07-26,Yorkshire,Repair,Annual Service,12,37
2026-07-27,Yorkshire,Service,Leak,21,73
2026-07-28,Yorkshire,Repair,Leak,33,63
2026-07-29,Yorkshire,Service,Annual Service,31,84
2026-07-30,Yorkshire,Service,Boiler Breakdown,12,78
2026-07-31,Yorkshire,Repair,Annual Service,28,62
2026-08-01,Yorkshire,Repair,Boiler Breakdown,39,97
2026-08-02,Yorkshire,Repair,Boiler Breakdown,29,24
2026-08-03,Yorkshire,Repair,Annual Service,43,49
2026-08-04,Yorkshire,Service,Boiler Breakdown,13,29
2026-07-06,Wales,Repair,Leak,13,83
2026-07-07,Wales,Service,Annual Service,34,91
2026-07-08,Wales,Service,Annual Service,37,30
2026-07-09,Wales,Service,Annual Service,26,41
2026-07-10,Wales,Repair,Annual Service,20,66
2026-07-11,Wales,Service,Annual Service,19,35
2026-07-12,Wales,Service,Boiler Breakdown,31,35
2026-07-13,Wales,Service,Boiler Breakdown,49,55
2026-07-14,Wales,Repair,Annual Service,44,52
2026-07-15,Wales,Service,Annual Service,31,40
2026-07-16,Wales,Repair,Annual Service,31,69
2026-07-17,Wales,Service,Annual Service,49,81
2026-07-18,Wales,Repair,Leak,39,69
2026-07-19,Wales,Service,Boiler Breakdown,22,20
2026-07-20,Wales,Repair,Boiler Breakdown,10,60
2026-07-21,Wales,Service,Leak,18,80
2026-07-22,Wales,Service,Leak,30,51
2026-07-23,Wales,Service,Annual Service,29,37
2026-07-24,Wales,Repair,Boiler Breakdown,14,87
2026-07-25,Wales,Repair,Boiler Breakdown,11,23
2026-07-26,Wales,Service,Boiler Breakdown,17,32
2026-07-27,Wales,Service,Leak,23,94
2026-07-28,Wales,Service,Leak,45,93
2026-07-29,Wales,Repair,Annual Service,35,25
2026-07-30,Wales,Service,Annual Service,14,32
2026-07-31,Wales,Repair,Boiler Breakdown,35,89
2026-08-01,Wales,Service,Annual Service,31,41
2026-08-02,Wales,Service,Boiler Breakdown,23,36
2026-08-03,Wales,Service,Leak,43,54
2026-08-04,Wales,Service,Annual Service,37,47
2026-07-06,Scotland,Repair,Boiler Breakdown,18,71
2026-07-07,Scotland,Service,Leak,17,73
2026-07-08,Scotland,Service,Boiler Breakdown,47,44
2026-07-09,Scotland,Service,Leak,25,36
2026-07-10,Scotland,Service,Leak,14,70
2026-07-11,Scotland,Service,Leak,23,34
2026-07-12,Scotland,Service,Boiler Breakdown,19,38
2026-07-13,Scotland,Repair,Boiler Breakdown,43,55
2026-07-14,Scotland,Service,Boiler Breakdown,32,44
2026-07-15,Scotland,Repair,Boiler Breakdown,13,52
2026-07-16,Scotland,Service,Leak,39,87
2026-07-17,Scotland,Service,Boiler Breakdown,27,42
2026-07-18,Scotland,Service,Leak,39,64
2026-07-19,Scotland,Repair,Boiler Breakdown,34,54
2026-07-20,Scotland,Service,Annual Service,41,69
2026-07-21,Scotland,Service,Boiler Breakdown,33,86
2026-07-22,Scotland,Repair,Leak,35,22
2026-07-23,Scotland,Repair,Annual Service,45,98
2026-07-24,Scotland,Service,Annual Service,11,61
2026-07-25,Scotland,Repair,Annual Service,40,44
2026-07-26,Scotland,Repair,Leak,22,100
2026-07-27,Scotland,Repair,Annual Service,34,80
2026-07-28,Scotland,Repair,Boiler Breakdown,40,50
2026-07-29,Scotland,Service,Leak,14,33
2026-07-30,Scotland,Service,Boiler Breakdown,36,88
2026-07-31,Scotland,Service,Annual Service,23,47
2026-08-01,Scotland,Repair,Annual Service,27,95
2026-08-02,Scotland,Service,Annual Service,26,96
2026-08-03,Scotland,Repair,Leak,27,89
2026-08-04,Scotland,Repair,Boiler Breakdown,16,31
