pincode,date,temperature,humidity,rain,wind,solar_radiation,atmospheric_pressure
FK9V 7SY,2026-07-08,14.3,67,11.4,22.0,596,1007
FK9V 7SY,2026-07-09,21.7,81,18.0,26.7,637,996
FK9V 7SY,2026-07-10,5.2,42,2.3,15.6,667,980
FK9V 7SY,2026-07-11,22.8,68,15.6,17.0,343,1010
FK9V 7SY,2026-07-12,25.2,75,14.7,23.5,517,982
FK9V 7SY,2026-07-13,2.4,81,7.5,30.3,154,986
FK9V 7SY,2026-07-14,18.3,68,13.8,5.6,148,1012
FK9V 7SY,2026-07-15,7.9,76,11.6,7.3,396,998
EH79 5AU,2026-07-06,15.1,41,14.3,20.9,361,1017
EH79 5AU,2026-07-07,23.3,65,15.1,29.7,738,1020
EH79 5AU,2026-07-08,9.7,79,11.5,18.2,772,998
EH79 5AU,2026-07-09,24.1,81,12.1,26.0,792,1023
EH79 5AU,2026-07-10,21.6,94,9.1,36.1,402,989
EH79 5AU,2026-07-11,13.7,63,11.6,27.3,682,995
EH79 5AU,2026-07-12,0.1,76,2.1,5.7,612,999
EH79 5AU,2026-07-13,14.9,90,19.5,11.8,279,992
EH79 5AU,2026-07-14,-1.2,93,15.6,33.7,401,1029
EH79 5AU,2026-07-15,-0.1,67,8.1,24.6,156,1006
HR4 8AW,2026-07-06,16.8,41,19.8,21.6,507,1020
HR4 8AW,2026-07-07,-0.9,88,8.4,36.2,757,1008
HR4 8AW,2026-07-08,1.1,53,6.2,38.0,333,1013
HR4 8AW,2026-07-09,16.2,60,13.4,26.1,470,1021
HR4 8AW,2026-07-10,3.5,73,2.8,36.4,117,998
HR4 8AW,2026-07-11,24.0,62,19.2,36.1,220,989
HR4 8AW,2026-07-12,26.6,76,12.2,16.9,662,1030
HR4 8AW,2026-07-13,0.2,77,15.3,24.1,250,1007
HR4 8AW,2026-07-14,18.1,45,15.7,18.4,487,1002
HR4 8AW,2026-07-15,9.2,44,18.5,12.6,675,1010
LN7R 1NJ,2026-07-06,23.3,46,13.4,29.0,249,1029
LN7R 1NJ,2026-07-07,1.7,73,6.3,16.8,223,996
LN7R 1NJ,2026-07-08,24.5,89,5.3,24.0,346,1017
LN7R 1NJ,2026-07-09,22.9,59,17.0,14.5,141,981
LN7R 1NJ,2026-07-10,24.1,50,9.6,12.8,106,1022
LN7R 1NJ,2026-07-11,24.8,67,12.0,36.8,498,984
LN7R 1NJ,2026-07-12,29.9,47,16.7,31.7,615,992
LN7R 1NJ,2026-07-13,-2.4,82,3.9,26.4,126,983
LN7R 1NJ,2026-07-14,28.1,64,10.6,26.4,385,985
LN7R 1NJ,2026-07-15,5.3,78,1.5,30.8,155,1009
N6T 5TL,2026-07-06,9.3,51,17.3,23.3,696,1008
N6T 5TL,2026-07-07,17.5,80,2.9,30.5,325,1020
N6T 5TL,2026-07-08,4.8,41,17.9,20.4,713,998
N6T 5TL,2026-07-09,8.7,43,14.3,20.7,243,1026
N6T 5TL,2026-07-10,9.1,95,8.2,9.6,240,1002
N6T 5TL,2026-07-11,-4.3,91,1.8,35.5,740,1010
N6T 5TL,2026-07-12,27.3,43,19.6,24.8,716,984
N6T 5TL,2026-07-13,21.9,56,0.5,37.8,790,1014
N6T 5TL,2026-07-14,4.2,52,4.0,20.9,191,988
N6T 5TL,2026-07-15,28.4,60,7.2,37.6,307,1002
CM8 3HU,2026-07-06,27.1,65,2.2,24.1,181,1009
CM8 3HU,2026-07-07,-4.6,94,19.9,36.8,794,986
CM8 3HU,2026-07-08,-2.2,50,0.0,8.9,532,995
CM8 3HU,2026-07-09,23.9,82,6.4,21.4,659,1016
CM8 3HU,2026-07-10,29.2,64,2.4,12.6,176,1022
CM8 3HU,2026-07-11,14.1,59,5.3,6.7,272,1017
CM8 3HU,2026-07-12,6.3,49,17.3,15.3,144,986
CM8 3HU,2026-07-13,10.1,58,19.9,13.3,309,1023
CM8 3HU,2026-07-14,3.8,46,8.0,23.7,245,1009
CM8 3HU,2026-07-15,20.9,71,13.3,11.0,291,984
M35 4AX,2026-07-06,-4.5,50,12.8,35.7,703,1014
M35 4AX,2026-07-07,24.0,46,12.6,14.1,529,990
M35 4AX,2026-07-08,15.0,61,14.7,22.2,721,1008
M35 4AX,2026-07-09,3.2,67,17.3,13.1,652,995
M35 4AX,2026-07-10,25.7,94,10.3,24.0,426,1006
M35 4AX,2026-07-11,-4.0,54,11.4,20.7,123,1011
M35 4AX,2026-07-12,22.5,77,10.9,27.3,512,1023
M35 4AX,2026-07-13,27.4,47,9.1,29.5,512,1011
M35 4AX,2026-07-14,3.3,65,10.4,33.3,115,1003
M35 4AX,2026-07-15,21.8,64,10.8,8.0,275,991
W10 7UT,2026-07-06,2.8,62,6.6,10.6,502,1023
W10 7UT,2026-07-07,25.6,63,0.3,16.7,558,986
W10 7UT,2026-07-08,19.0,65,11.4,30.6,635,1021
W10 7UT,2026-07-09,22.0,51,1.5,25.0,435,1016
W10 7UT,2026-07-10,8.9,69,15.1,38.4,670,1017
W10 7UT,2026-07-11,13.7,83,5.4,20.0,723,1014
W10 7UT,2026-07-12,5.1,74,17.4,38.4,229,982
W10 7UT,2026-07-13,24.8,91,0.7,26.2,335,1022
W10 7UT,2026-07-14,24.5,67,19.5,25.9,356,1012
W10 7UT,2026-07-15,28.9,81,2.6,35.9,445,1027
BS90 2YN,2026-07-06,16.3,75,12.6,27.7,390,1002
BS90 2YN,2026-07-07,10.8,74,10.2,38.7,136,1024
BS90 2YN,2026-07-08,17.9,45,7.1,11.3,657,1005
BS90 2YN,2026-07-09,10.7,70,3.9,31.9,772,991
BS90 2YN,2026-07-10,-4.1,79,9.0,18.3,179,1019
BS90 2YN,2026-07-11,-2.8,80,13.3,21.1,725,1014
BS90 2YN,2026-07-12,12.2,74,3.0,26.8,546,1012
BS90 2YN,2026-07-13,12.4,94,3.1,34.2,427,1013
BS90 2YN,2026-07-14,15.2,71,19.9,6.3,758,1014
BS90 2YN,2026-07-15,6.1,73,0.0,27.5,798,1020
L8G 7NY,2026-07-06,22.7,63,1.0,14.4,130,1022
L8G 7NY,2026-07-07,26.3,63,15.1,18.7,734,1001
L8G 7NY,2026-07-08,19.0,76,0.8,28.6,271,997
L8G 7NY,2026-07-09,26.5,51,15.6,17.0,483,997
L8G 7NY,2026-07-10,3.8,73,7.9,25.8,300,988
L8G 7NY,2026-07-11,7.4,92,12.2,11.5,352,1020
L8G 7NY,2026-07-12,28.3,83,10.7,25.2,375,1030
L8G 7NY,2026-07-13,8.7,95,4.4,37.9,659,1016
L8G 7NY,2026-07-14,27.7,61,8.1,14.1,800,1023
L8G 7NY,2026-07-15,27.1,51,10.7,16.8,594,991
CB3X 4DG,2026-07-06,27.0,61,7.8,38.9,275,1005
CB3X 4DG,2026-07-07,28.1,54,17.4,12.8,642,1018
CB3X 4DG,2026-07-08,22.4,63,2.0,35.1,616,986
CB3X 4DG,2026-07-09,14.6,65,7.4,5.9,761,1011
CB3X 4DG,2026-07-10,13.2,64,19.0,24.6,116,1019
CB3X 4DG,2026-07-11,6.2,71,15.5,15.1,367,994
CB3X 4DG,2026-07-12,-4.7,59,12.6,9.2,791,1012
CB3X 4DG,2026-07-13,23.9,44,18.5,9.0,592,1018
CB3X 4DG,2026-07-14,11.9,43,4.0,34.2,441,1017
CB3X 4DG,2026-07-15,3.3,90,0.8,34.3,315,1005
SM97 0JN,2026-07-06,5.8,60,5.9,8.8,435,992
SM97 0JN,2026-07-07,-1.2,86,3.5,26.7,319,1006
SM97 0JN,2026-07-08,11.7,94,19.0,8.4,536,1008
SM97 0JN,2026-07-09,24.8,42,0.3,26.7,253,1024
SM97 0JN,2026-07-10,25.2,91,2.2,38.3,189,982
SM97 0JN,2026-07-11,22.2,51,9.1,26.6,224,1024
SM97 0JN,2026-07-12,15.7,70,11.2,26.2,234,1028
SM97 0JN,2026-07-13,11.7,57,7.2,13.2,626,1013
SM97 0JN,2026-07-14,14.5,89,7.0,10.7,240,1001
SM97 0JN,2026-07-15,14.5,91,15.5,19.6,432,1029
TN9 6EX,2026-07-06,15.4,66,15.8,20.7,552,997
TN9 6EX,2026-07-07,5.5,50,2.8,29.7,622,1001
TN9 6EX,2026-07-08,29.4,82,5.6,27.1,702,1007
TN9 6EX,2026-07-09,28.8,90,17.3,32.6,728,998
TN9 6EX,2026-07-10,1.2,48,6.1,26.5,221,985
TN9 6EX,2026-07-11,23.4,67,19.7,5.9,106,982
TN9 6EX,2026-07-12,-3.5,91,6.1,27.4,700,1021
TN9 6EX,2026-07-13,25.7,44,19.2,9.6,218,1000
TN9 6EX,2026-07-14,25.4,44,4.2,16.3,592,982
TN9 6EX,2026-07-15,13.3,80,12.7,24.4,286,1023
PH9 7ET,2026-07-06,-1.5,59,5.7,23.2,731,1004
PH9 7ET,2026-07-07,8.5,79,19.9,22.2,611,1024
PH9 7ET,2026-07-08,29.7,54,8.5,36.5,551,1026
PH9 7ET,2026-07-09,28.2,81,8.3,31.1,232,1003
PH9 7ET,2026-07-10,24.6,87,14.1,37.2,394,993
PH9 7ET,2026-07-11,28.2,44,10.5,33.2,277,1025
PH9 7ET,2026-07-12,14.0,92,2.1,9.7,164,988
PH9 7ET,2026-07-13,2.0,49,17.6,27.6,741,999
PH9 7ET,2026-07-14,16.8,43,7.5,5.3,192,1013
PH9 7ET,2026-07-15,3.6,56,9.8,12.1,666,1009
LA19 6PZ,2026-07-06,7.1,74,3.3,21.5,631,1025
LA19 6PZ,2026-07-07,-2.0,69,3.5,11.3,458,1010
LA19 6PZ,2026-07-08,11.2,56,14.9,17.7,742,997
LA19 6PZ,2026-07-09,11.9,64,3.1,25.0,133,1000
LA19 6PZ,2026-07-10,-0.0,45,10.2,32.1,785,1027
LA19 6PZ,2026-07-11,10.9,82,11.1,30.5,501,983
LA19 6PZ,2026-07-12,14.2,51,14.4,38.6,760,1010
LA19 6PZ,2026-07-13,1.1,69,13.7,11.9,322,1016
LA19 6PZ,2026-07-14,17.9,51,19.1,37.4,433,991
LA19 6PZ,2026-07-15,1.0,76,19.1,36.8,319,1027
B4K 2UW,2026-07-06,9.4,50,19.1,30.6,434,1022
B4K 2UW,2026-07-07,24.9,44,12.8,13.3,663,989
B4K 2UW,2026-07-08,3.3,50,6.5,17.7,350,1030
B4K 2UW,2026-07-09,15.2,74,4.1,24.5,415,997
B4K 2UW,2026-07-10,9.6,71,14.5,21.2,604,994
B4K 2UW,2026-07-11,0.7,65,5.8,38.0,684,1001
B4K 2UW,2026-07-12,4.1,56,11.6,38.4,610,1019
B4K 2UW,2026-07-13,20.0,47,3.6,20.6,696,1008
B4K 2UW,2026-07-14,-4.9,76,3.5,7.4,156,1001
B4K 2UW,2026-07-15,3.6,78,9.4,23.4,609,1026
