customer_id,lead_id,lead_date,mode_of_conversation_with_customer,appointment_date,appointment_happened,sale_date,sale_happened,installation_date,installation_happened,insurance_purchased
CUST00167,LD00080,2026-07-15,Visit,2026-07-30,Yes,2026-07-31,Yes,2026-07-31,Yes,No
CUST00168,LD00081,2025-12-24,App,2026-01-11,Yes,2026-01-12,Yes,2026-01-12,Yes,No
CUST00171,LD00082,2026-02-21,Call,2026-03-04,Yes,2026-03-05,Yes,2026-03-09,Yes,Yes
CUST00172,LD00083,2020-05-14,Call,2020-06-02,Yes,2020-06-03,Yes,2020-06-03,Yes,No
CUST00174,LD00084,2018-07-14,Visit,2018-08-05,Yes,2018-08-06,Yes,2018-08-09,Yes,Yes
CUST00175,LD00085,2024-11-28,Call,2024-12-07,Yes,2024-12-08,Yes,2024-12-12,Yes,No
CUST00176,LD00086,2025-05-19,Call,2025-06-02,Yes,2025-06-03,Yes,2025-06-04,Yes,No
CUST00177,LD00087,2023-02-16,Visit,2023-02-25,Yes,2023-02-26,Yes,2023-02-28,Yes,Yes
CUST00179,LD00088,2026-02-09,Email,2026-02-26,Yes,2026-02-27,Yes,2026-02-27,Yes,Yes
CUST00180,LD00089,2023-05-27,Email,2023-06-14,Yes,2023-06-15,Yes,2023-06-18,Yes,Yes
CUST00182,LD00090,2024-11-10,Email,2024-12-06,Yes,2024-12-07,Yes,2024-12-09,Yes,No
CUST00183,LD00091,2019-03-04,Visit,2019-03-20,Yes,2019-03-21,Yes,2019-03-21,Yes,Yes
CUST00184,LD00092,2020-01-12,Email,2020-02-04,Yes,2020-02-05,Yes,2020-02-08,Yes,Yes
CUST00185,LD00093,2026-06-28,Visit,2026-07-13,Yes,2026-07-14,Yes,2026-07-17,Yes,Yes
CUST00187,LD00094,2024-01-09,Email,2024-02-07,Yes,2024-02-08,Yes,2024-02-08,Yes,No
CUST00188,LD00095,2019-07-30,Visit,2019-08-09,Yes,2019-08-10,Yes,2019-08-13,Yes,Yes
CUST00197,LD00096,2018-12-17,Call,2019-01-13,Yes,2019-01-14,Yes,2019-01-15,Yes,No
CUST00199,LD00097,2025-08-22,Call,2025-09-15,Yes,2025-09-16,Yes,2025-09-18,Yes,Yes
CUST00200,LD00098,2022-07-18,Visit,2022-08-10,Yes,2022-08-11,Yes,2022-08-13,Yes,Yes
CUST00202,LD00099,2026-06-08,Email,2026-07-01,Yes,2026-07-02,Yes,2026-07-02,Yes,No
CUST00204,LD00100,2026-05-20,App,2026-06-15,Yes,2026-06-16,Yes,2026-06-16,Yes,No
CUST00205,LD00101,2026-02-13,Call,2026-03-02,Yes,2026-03-03,Yes,2026-03-03,Yes,Yes
CUST00206,LD00102,2025-09-29,Call,2025-10-27,Yes,2025-10-28,Yes,2025-10-28,Yes,Yes
CUST00207,LD00103,2025-04-12,Email,2025-04-29,Yes,2025-04-30,Yes,2025-05-04,Yes,No
CUST00208,LD00104,2025-07-04,Email,2025-07-22,Yes,2025-07-23,Yes,2025-07-23,Yes,No
CUST00210,LD00105,2024-04-04,Visit,2024-04-25,Yes,2024-04-26,Yes,2024-04-26,Yes,Yes
CUST00211,LD00106,2025-07-10,Call,2025-07-22,Yes,2025-07-23,Yes,2025-07-25,Yes,Yes
CUST00215,LD00107,2021-09-24,Visit,2021-10-09,Yes,2021-10-10,Yes,2021-10-10,Yes,No
CUST00217,LD00108,2025-10-10,App,2025-10-21,Yes,2025-10-22,Yes,2025-10-24,Yes,Yes
CUST00218,LD00109,2026-04-17,App,2026-04-30,Yes,2026-05-01,Yes,2026-05-02,Yes,Yes
CUST00219,LD00110,2026-03-11,Email,2026-03-27,Yes,2026-03-28,Yes,2026-03-28,Yes,No
CUST00220,LD00111,2026-06-17,Call,2026-07-01,Yes,2026-07-02,Yes,2026-07-04,Yes,Yes
CUST00225,LD00112,2026-02-19,App,2026-03-02,Yes,2026-03-03,Yes,2026-03-03,Yes,Yes
CUST00232,LD00113,2021-10-18,Call,2021-11-11,Yes,2021-11-12,Yes,2021-11-15,Yes,No
CUST00234,LD00114,2024-02-23,Email,2024-03-06,Yes,2024-03-07,Yes,2024-03-10,Yes,No
CUST00235,LD00115,2024-01-27,Call,2024-02-14,Yes,2024-02-15,Yes,2024-02-15,Yes,No
CUST00236,LD00116,2025-10-10,App,2025-11-06,Yes,2025-11-07,Yes,2025-11-07,Yes,Yes
CUST00237,LD00117,2024-12-23,Email,2025-01-17,Yes,2025-01-18,Yes,2025-01-19,Yes,No
CUST00238,LD00118,2024-04-12,Email,2024-05-09,Yes,2024-05-10,Yes,2024-05-12,Yes,Yes
CUST00241,LD00119,2022-12-02,Visit,2022-12-27,Yes,2022-12-28,Yes,2023-01-01,Yes,No
CUST00242,LD00120,2021-04-01,App,2021-04-12,Yes,2021-04-13,Yes,2021-04-17,Yes,No
CUST00243,LD00121,2025-12-28,Call,2026-01-17,Yes,2026-01-18,Yes,2026-01-21,Yes,No
CUST00246,LD00122,2024-12-20,Visit,2024-12-30,Yes,2024-12-31,Yes,2025-01-01,Yes,Yes
CUST00251,LD00123,2024-07-03,App,2024-07-16,Yes,2024-07-17,Yes,2024-07-20,Yes,No
CUST00254,LD00124,2026-03-25,Call,2026-04-10,Yes,2026-04-11,Yes,2026-04-13,Yes,No
CUST00258,LD00125,2019-01-09,Visit,2019-01-17,Yes,2019-01-18,Yes,2019-01-19,Yes,No
CUST00261,LD00126,2023-11-16,App,2023-11-28,Yes,2023-11-29,Yes,2023-11-30,Yes,No
CUST00262,LD00127,2021-05-06,Email,2021-05-16,Yes,2021-05-17,Yes,2021-05-18,Yes,Yes
CUST00263,LD00128,2020-02-22,Email,2020-03-01,Yes,2020-03-02,Yes,2020-03-04,Yes,Yes
CUST00264,LD00129,2026-02-11,App,2026-03-04,Yes,2026-03-05,Yes,2026-03-05,Yes,No
CUST00266,LD00130,2026-06-18,Visit,2026-07-17,Yes,2026-07-18,Yes,2026-07-18,Yes,No
CUST00270,LD00131,2021-06-05,Visit,2021-07-01,Yes,2021-07-02,Yes,2021-07-05,Yes,Yes
CUST00271,LD00132,2021-04-28,Call,2021-05-15,Yes,2021-05-16,Yes,2021-05-17,Yes,Yes
CUST00273,LD00133,2018-01-09,Email,2018-01-28,Yes,2018-01-29,Yes,2018-01-29,Yes,No
CUST00274,LD00134,2024-11-29,Call,2024-12-15,Yes,2024-12-16,Yes,2024-12-19,Yes,No
CUST00275,LD00135,2026-06-16,Email,2026-06-26,Yes,2026-06-27,Yes,2026-07-01,Yes,No
CUST00276,LD00136,2023-02-11,Visit,2023-02-23,Yes,2023-02-24,Yes,2023-02-24,Yes,No
CUST00277,LD00137,2022-01-14,Email,2022-01-23,Yes,2022-01-24,Yes,2022-01-26,Yes,No
CUST00280,LD00138,2023-03-28,Call,2023-04-14,Yes,2023-04-15,Yes,2023-04-15,Yes,No
CUST00282,LD00139,2025-08-01,App,2025-08-18,Yes,2025-08-19,Yes,2025-08-22,Yes,Yes
CUST00284,LD00140,2025-12-21,Email,2026-01-18,Yes,2026-01-19,Yes,2026-01-20,Yes,No
CUST00285,LD00141,2026-03-19,Email,2026-04-09,Yes,2026-04-10,Yes,2026-04-10,Yes,No
CUST00286,LD00142,2025-07-11,App,2025-07-31,Yes,2025-08-01,Yes,2025-08-03,Yes,No
CUST00287,LD00143,2025-03-16,Call,2025-04-10,Yes,2025-04-11,Yes,2025-04-15,Yes,Yes
CUST00289,LD00144,2023-07-28,App,2023-08-23,Yes,2023-08-24,Yes,2023-08-27,Yes,No
CUST00290,LD00145,2024-06-03,Email,2024-06-23,Yes,2024-06-24,Yes,2024-06-27,Yes,No
CUST00292,LD00146,2025-02-18,Call,2025-03-15,Yes,2025-03-16,Yes,2025-03-19,Yes,No
CUST00296,LD00147,2022-04-26,Call,2022-05-17,Yes,2022-05-18,Yes,2022-05-19,Yes,Yes
CUST00298,LD00148,2025-03-14,Visit,2025-04-02,Yes,2025-04-03,Yes,2025-04-05,Yes,Yes
CUST00301,LD00149,2025-07-31,Call,2025-08-08,Yes,2025-08-09,Yes,2025-08-11,Yes,Yes
CUST00303,LD00150,2025-09-29,Email,2025-10-07,Yes,2025-10-08,Yes,2025-10-11,Yes,No
CUST00305,LD00151,2022-02-12,Call,2022-03-07,Yes,2022-03-08,Yes,2022-03-12,Yes,Yes
CUST00308,LD00152,2024-11-26,App,2024-12-16,Yes,2024-12-17,Yes,2024-12-20,Yes,Yes
CUST00310,LD00153,2022-04-18,Email,2022-04-24,Yes,2022-04-25,Yes,2022-04-29,Yes,Yes
CUST00312,LD00154,2023-09-11,Email,2023-09-23,Yes,2023-09-24,Yes,2023-09-27,Yes,No
CUST00313,LD00155,2025-10-04,Call,2025-10-18,Yes,2025-10-19,Yes,2025-10-22,Yes,No
CUST00318,LD00156,2025-06-25,Call,2025-07-11,Yes,2025-07-12,Yes,2025-07-12,Yes,Yes
CUST00319,LD00157,2025-11-18,Email,2025-11-28,Yes,2025-11-29,Yes,2025-11-30,Yes,No
CUST00320,LD00158,2021-02-03,App,2021-02-18,Yes,2021-02-19,Yes,2021-02-21,Yes,Yes
CUST00321,LD00159,2025-03-30,Visit,2025-04-20,Yes,2025-04-21,Yes,2025-04-25,Yes,No
CUST00326,LD00160,2025-03-31,App,2025-04-12,Yes,2025-04-13,Yes,2025-04-16,Yes,No
CUST00327,LD00161,2023-05-17,Email,2023-06-07,Yes,2023-06-08,Yes,2023-06-09,Yes,No
CUST00330,LD00162,2026-03-08,App,2026-03-15,Yes,2026-03-16,Yes,2026-03-19,Yes,Yes
CUST00333,LD00163,2026-01-02,Call,2026-01-20,Yes,2026-01-21,Yes,2026-01-24,Yes,No
CUST00334,LD00164,2025-12-27,Email,2026-01-14,Yes,2026-01-15,Yes,2026-01-17,Yes,No
CUST00335,LD00165,2021-12-01,Email,2021-12-14,Yes,2021-12-15,Yes,2021-12-16,Yes,No
CUST00337,LD00166,2025-03-10,Email,2025-03-15,Yes,2025-03-16,Yes,2025-03-20,Yes,Yes
CUST00340,LD00167,2026-03-02,Call,2026-03-19,Yes,2026-03-20,Yes,2026-03-23,Yes,No
CUST00341,LD00168,2026-04-04,Call,2026-04-21,Yes,2026-04-22,Yes,2026-04-23,Yes,Yes
CUST00343,LD00169,2025-09-06,Call,2025-09-20,Yes,2025-09-21,Yes,2025-09-25,Yes,No
CUST00344,LD00170,2024-09-23,Visit,2024-10-02,Yes,2024-10-03,Yes,2024-10-05,Yes,No
CUST00347,LD00171,2022-05-27,Visit,2022-06-09,Yes,2022-06-10,Yes,2022-06-12,Yes,Yes
CUST00349,LD00172,2026-07-06,Visit,2026-07-28,Yes,2026-07-29,Yes,2026-07-29,Yes,Yes
CUST00350,LD00173,2026-06-24,Call,2026-07-04,Yes,2026-07-05,Yes,2026-07-05,Yes,Yes
CUST00353,LD00174,2026-04-16,Visit,2026-05-09,Yes,2026-05-10,Yes,2026-05-13,Yes,Yes
CUST00357,LD00175,2021-06-13,Call,2021-07-11,Yes,2021-07-12,Yes,2021-07-12,Yes,No
CUST00359,LD00176,2024-04-12,App,2024-05-06,Yes,2024-05-07,Yes,2024-05-09,Yes,Yes
CUST00360,LD00177,2026-01-08,Visit,2026-01-23,Yes,2026-01-24,Yes,2026-01-25,Yes,Yes
CUST00362,LD00178,2022-08-19,Call,2022-09-13,Yes,2022-09-14,Yes,2022-09-16,Yes,Yes
CUST00367,LD00179,2024-12-12,Email,2024-12-27,Yes,2024-12-28,Yes,2025-01-01,Yes,Yes
CUST00369,LD00180,2021-08-07,App,2021-08-16,Yes,2021-08-17,Yes,2021-08-20,Yes,Yes
CUST00370,LD00181,2024-07-08,App,2024-07-19,Yes,2024-07-20,Yes,2024-07-23,Yes,Yes
CUST00372,LD00182,2024-03-20,Visit,2024-04-06,Yes,2024-04-07,Yes,2024-04-08,Yes,Yes
CUST00374,LD00183,2024-01-17,Visit,2024-02-01,Yes,2024-02-02,Yes,2024-02-02,Yes,Yes
CUST00376,LD00184,2025-09-18,Visit,2025-10-15,Yes,2025-10-16,Yes,2025-10-16,Yes,Yes
CUST00377,LD00185,2023-09-27,Call,2023-10-09,Yes,2023-10-10,Yes,2023-10-12,Yes,No
CUST00378,LD00186,2025-02-24,Call,2025-03-09,Yes,2025-03-10,Yes,2025-03-12,Yes,No
CUST00385,LD00187,2021-01-03,Email,2021-01-22,Yes,2021-01-23,Yes,2021-01-24,Yes,No
CUST00386,LD00188,2025-10-01,Visit,2025-10-12,Yes,2025-10-13,Yes,2025-10-13,Yes,Yes
CUST00387,LD00189,2021-07-11,Visit,2021-07-20,Yes,2021-07-21,Yes,2021-07-23,Yes,No
CUST00394,LD00190,2021-01-19,Email,2021-02-12,Yes,2021-02-13,Yes,2021-02-13,Yes,No
CUST00400,LD00191,2023-12-25,Email,2024-01-07,Yes,2024-01-08,Yes,2024-01-08,Yes,Yes
CUST00404,LD00192,2023-07-30,Email,2023-08-23,Yes,2023-08-24,Yes,2023-08-28,Yes,Yes
CUST00405,LD00193,2023-04-13,Visit,2023-05-11,Yes,2023-05-12,Yes,2023-05-12,Yes,No
CUST00409,LD00194,2026-03-30,Email,2026-04-12,Yes,2026-04-13,Yes,2026-04-13,Yes,No
CUST00410,LD00195,2024-02-25,Call,2024-03-13,Yes,2024-03-14,Yes,2024-03-15,Yes,Yes
CUST00413,LD00196,2026-07-03,App,2026-07-28,Yes,2026-07-29,Yes,2026-08-01,Yes,No
CUST00420,LD00197,2024-10-06,Visit,2024-11-03,Yes,2024-11-04,Yes,2024-11-05,Yes,No
CUST00421,LD00198,2025-10-28,App,2025-11-06,Yes,2025-11-07,Yes,2025-11-11,Yes,Yes
CUST00422,LD00199,2026-06-18,Call,2026-06-30,Yes,2026-07-01,Yes,2026-07-02,Yes,Yes
CUST00423,LD00200,2023-08-06,App,2023-08-20,Yes,2023-08-21,Yes,2023-08-23,Yes,No
CUST00424,LD00201,2024-11-27,App,2024-12-06,Yes,2024-12-07,Yes,2024-12-08,Yes,No
CUST00425,LD00202,2019-03-26,Visit,2019-04-08,Yes,2019-04-09,Yes,2019-04-09,Yes,Yes
CUST00426,LD00203,2020-05-28,App,2020-06-17,Yes,2020-06-18,Yes,2020-06-21,Yes,No
CUST00427,LD00204,2022-10-19,Email,2022-11-11,Yes,2022-11-12,Yes,2022-11-14,Yes,No
CUST00428,LD00205,2023-09-27,App,2023-10-06,Yes,2023-10-07,Yes,2023-10-11,Yes,Yes
CUST00429,LD00206,2026-02-05,Visit,2026-03-06,Yes,2026-03-07,Yes,2026-03-07,Yes,No
CUST00434,LD00207,2019-06-02,App,2019-06-12,Yes,2019-06-13,Yes,2019-06-15,Yes,No
CUST00439,LD00208,2025-06-24,Visit,2025-07-08,Yes,2025-07-09,Yes,2025-07-12,Yes,Yes
CUST00443,LD00209,2020-09-25,App,2020-10-13,Yes,2020-10-14,Yes,2020-10-16,Yes,No
CUST00444,LD00210,2024-07-03,Call,2024-07-31,Yes,2024-08-01,Yes,2024-08-02,Yes,No
CUST00449,LD00211,2022-05-22,Visit,2022-06-15,Yes,2022-06-16,Yes,2022-06-19,Yes,No
CUST00450,LD00212,2023-10-29,App,2023-11-19,Yes,2023-11-20,Yes,2023-11-20,Yes,Yes
CUST00452,LD00213,2022-12-27,Visit,2023-01-04,Yes,2023-01-05,Yes,2023-01-09,Yes,No
CUST00454,LD00214,2026-04-27,App,2026-05-13,Yes,2026-05-14,Yes,2026-05-15,Yes,Yes
CUST00455,LD00215,2024-01-23,Visit,2024-02-17,Yes,2024-02-18,Yes,2024-02-18,Yes,No
CUST00461,LD00216,2026-04-14,App,2026-04-20,Yes,2026-04-21,Yes,2026-04-25,Yes,No
CUST00462,LD00217,2023-12-02,Visit,2023-12-09,Yes,2023-12-10,Yes,2023-12-14,Yes,Yes
CUST00464,LD00218,2026-02-09,Visit,2026-02-23,Yes,2026-02-24,Yes,2026-02-24,Yes,Yes
CUST00465,LD00219,2019-09-11,Email,2019-09-30,Yes,2019-10-01,Yes,2019-10-04,Yes,Yes
CUST00466,LD00220,2021-10-23,Visit,2021-11-19,Yes,2021-11-20,Yes,2021-11-21,Yes,No
CUST00467,LD00221,2023-06-17,Visit,2023-07-06,Yes,2023-07-07,Yes,2023-07-09,Yes,No
CUST00470,LD00222,2025-01-02,App,2025-01-29,Yes,2025-01-30,Yes,2025-02-01,Yes,No
CUST00476,LD00223,2025-04-16,Visit,2025-05-10,Yes,2025-05-11,Yes,2025-05-13,Yes,No
CUST00479,LD00224,2022-03-31,Visit,2022-04-17,Yes,2022-04-18,Yes,2022-04-18,Yes,No
CUST00482,LD00225,2026-07-05,Call,2026-07-20,Yes,2026-07-21,Yes,2026-07-25,Yes,Yes
CUST00485,LD00226,2024-01-24,Email,2024-02-09,Yes,2024-02-10,Yes,2024-02-11,Yes,Yes
CUST00487,LD00227,2021-07-03,Visit,2021-07-27,Yes,2021-07-28,Yes,2021-07-31,Yes,No
CUST00489,LD00228,2024-05-19,Email,2024-06-07,Yes,2024-06-08,Yes,2024-06-08,Yes,No
CUST00491,LD00229,2024-11-25,Call,2024-12-04,Yes,2024-12-05,Yes,2024-12-06,Yes,Yes
CUST00493,LD00230,2023-12-22,Visit,2024-01-05,Yes,2024-01-06,Yes,2024-01-10,Yes,Yes
CUST00497,LD00231,2020-01-24,Email,2020-02-07,Yes,2020-02-08,Yes,2020-02-09,Yes,Yes
CUST00499,LD00232,2026-07-01,Email,2026-07-21,Yes,2026-07-22,Yes,2026-07-23,Yes,Yes
CUST00500,LD00233,2025-12-10,Email,2025-12-28,Yes,2025-12-29,Yes,2025-12-31,Yes,No
