lead_id,primary_qutation,secondary_quotation,final_quotation
LD00115,2691.59,2101.94,2437.0
LD00116,2255.73,2136.75,1762.37
LD00117,1558.64,1392.58,2637.04
LD00118,1986.84,2430.36,2637.58
LD00119,2725.27,1486.83,1776.31
LD00120,2915.03,1434.53,1794.86
LD00121,2586.46,1378.48,2450.62
LD00122,2220.64,1931.71,2022.06
LD00123,1721.06,2051.97,1716.24
LD00124,2423.55,1353.86,2692.65
LD00125,1980.38,1707.78,2409.88
LD00126,2127.99,1846.23,2147.28
LD00127,1504.3,2492.08,1424.02
LD00128,2773.13,2326.8,2546.61
LD00129,2057.53,2111.82,2327.85
LD00130,2254.94,1214.13,2565.75
LD00131,1904.88,1335.72,1907.78
LD00132,1597.98,1976.24,2459.13
LD00133,1512.72,1663.64,1795.36
LD00134,2253.27,2207.58,1433.16
LD00135,2171.22,1370.56,1807.18
LD00136,2649.48,1602.41,2614.55
LD00137,2030.05,1292.47,2394.92
LD00138,2611.56,1518.26,2549.73
LD00139,2463.73,2370.16,2050.79
LD00140,2352.31,2484.15,2483.89
LD00141,2810.66,1786.85,1987.61
LD00142,2734.52,1929.18,2651.29
LD00143,1554.73,2169.42,1662.72
LD00144,2115.58,1657.87,2159.45
LD00145,1765.34,1973.36,2159.87
LD00146,2244.61,2177.24,2698.12
LD00147,2850.28,1738.92,1421.74
LD00148,2156.1,1329.45,2521.64
LD00149,2902.46,2015.67,2293.74
LD00150,2869.08,1470.36,1540.94
LD00151,1675.81,1645.65,1885.5
LD00152,2268.98,1719.92,1670.28
LD00153,2380.3,1581.52,2557.36
LD00154,2848.12,1930.13,1939.83
LD00155,1686.14,1422.48,1857.62
LD00156,1708.1,2491.6,2605.94
LD00157,2724.22,1898.83,1406.92
LD00158,1904.87,1421.44,1592.87
LD00159,2366.83,2059.65,2766.89
LD00160,1781.88,1335.9,1692.13
LD00161,2927.24,1950.41,1542.89
LD00162,1790.9,1446.28,1647.3
LD00163,1829.83,2271.29,2368.36
LD00164,2600.82,1322.52,2104.54
LD00165,2849.8,1384.38,1417.83
LD00166,2753.04,1882.85,1634.23
LD00167,1866.55,2163.32,2762.61
LD00168,2369.28,2112.39,2567.84
LD00169,1579.79,1597.57,2002.45
LD00170,2993.87,1455.75,2219.31
LD00171,2124.47,1459.38,1826.99
LD00172,2422.81,1593.11,1739.7
LD00173,1905.26,2482.03,1549.87
LD00174,1835.32,2078.38,2593.16
LD00175,1870.81,1334.69,1434.52
LD00176,2788.97,2002.31,2005.3
LD00177,2214.24,1577.05,2334.55
LD00178,2467.66,2361.19,2267.83
LD00179,2376.74,2278.85,1494.6
LD00180,1985.49,1500.99,2480.44
LD00181,2883.56,1280.5,1750.68
LD00182,2613.23,1764.28,2139.94
LD00183,2839.94,1667.43,1971.24
LD00184,2673.58,1587.7,1565.1
LD00185,2301.64,1513.82,2124.86
LD00186,1708.93,1911.21,2427.42
LD00187,2154.79,1275.3,1724.85
LD00188,2157.83,1567.37,1839.78
LD00189,2242.39,2155.78,1899.74
LD00190,1916.95,1699.43,2558.05
LD00191,2699.38,2436.26,1519.75
LD00192,2929.94,1772.57,1761.21
LD00193,1671.67,1250.05,2358.22
LD00194,2410.45,1668.37,2765.14
LD00195,1659.35,1474.92,1838.35
LD00196,1975.41,1453.53,2205.34
LD00197,2814.61,1220.17,1569.1
LD00198,2856.39,1660.68,1963.24
LD00199,1728.38,1210.12,2230.27
LD00200,2011.68,1933.37,2656.22
LD00201,2278.7,1947.68,2261.67
LD00202,2328.25,1861.31,1636.39
LD00203,1894.58,2323.85,2790.31
LD00204,2180.2,2156.18,2340.91
LD00205,2808.17,1486.27,1673.95
LD00206,1504.8,1287.44,2180.83
LD00207,2954.04,1623.02,2327.39
LD00208,2009.76,2264.08,1831.91
LD00209,1823.42,2153.33,2716.02
LD00210,1908.69,1360.74,2497.68
LD00211,2747.21,2317.09,2498.68
LD00212,2591.34,2436.89,2467.78
LD00213,1811.52,2424.72,2230.77
LD00214,2318.38,1606.92,2312.81
LD00215,1796.05,2330.67,1559.13
LD00216,2391.68,1286.8,2290.88
LD00217,1654.46,1481.37,1649.66
LD00218,2983.63,1318.74,2524.7
LD00219,1953.84,2188.01,1737.08
LD00220,2918.23,2283.69,2395.89
LD00221,2899.79,2494.07,1674.17
LD00222,2097.44,2494.46,2385.97
LD00223,2482.66,2158.69,1865.73
LD00224,2165.1,1558.18,1678.16
LD00225,2650.08,2225.36,1704.54
LD00226,2120.97,2285.86,1781.92
LD00227,2306.92,1473.86,2383.06
LD00228,2803.99,1210.27,1989.97
LD00229,2131.48,2206.29,2735.57
LD00230,2927.24,1938.38,1595.37
LD00231,1961.29,1439.97,2600.87
LD00232,2644.57,1373.58,2482.56
LD00233,2252.18,1202.07,2238.84
