pay_id,direct_labour_or_contractor,training_result,proficiency,multi_skill_or_single_skill,primary_skill,secondary_skill
ENG00062,Direct Labour,Merit,Expert,Multi Skill,Repair,None
ENG00063,Direct Labour,Pass,Expert,Single Skill,Service,Installation
ENG00064,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00065,Contractor,Pass,Beginner,Multi Skill,Installation,Service
ENG00066,Contractor,Merit,Beginner,Single Skill,Repair,Service
ENG00067,Contractor,Pass,Expert,Single Skill,Service,None
ENG00068,Contractor,Distinction,Intermediate,Multi Skill,Installation,None
ENG00069,Contractor,Pass,Expert,Single Skill,Repair,Service
ENG00070,Contractor,Merit,Beginner,Multi Skill,Service,Repair
ENG00071,Contractor,Distinction,Expert,Single Skill,Service,Repair
ENG00072,Contractor,Distinction,Beginner,Multi Skill,Repair,None
ENG00073,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG00074,Contractor,Merit,Intermediate,Multi Skill,Installation,Installation
ENG00075,Contractor,Distinction,Expert,Single Skill,Repair,Service
ENG00076,Contractor,Distinction,Beginner,Single Skill,Installation,Installation
ENG00077,Contractor,Distinction,Expert,Single Skill,Service,None
ENG00078,Contractor,Distinction,Beginner,Single Skill,Installation,Installation
ENG00079,Contractor,Distinction,Beginner,Single Skill,Repair,Installation
ENG00080,Direct Labour,Pass,Expert,Multi Skill,Service,Service
ENG00081,Contractor,Merit,Expert,Multi Skill,Installation,Repair
ENG00082,Contractor,Distinction,Expert,Single Skill,Repair,Installation
ENG00083,Contractor,Merit,Intermediate,Single Skill,Installation,None
ENG00084,Direct Labour,Distinction,Expert,Single Skill,Repair,Installation
ENG00085,Contractor,Distinction,Intermediate,Single Skill,Service,Service
ENG00086,Direct Labour,Distinction,Intermediate,Multi Skill,Service,Repair
ENG00087,Contractor,Pass,Intermediate,Single Skill,Service,Service
ENG00088,Contractor,Distinction,Expert,Multi Skill,Service,Repair
ENG00089,Direct Labour,Merit,Expert,Single Skill,Installation,Repair
ENG00090,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG00091,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Installation
ENG00092,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG00093,Contractor,Merit,Intermediate,Multi Skill,Service,Repair
ENG00094,Direct Labour,Distinction,Beginner,Single Skill,Service,Repair
ENG00095,Contractor,Merit,Intermediate,Single Skill,Repair,Repair
ENG00096,Direct Labour,Distinction,Beginner,Single Skill,Installation,None
ENG00097,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Repair
ENG00098,Direct Labour,Distinction,Expert,Multi Skill,Installation,Repair
ENG00099,Direct Labour,Merit,Intermediate,Multi Skill,Service,None
ENG00100,Contractor,Distinction,Beginner,Multi Skill,Repair,None
ENG00101,Direct Labour,Merit,Expert,Single Skill,Repair,Service
ENG00102,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00103,Contractor,Merit,Beginner,Multi Skill,Installation,Installation
ENG00104,Direct Labour,Merit,Expert,Multi Skill,Service,None
ENG00105,Contractor,Merit,Expert,Multi Skill,Service,Installation
ENG00106,Contractor,Pass,Intermediate,Single Skill,Service,Repair
ENG00107,Direct Labour,Merit,Expert,Single Skill,Repair,Installation
ENG00108,Contractor,Distinction,Beginner,Single Skill,Service,Service
ENG00109,Direct Labour,Merit,Intermediate,Multi Skill,Repair,None
ENG00110,Direct Labour,Pass,Expert,Single Skill,Installation,None
ENG00111,Contractor,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00112,Direct Labour,Pass,Beginner,Single Skill,Service,None
ENG00113,Contractor,Merit,Expert,Multi Skill,Installation,None
ENG00114,Direct Labour,Merit,Beginner,Multi Skill,Service,None
ENG00115,Contractor,Pass,Expert,Multi Skill,Service,Repair
ENG00116,Direct Labour,Merit,Intermediate,Multi Skill,Repair,Repair
ENG00117,Direct Labour,Merit,Intermediate,Single Skill,Installation,None
ENG00118,Direct Labour,Distinction,Expert,Multi Skill,Service,None
ENG00119,Contractor,Distinction,Expert,Multi Skill,Service,Repair
ENG00120,Contractor,Merit,Beginner,Multi Skill,Repair,Installation
ENG00121,Direct Labour,Distinction,Expert,Multi Skill,Repair,Installation
ENG00122,Direct Labour,Merit,Beginner,Single Skill,Installation,Installation
ENG00123,Contractor,Merit,Intermediate,Single Skill,Repair,None
ENG00124,Contractor,Pass,Intermediate,Single Skill,Installation,Installation
ENG00125,Contractor,Pass,Intermediate,Multi Skill,Repair,Repair
ENG00126,Contractor,Distinction,Intermediate,Single Skill,Installation,Installation
ENG00127,Direct Labour,Merit,Expert,Multi Skill,Installation,Installation
ENG00128,Contractor,Pass,Expert,Multi Skill,Repair,None
ENG00129,Contractor,Pass,Beginner,Multi Skill,Repair,None
ENG00130,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Repair
ENG00131,Contractor,Distinction,Intermediate,Single Skill,Installation,Installation
ENG00132,Contractor,Pass,Expert,Multi Skill,Installation,None
ENG00133,Contractor,Distinction,Expert,Single Skill,Service,Repair
ENG00134,Direct Labour,Distinction,Expert,Multi Skill,Service,Service
ENG00135,Direct Labour,Pass,Beginner,Single Skill,Installation,Installation
ENG00136,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Installation
ENG00137,Contractor,Distinction,Expert,Multi Skill,Repair,Service
ENG00138,Direct Labour,Merit,Expert,Single Skill,Installation,Service
ENG00139,Direct Labour,Pass,Beginner,Single Skill,Service,Installation
ENG00140,Contractor,Merit,Beginner,Multi Skill,Repair,Installation
ENG00141,Contractor,Merit,Expert,Multi Skill,Installation,Service
ENG00142,Direct Labour,Distinction,Beginner,Single Skill,Installation,Service
ENG00143,Direct Labour,Merit,Intermediate,Single Skill,Installation,None
ENG00144,Direct Labour,Pass,Beginner,Single Skill,Repair,None
ENG00145,Contractor,Pass,Intermediate,Single Skill,Installation,Installation
ENG00146,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Repair
ENG00147,Contractor,Distinction,Beginner,Multi Skill,Service,None
ENG00148,Direct Labour,Pass,Expert,Multi Skill,Repair,Installation
ENG00149,Direct Labour,Pass,Intermediate,Single Skill,Installation,Service
ENG00150,Contractor,Pass,Expert,Multi Skill,Service,Service
ENG00151,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG00152,Direct Labour,Merit,Beginner,Single Skill,Repair,None
ENG00153,Direct Labour,Distinction,Beginner,Multi Skill,Repair,Service
ENG00154,Contractor,Pass,Intermediate,Single Skill,Service,Service
ENG00155,Direct Labour,Merit,Expert,Single Skill,Service,None
ENG00156,Direct Labour,Pass,Intermediate,Multi Skill,Service,None
ENG00157,Contractor,Pass,Intermediate,Single Skill,Installation,None
ENG00158,Contractor,Distinction,Expert,Multi Skill,Service,Repair
ENG00159,Contractor,Distinction,Beginner,Multi Skill,Repair,Repair
ENG00160,Direct Labour,Pass,Expert,Multi Skill,Service,Service
ENG00161,Contractor,Distinction,Beginner,Single Skill,Repair,Service
ENG00162,Direct Labour,Pass,Expert,Multi Skill,Installation,Service
ENG00163,Contractor,Distinction,Intermediate,Single Skill,Installation,None
ENG00164,Contractor,Pass,Expert,Multi Skill,Service,Installation
ENG00165,Contractor,Pass,Expert,Single Skill,Installation,Repair
ENG00166,Direct Labour,Merit,Expert,Multi Skill,Service,Service
ENG00167,Direct Labour,Merit,Beginner,Multi Skill,Installation,Repair
ENG00168,Direct Labour,Merit,Beginner,Single Skill,Repair,Repair
ENG00169,Direct Labour,Distinction,Expert,Multi Skill,Service,Service
ENG00170,Contractor,Merit,Beginner,Single Skill,Service,Installation
ENG00171,Direct Labour,Merit,Beginner,Multi Skill,Repair,Service
ENG00172,Direct Labour,Merit,Expert,Multi Skill,Service,Installation
ENG00173,Contractor,Distinction,Beginner,Multi Skill,Service,Installation
ENG00174,Contractor,Pass,Expert,Single Skill,Repair,Service
ENG00175,Contractor,Distinction,Expert,Multi Skill,Installation,Installation
ENG00176,Contractor,Distinction,Beginner,Single Skill,Installation,Service
ENG00177,Contractor,Merit,Beginner,Multi Skill,Service,Repair
ENG00178,Direct Labour,Distinction,Intermediate,Single Skill,Repair,None
ENG00179,Direct Labour,Pass,Intermediate,Multi Skill,Service,Repair
ENG00180,Direct Labour,Distinction,Intermediate,Single Skill,Service,Service
ENG00181,Contractor,Merit,Beginner,Multi Skill,Repair,Service
ENG00182,Contractor,Merit,Intermediate,Multi Skill,Repair,Installation
ENG00183,Contractor,Distinction,Expert,Single Skill,Installation,None
ENG00184,Direct Labour,Distinction,Expert,Single Skill,Service,Repair
ENG00185,Direct Labour,Pass,Expert,Multi Skill,Installation,Repair
ENG00186,Direct Labour,Merit,Expert,Multi Skill,Service,Installation
ENG00187,Direct Labour,Merit,Beginner,Single Skill,Installation,None
ENG00188,Direct Labour,Distinction,Intermediate,Single Skill,Service,Installation
ENG00189,Contractor,Pass,Beginner,Multi Skill,Installation,Service
ENG00190,Direct Labour,Pass,Expert,Single Skill,Installation,None
ENG00191,Contractor,Merit,Intermediate,Multi Skill,Installation,Service
ENG00192,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00193,Contractor,Pass,Intermediate,Multi Skill,Installation,Service
ENG00194,Contractor,Merit,Beginner,Single Skill,Installation,Service
ENG00195,Contractor,Distinction,Beginner,Single Skill,Service,None
ENG00196,Contractor,Pass,Expert,Single Skill,Installation,Service
ENG00197,Contractor,Distinction,Intermediate,Single Skill,Installation,Installation
ENG00198,Contractor,Distinction,Intermediate,Multi Skill,Installation,Repair
ENG00199,Contractor,Merit,Expert,Single Skill,Installation,Repair
ENG00200,Contractor,Pass,Intermediate,Single Skill,Repair,None
ENG00201,Contractor,Pass,Expert,Single Skill,Installation,None
ENG00202,Contractor,Merit,Beginner,Single Skill,Repair,Installation
ENG00203,Direct Labour,Pass,Intermediate,Multi Skill,Installation,Service
ENG00204,Direct Labour,Merit,Beginner,Single Skill,Repair,Repair
ENG00205,Direct Labour,Merit,Expert,Multi Skill,Repair,Service
ENG00206,Direct Labour,Pass,Beginner,Multi Skill,Installation,Service
ENG00207,Contractor,Distinction,Intermediate,Multi Skill,Installation,Installation
ENG00208,Contractor,Merit,Intermediate,Single Skill,Installation,Service
ENG00209,Contractor,Distinction,Beginner,Multi Skill,Installation,None
ENG00210,Direct Labour,Merit,Intermediate,Multi Skill,Installation,Installation
ENG00211,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00212,Contractor,Merit,Expert,Single Skill,Repair,Repair
ENG00213,Direct Labour,Merit,Intermediate,Single Skill,Repair,Repair
ENG00214,Contractor,Distinction,Intermediate,Multi Skill,Installation,Installation
ENG00215,Direct Labour,Merit,Beginner,Multi Skill,Repair,None
ENG00216,Contractor,Pass,Expert,Single Skill,Service,Repair
ENG00217,Direct Labour,Distinction,Beginner,Single Skill,Service,Service
ENG00218,Contractor,Pass,Intermediate,Multi Skill,Service,Service
ENG00219,Direct Labour,Merit,Beginner,Single Skill,Service,Service
ENG00220,Direct Labour,Pass,Intermediate,Multi Skill,Service,None
ENG00221,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG00222,Contractor,Merit,Intermediate,Multi Skill,Service,Service
ENG00223,Contractor,Pass,Expert,Single Skill,Installation,Installation
ENG00224,Direct Labour,Pass,Expert,Multi Skill,Service,Repair
ENG00225,Contractor,Distinction,Beginner,Single Skill,Repair,Installation
ENG00226,Contractor,Pass,Expert,Multi Skill,Repair,Repair
ENG00227,Contractor,Distinction,Intermediate,Multi Skill,Repair,Installation
ENG00228,Contractor,Pass,Beginner,Multi Skill,Service,None
ENG00229,Direct Labour,Pass,Beginner,Multi Skill,Repair,None
ENG00230,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG00231,Contractor,Merit,Beginner,Single Skill,Installation,Service
ENG00232,Direct Labour,Distinction,Beginner,Single Skill,Service,Service
ENG00233,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG00234,Direct Labour,Distinction,Expert,Multi Skill,Installation,Repair
ENG00235,Contractor,Merit,Expert,Single Skill,Repair,Repair
ENG00236,Contractor,Distinction,Beginner,Multi Skill,Installation,Installation
ENG00237,Direct Labour,Distinction,Expert,Single Skill,Repair,Repair
ENG00238,Contractor,Pass,Intermediate,Single Skill,Repair,None
ENG00239,Direct Labour,Distinction,Beginner,Multi Skill,Installation,Service
ENG00240,Contractor,Distinction,Beginner,Single Skill,Service,Service
ENG00241,Contractor,Merit,Expert,Single Skill,Repair,Repair
ENG00242,Direct Labour,Pass,Intermediate,Multi Skill,Service,Repair
ENG00243,Contractor,Merit,Beginner,Multi Skill,Installation,None
ENG00244,Contractor,Merit,Expert,Multi Skill,Service,Repair
ENG00245,Direct Labour,Pass,Intermediate,Single Skill,Installation,Repair
ENG00246,Contractor,Pass,Intermediate,Single Skill,Service,None
ENG00247,Contractor,Merit,Beginner,Multi Skill,Installation,Service
ENG00248,Direct Labour,Distinction,Beginner,Single Skill,Installation,Service
ENG00249,Direct Labour,Pass,Expert,Multi Skill,Installation,None
ENG00250,Direct Labour,Pass,Expert,Single Skill,Service,Repair
ENG00251,Contractor,Distinction,Beginner,Single Skill,Service,None
ENG00252,Direct Labour,Distinction,Expert,Multi Skill,Installation,Service
ENG00253,Direct Labour,Distinction,Intermediate,Multi Skill,Service,Installation
ENG00254,Direct Labour,Pass,Beginner,Multi Skill,Service,Installation
ENG00255,Direct Labour,Distinction,Intermediate,Single Skill,Service,Installation
ENG00256,Contractor,Distinction,Beginner,Single Skill,Repair,Service
ENG00257,Contractor,Pass,Expert,Single Skill,Installation,None
ENG00258,Direct Labour,Pass,Expert,Multi Skill,Repair,Repair
ENG00259,Contractor,Merit,Intermediate,Single Skill,Service,None
ENG00260,Direct Labour,Merit,Intermediate,Single Skill,Repair,None
ENG00261,Direct Labour,Merit,Expert,Multi Skill,Repair,Installation
ENG00262,Contractor,Merit,Expert,Single Skill,Installation,Installation
ENG00263,Direct Labour,Merit,Intermediate,Multi Skill,Repair,Service
ENG00264,Contractor,Merit,Expert,Single Skill,Service,Installation
ENG00265,Contractor,Merit,Beginner,Single Skill,Service,Repair
ENG00266,Contractor,Distinction,Expert,Single Skill,Service,Installation
ENG00267,Direct Labour,Distinction,Expert,Single Skill,Service,Service
ENG00268,Contractor,Pass,Beginner,Multi Skill,Service,Service
ENG00269,Contractor,Pass,Expert,Single Skill,Repair,Installation
ENG00270,Contractor,Distinction,Intermediate,Multi Skill,Installation,Installation
ENG00271,Direct Labour,Merit,Expert,Multi Skill,Service,None
ENG00272,Direct Labour,Pass,Beginner,Multi Skill,Repair,Service
ENG00273,Contractor,Merit,Intermediate,Single Skill,Repair,Service
ENG00274,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Repair
ENG00275,Direct Labour,Merit,Beginner,Single Skill,Service,Repair
ENG00276,Contractor,Pass,Expert,Single Skill,Repair,Repair
ENG00277,Contractor,Pass,Expert,Multi Skill,Service,None
ENG00278,Direct Labour,Merit,Expert,Single Skill,Installation,None
ENG00279,Direct Labour,Merit,Intermediate,Single Skill,Installation,None
ENG00280,Direct Labour,Merit,Beginner,Multi Skill,Service,Service
ENG00281,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Service
ENG00282,Direct Labour,Distinction,Intermediate,Multi Skill,Installation,None
ENG00283,Direct Labour,Merit,Beginner,Multi Skill,Service,Service
ENG00284,Contractor,Distinction,Intermediate,Single Skill,Service,Service
ENG00285,Contractor,Distinction,Beginner,Multi Skill,Installation,None
ENG00286,Direct Labour,Distinction,Expert,Single Skill,Installation,None
ENG00287,Contractor,Pass,Expert,Multi Skill,Installation,Installation
ENG00288,Contractor,Distinction,Beginner,Single Skill,Installation,Repair
ENG00289,Direct Labour,Pass,Beginner,Multi Skill,Service,None
ENG00290,Direct Labour,Pass,Beginner,Single Skill,Installation,Service
ENG00291,Contractor,Merit,Beginner,Single Skill,Installation,Installation
ENG00292,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG00293,Contractor,Distinction,Beginner,Multi Skill,Installation,Service
ENG00294,Contractor,Pass,Expert,Multi Skill,Repair,Service
ENG00295,Contractor,Pass,Expert,Multi Skill,Installation,Service
ENG00296,Direct Labour,Pass,Beginner,Single Skill,Service,Service
ENG00297,Direct Labour,Pass,Intermediate,Multi Skill,Installation,None
ENG00298,Direct Labour,Distinction,Expert,Multi Skill,Service,Repair
ENG00299,Direct Labour,Merit,Expert,Multi Skill,Service,Repair
ENG00300,Contractor,Pass,Beginner,Multi Skill,Repair,Repair
ENG00301,Direct Labour,Merit,Expert,Single Skill,Repair,Repair
ENG00302,Direct Labour,Pass,Expert,Single Skill,Installation,None
ENG00303,Contractor,Distinction,Beginner,Multi Skill,Installation,None
ENG00304,Direct Labour,Pass,Beginner,Multi Skill,Repair,None
ENG00305,Direct Labour,Merit,Intermediate,Multi Skill,Repair,Installation
ENG00306,Direct Labour,Merit,Intermediate,Multi Skill,Installation,Installation
ENG00307,Direct Labour,Pass,Intermediate,Single Skill,Service,Repair
ENG00308,Direct Labour,Merit,Intermediate,Single Skill,Repair,Repair
ENG00309,Direct Labour,Pass,Intermediate,Single Skill,Installation,None
ENG00310,Contractor,Merit,Expert,Multi Skill,Repair,Installation
ENG00311,Direct Labour,Distinction,Expert,Multi Skill,Repair,Installation
ENG00312,Contractor,Pass,Expert,Multi Skill,Service,Repair
ENG00313,Contractor,Pass,Intermediate,Multi Skill,Service,None
ENG00314,Contractor,Merit,Beginner,Multi Skill,Service,Repair
ENG00315,Direct Labour,Merit,Beginner,Multi Skill,Service,None
ENG00316,Contractor,Pass,Beginner,Multi Skill,Service,Service
ENG00317,Contractor,Pass,Expert,Single Skill,Service,Installation
ENG00318,Direct Labour,Merit,Beginner,Multi Skill,Installation,Repair
ENG00319,Contractor,Merit,Expert,Multi Skill,Repair,Service
ENG00320,Contractor,Pass,Intermediate,Multi Skill,Repair,Service
ENG00321,Contractor,Distinction,Expert,Multi Skill,Installation,Service
ENG00322,Direct Labour,Pass,Expert,Single Skill,Installation,None
ENG00323,Direct Labour,Distinction,Beginner,Multi Skill,Service,Service
ENG00324,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00325,Direct Labour,Pass,Intermediate,Single Skill,Repair,Service
ENG00326,Direct Labour,Merit,Intermediate,Single Skill,Service,None
ENG00327,Contractor,Distinction,Expert,Single Skill,Service,None
ENG00328,Contractor,Pass,Intermediate,Multi Skill,Installation,Repair
ENG00329,Contractor,Distinction,Beginner,Single Skill,Installation,Installation
ENG00330,Direct Labour,Pass,Expert,Single Skill,Installation,Service
ENG00331,Direct Labour,Merit,Expert,Multi Skill,Repair,Repair
ENG00332,Direct Labour,Pass,Expert,Multi Skill,Repair,Installation
ENG00333,Direct Labour,Distinction,Beginner,Multi Skill,Service,Service
ENG00334,Contractor,Pass,Intermediate,Single Skill,Service,None
ENG00335,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG00336,Contractor,Distinction,Intermediate,Multi Skill,Service,Repair
ENG00337,Contractor,Pass,Expert,Multi Skill,Service,Installation
ENG00338,Direct Labour,Merit,Intermediate,Single Skill,Service,Repair
ENG00339,Direct Labour,Distinction,Beginner,Multi Skill,Service,Service
ENG00340,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00341,Direct Labour,Merit,Beginner,Multi Skill,Repair,Repair
ENG00342,Direct Labour,Pass,Beginner,Multi Skill,Service,None
ENG00343,Contractor,Distinction,Intermediate,Multi Skill,Repair,Installation
ENG00344,Direct Labour,Pass,Intermediate,Single Skill,Repair,Service
ENG00345,Direct Labour,Merit,Beginner,Multi Skill,Service,Service
ENG00346,Contractor,Merit,Beginner,Single Skill,Installation,Service
ENG00347,Direct Labour,Pass,Expert,Multi Skill,Service,Repair
ENG00348,Direct Labour,Distinction,Expert,Multi Skill,Installation,Installation
ENG00349,Direct Labour,Merit,Beginner,Multi Skill,Repair,None
ENG00350,Contractor,Distinction,Expert,Multi Skill,Repair,Repair
ENG00351,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG00352,Direct Labour,Distinction,Expert,Multi Skill,Service,Service
ENG00353,Contractor,Merit,Beginner,Single Skill,Repair,Installation
ENG00354,Contractor,Distinction,Expert,Single Skill,Installation,Service
ENG00355,Contractor,Pass,Expert,Single Skill,Service,Service
ENG00356,Contractor,Distinction,Beginner,Multi Skill,Repair,Service
ENG00357,Direct Labour,Pass,Intermediate,Multi Skill,Service,None
ENG00358,Contractor,Pass,Expert,Single Skill,Service,None
ENG00359,Direct Labour,Pass,Beginner,Multi Skill,Service,None
ENG00360,Direct Labour,Pass,Intermediate,Single Skill,Installation,Service
ENG00361,Direct Labour,Pass,Beginner,Single Skill,Installation,Repair
ENG00362,Direct Labour,Merit,Beginner,Single Skill,Repair,None
ENG00363,Direct Labour,Pass,Intermediate,Single Skill,Service,Installation
ENG00364,Direct Labour,Pass,Beginner,Single Skill,Service,Repair
ENG00365,Direct Labour,Pass,Beginner,Single Skill,Installation,Service
ENG00366,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Service
ENG00367,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Installation
ENG00368,Contractor,Distinction,Beginner,Multi Skill,Installation,Service
ENG00369,Contractor,Merit,Intermediate,Multi Skill,Repair,Service
ENG00370,Direct Labour,Pass,Intermediate,Single Skill,Installation,Installation
ENG00371,Direct Labour,Merit,Expert,Multi Skill,Repair,None
ENG00372,Contractor,Distinction,Intermediate,Multi Skill,Repair,None
ENG00373,Direct Labour,Merit,Beginner,Multi Skill,Installation,Installation
ENG00374,Contractor,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00375,Contractor,Pass,Intermediate,Single Skill,Service,None
ENG00376,Contractor,Pass,Beginner,Multi Skill,Service,Repair
ENG00377,Direct Labour,Pass,Beginner,Multi Skill,Service,Service
ENG00378,Direct Labour,Merit,Expert,Single Skill,Service,None
ENG00379,Contractor,Distinction,Expert,Single Skill,Repair,None
ENG00380,Direct Labour,Pass,Expert,Multi Skill,Installation,Service
ENG00381,Direct Labour,Merit,Intermediate,Multi Skill,Service,Service
ENG00382,Contractor,Pass,Beginner,Multi Skill,Service,Installation
ENG00383,Direct Labour,Distinction,Expert,Single Skill,Installation,Service
ENG00384,Contractor,Pass,Intermediate,Multi Skill,Installation,Repair
ENG00385,Direct Labour,Pass,Beginner,Single Skill,Installation,Installation
ENG00386,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00387,Contractor,Distinction,Expert,Multi Skill,Service,None
ENG00388,Direct Labour,Distinction,Expert,Multi Skill,Repair,Service
ENG00389,Direct Labour,Pass,Expert,Multi Skill,Repair,Installation
ENG00390,Contractor,Distinction,Intermediate,Multi Skill,Installation,None
ENG00391,Direct Labour,Distinction,Intermediate,Multi Skill,Service,Repair
ENG00392,Contractor,Merit,Beginner,Single Skill,Service,Repair
ENG00393,Contractor,Distinction,Beginner,Multi Skill,Service,Installation
ENG00394,Direct Labour,Merit,Expert,Multi Skill,Service,None
ENG00395,Contractor,Merit,Expert,Multi Skill,Service,Service
ENG00396,Contractor,Pass,Expert,Single Skill,Service,Repair
ENG00397,Contractor,Merit,Beginner,Multi Skill,Installation,Service
ENG00398,Direct Labour,Pass,Expert,Single Skill,Service,Installation
ENG00399,Direct Labour,Distinction,Intermediate,Multi Skill,Installation,Installation
ENG00400,Direct Labour,Pass,Beginner,Single Skill,Service,None
