pay_id,shift_date,productivity
ENG00003,2026-07-25,7.3
ENG00003,2026-07-26,6.69
ENG00003,2026-07-27,5.96
ENG00003,2026-07-28,6.52
ENG00003,2026-07-29,4.14
ENG00003,2026-07-30,6.32
ENG00003,2026-07-31,7.45
ENG00003,2026-08-01,7.39
ENG00003,2026-08-02,5.31
ENG00003,2026-08-03,6.7
ENG00003,2026-08-04,5.95
ENG00003,2026-08-05,6.21
ENG00004,2026-07-09,4.84
ENG00004,2026-07-10,7.83
ENG00004,2026-07-11,7.18
ENG00004,2026-07-12,5.42
ENG00004,2026-07-13,7.62
ENG00004,2026-07-14,4.02
ENG00004,2026-07-15,4.54
ENG00004,2026-07-16,6.52
ENG00004,2026-07-17,4.03
ENG00004,2026-07-18,4.64
ENG00004,2026-07-19,6.37
ENG00004,2026-07-20,6.3
ENG00004,2026-07-21,4.16
ENG00004,2026-07-22,5.95
ENG00004,2026-07-23,5.71
ENG00004,2026-07-24,5.04
ENG00004,2026-07-25,5.32
ENG00004,2026-07-26,5.28
ENG00004,2026-07-27,5.69
ENG00004,2026-07-28,5.36
ENG00004,2026-07-29,4.81
ENG00004,2026-07-30,7.73
ENG00004,2026-07-31,5.58
ENG00004,2026-08-01,4.58
ENG00004,2026-08-02,6.12
ENG00004,2026-08-03,6.14
ENG00004,2026-08-04,4.11
ENG00004,2026-08-05,6.49
ENG00005,2026-07-09,4.15
ENG00005,2026-07-10,6.31
ENG00005,2026-07-11,5.7
ENG00005,2026-07-12,4.6
ENG00005,2026-07-13,7.61
ENG00005,2026-07-14,7.24
ENG00005,2026-07-15,6.33
ENG00005,2026-07-16,5.95
ENG00005,2026-07-17,4.04
ENG00005,2026-07-18,6.87
ENG00005,2026-07-19,5.91
ENG00005,2026-07-20,4.71
ENG00005,2026-07-21,6.72
ENG00005,2026-07-22,4.01
ENG00005,2026-07-23,6.61
ENG00005,2026-07-24,6.99
ENG00005,2026-07-25,5.21
ENG00005,2026-07-26,6.74
ENG00005,2026-07-27,5.82
ENG00005,2026-07-28,4.53
ENG00005,2026-07-29,7.8
ENG00005,2026-07-30,6.59
ENG00005,2026-07-31,4.0
ENG00005,2026-08-01,5.17
ENG00005,2026-08-02,4.38
ENG00005,2026-08-03,6.01
ENG00005,2026-08-04,5.33
ENG00005,2026-08-05,7.45
ENG00006,2026-07-09,4.72
ENG00006,2026-07-10,6.39
ENG00006,2026-07-11,4.33
ENG00006,2026-07-12,4.8
ENG00006,2026-07-13,7.95
ENG00006,2026-07-14,5.66
ENG00006,2026-07-15,4.0
ENG00006,2026-07-16,6.18
ENG00006,2026-07-17,4.99
ENG00006,2026-07-18,4.45
ENG00006,2026-07-19,7.94
ENG00006,2026-07-20,6.33
ENG00006,2026-07-21,6.41
ENG00006,2026-07-22,5.37
ENG00006,2026-07-23,6.23
ENG00006,2026-07-24,6.88
ENG00006,2026-07-25,5.0
ENG00006,2026-07-26,5.5
ENG00006,2026-07-27,4.48
ENG00006,2026-07-28,6.73
ENG00006,2026-07-29,5.41
ENG00006,2026-07-30,5.35
ENG00006,2026-07-31,4.95
ENG00006,2026-08-01,7.44
ENG00006,2026-08-02,6.82
ENG00006,2026-08-03,5.37
ENG00006,2026-08-04,6.63
ENG00006,2026-08-05,7.46
ENG00007,2026-07-09,6.69
ENG00007,2026-07-10,6.89
ENG00007,2026-07-11,6.84
ENG00007,2026-07-12,4.82
ENG00007,2026-07-13,7.42
ENG00007,2026-07-14,7.87
ENG00007,2026-07-15,6.73
ENG00007,2026-07-16,5.89
ENG00007,2026-07-17,5.38
ENG00007,2026-07-18,5.17
ENG00007,2026-07-19,7.32
ENG00007,2026-07-20,5.78
ENG00007,2026-07-21,6.36
ENG00007,2026-07-22,4.85
ENG00007,2026-07-23,7.05
ENG00007,2026-07-24,7.62
ENG00007,2026-07-25,6.21
ENG00007,2026-07-26,7.34
ENG00007,2026-07-27,4.15
ENG00007,2026-07-28,4.73
ENG00007,2026-07-29,4.33
ENG00007,2026-07-30,7.55
ENG00007,2026-07-31,5.01
ENG00007,2026-08-01,5.92
ENG00007,2026-08-02,6.99
ENG00007,2026-08-03,7.44
ENG00007,2026-08-04,4.12
ENG00007,2026-08-05,5.65
ENG00008,2026-07-09,5.24
ENG00008,2026-07-10,6.83
ENG00008,2026-07-11,5.71
ENG00008,2026-07-12,5.28
ENG00008,2026-07-13,7.99
ENG00008,2026-07-14,6.91
ENG00008,2026-07-15,5.72
ENG00008,2026-07-16,4.06
ENG00008,2026-07-17,4.91
ENG00008,2026-07-18,4.33
ENG00008,2026-07-19,5.7
ENG00008,2026-07-20,7.7
ENG00008,2026-07-21,7.14
ENG00008,2026-07-22,4.83
ENG00008,2026-07-23,4.96
ENG00008,2026-07-24,7.47
ENG00008,2026-07-25,4.96
ENG00008,2026-07-26,5.76
ENG00008,2026-07-27,4.04
ENG00008,2026-07-28,4.68
ENG00008,2026-07-29,4.16
ENG00008,2026-07-30,6.84
ENG00008,2026-07-31,6.41
ENG00008,2026-08-01,7.84
ENG00008,2026-08-02,4.34
ENG00008,2026-08-03,7.48
ENG00008,2026-08-04,7.33
ENG00008,2026-08-05,6.61
ENG00009,2026-07-09,5.18
ENG00009,2026-07-10,5.21
ENG00009,2026-07-11,7.45
ENG00009,2026-07-12,7.12
ENG00009,2026-07-13,5.37
ENG00009,2026-07-14,7.02
ENG00009,2026-07-15,7.63
ENG00009,2026-07-16,7.55
ENG00009,2026-07-17,5.77
ENG00009,2026-07-18,6.72
ENG00009,2026-07-19,5.64
ENG00009,2026-07-20,7.05
ENG00009,2026-07-21,7.01
ENG00009,2026-07-22,4.19
ENG00009,2026-07-23,4.94
ENG00009,2026-07-24,6.76
ENG00009,2026-07-25,6.95
ENG00009,2026-07-26,5.23
ENG00009,2026-07-27,4.42
ENG00009,2026-07-28,7.91
ENG00009,2026-07-29,6.29
ENG00009,2026-07-30,5.41
ENG00009,2026-07-31,6.52
ENG00009,2026-08-01,6.79
ENG00009,2026-08-02,6.41
ENG00009,2026-08-03,7.07
ENG00009,2026-08-04,5.49
ENG00009,2026-08-05,4.08
ENG00010,2026-07-09,6.01
ENG00010,2026-07-10,5.04
ENG00010,2026-07-11,4.31
ENG00010,2026-07-12,6.25
ENG00010,2026-07-13,6.22
ENG00010,2026-07-14,4.2
ENG00010,2026-07-15,7.19
ENG00010,2026-07-16,6.66
ENG00010,2026-07-17,5.71
ENG00010,2026-07-18,4.44
ENG00010,2026-07-19,7.01
ENG00010,2026-07-20,6.25
ENG00010,2026-07-21,4.63
ENG00010,2026-07-22,7.25
ENG00010,2026-07-23,6.31
ENG00010,2026-07-24,7.34
ENG00010,2026-07-25,4.41
ENG00010,2026-07-26,5.4
ENG00010,2026-07-27,7.33
ENG00010,2026-07-28,4.7
ENG00010,2026-07-29,6.94
ENG00010,2026-07-30,5.79
ENG00010,2026-07-31,4.44
ENG00010,2026-08-01,7.62
ENG00010,2026-08-02,6.59
ENG00010,2026-08-03,5.9
ENG00010,2026-08-04,6.7
ENG00010,2026-08-05,7.94
ENG00011,2026-07-09,7.44
ENG00011,2026-07-10,4.03
ENG00011,2026-07-11,5.38
ENG00011,2026-07-12,4.49
ENG00011,2026-07-13,6.98
ENG00011,2026-07-14,5.67
ENG00011,2026-07-15,5.54
ENG00011,2026-07-16,6.83
ENG00011,2026-07-17,5.32
ENG00011,2026-07-18,4.38
ENG00011,2026-07-19,4.04
ENG00011,2026-07-20,7.34
ENG00011,2026-07-21,6.41
ENG00011,2026-07-22,6.7
ENG00011,2026-07-23,7.62
ENG00011,2026-07-24,5.89
ENG00011,2026-07-25,7.13
ENG00011,2026-07-26,4.79
ENG00011,2026-07-27,6.44
ENG00011,2026-07-28,4.61
ENG00011,2026-07-29,4.95
ENG00011,2026-07-30,7.06
ENG00011,2026-07-31,4.25
ENG00011,2026-08-01,4.36
ENG00011,2026-08-02,7.26
ENG00011,2026-08-03,4.75
ENG00011,2026-08-04,4.64
ENG00011,2026-08-05,4.19
ENG00012,2026-07-09,6.07
ENG00012,2026-07-10,4.23
ENG00012,2026-07-11,6.58
ENG00012,2026-07-12,5.53
ENG00012,2026-07-13,5.76
ENG00012,2026-07-14,7.74
ENG00012,2026-07-15,5.4
ENG00012,2026-07-16,5.98
ENG00012,2026-07-17,6.73
ENG00012,2026-07-18,4.15
ENG00012,2026-07-19,7.65
ENG00012,2026-07-20,7.2
ENG00012,2026-07-21,5.18
ENG00012,2026-07-22,4.24
ENG00012,2026-07-23,6.27
ENG00012,2026-07-24,4.05
ENG00012,2026-07-25,5.02
ENG00012,2026-07-26,4.77
ENG00012,2026-07-27,6.3
ENG00012,2026-07-28,7.65
ENG00012,2026-07-29,6.73
ENG00012,2026-07-30,4.05
ENG00012,2026-07-31,4.97
ENG00012,2026-08-01,4.54
ENG00012,2026-08-02,7.42
ENG00012,2026-08-03,4.54
ENG00012,2026-08-04,4.01
ENG00012,2026-08-05,5.38
ENG00013,2026-07-09,5.53
ENG00013,2026-07-10,4.34
ENG00013,2026-07-11,5.97
ENG00013,2026-07-12,4.2
ENG00013,2026-07-13,7.57
ENG00013,2026-07-14,4.02
ENG00013,2026-07-15,5.07
ENG00013,2026-07-16,6.8
ENG00013,2026-07-17,7.66
ENG00013,2026-07-18,5.25
ENG00013,2026-07-19,5.29
ENG00013,2026-07-20,6.62
ENG00013,2026-07-21,5.45
ENG00013,2026-07-22,7.29
ENG00013,2026-07-23,4.65
ENG00013,2026-07-24,7.21
ENG00013,2026-07-25,7.51
ENG00013,2026-07-26,6.22
ENG00013,2026-07-27,4.14
ENG00013,2026-07-28,5.66
ENG00013,2026-07-29,6.34
ENG00013,2026-07-30,4.32
ENG00013,2026-07-31,5.15
ENG00013,2026-08-01,6.81
ENG00013,2026-08-02,5.29
ENG00013,2026-08-03,4.33
ENG00013,2026-08-04,7.38
ENG00013,2026-08-05,4.13
ENG00014,2026-07-09,6.55
ENG00014,2026-07-10,6.07
ENG00014,2026-07-11,6.42
ENG00014,2026-07-12,7.66
ENG00014,2026-07-13,6.96
ENG00014,2026-07-14,7.9
ENG00014,2026-07-15,7.22
ENG00014,2026-07-16,7.32
ENG00014,2026-07-17,7.92
ENG00014,2026-07-18,7.73
ENG00014,2026-07-19,4.49
ENG00014,2026-07-20,7.87
ENG00014,2026-07-21,4.37
ENG00014,2026-07-22,4.18
ENG00014,2026-07-23,4.77
ENG00014,2026-07-24,5.97
ENG00014,2026-07-25,6.96
ENG00014,2026-07-26,5.42
ENG00014,2026-07-27,6.09
ENG00014,2026-07-28,6.85
ENG00014,2026-07-29,4.62
ENG00014,2026-07-30,6.07
ENG00014,2026-07-31,7.67
ENG00014,2026-08-01,7.02
ENG00014,2026-08-02,7.43
ENG00014,2026-08-03,5.33
ENG00014,2026-08-04,6.22
ENG00014,2026-08-05,4.87
ENG00015,2026-07-09,6.17
ENG00015,2026-07-10,4.99
ENG00015,2026-07-11,4.06
ENG00015,2026-07-12,5.37
ENG00015,2026-07-13,4.16
ENG00015,2026-07-14,6.73
ENG00015,2026-07-15,6.58
ENG00015,2026-07-16,4.14
ENG00015,2026-07-17,5.51
ENG00015,2026-07-18,6.79
ENG00015,2026-07-19,6.78
ENG00015,2026-07-20,5.56
ENG00015,2026-07-21,6.21
ENG00015,2026-07-22,4.79
ENG00015,2026-07-23,5.99
ENG00015,2026-07-24,4.37
ENG00015,2026-07-25,4.04
ENG00015,2026-07-26,5.88
ENG00015,2026-07-27,5.07
ENG00015,2026-07-28,4.82
ENG00015,2026-07-29,5.59
ENG00015,2026-07-30,5.64
ENG00015,2026-07-31,7.01
ENG00015,2026-08-01,5.35
ENG00015,2026-08-02,5.68
ENG00015,2026-08-03,4.59
ENG00015,2026-08-04,5.36
ENG00015,2026-08-05,4.61
ENG00016,2026-07-09,6.25
ENG00016,2026-07-10,6.47
ENG00016,2026-07-11,7.93
ENG00016,2026-07-12,6.9
ENG00016,2026-07-13,4.72
ENG00016,2026-07-14,4.77
ENG00016,2026-07-15,5.26
ENG00016,2026-07-16,6.58
ENG00016,2026-07-17,6.95
ENG00016,2026-07-18,5.49
ENG00016,2026-07-19,4.88
ENG00016,2026-07-20,7.38
ENG00016,2026-07-21,5.58
ENG00016,2026-07-22,4.02
ENG00016,2026-07-23,4.61
ENG00016,2026-07-24,7.34
ENG00016,2026-07-25,5.34
ENG00016,2026-07-26,7.66
ENG00016,2026-07-27,4.24
ENG00016,2026-07-28,5.91
ENG00016,2026-07-29,6.22
ENG00016,2026-07-30,5.25
ENG00016,2026-07-31,4.78
ENG00016,2026-08-01,4.99
ENG00016,2026-08-02,4.42
ENG00016,2026-08-03,5.44
ENG00016,2026-08-04,6.73
ENG00016,2026-08-05,6.24
ENG00017,2026-07-09,7.69
ENG00017,2026-07-10,4.68
ENG00017,2026-07-11,7.44
ENG00017,2026-07-12,6.09
ENG00017,2026-07-13,4.85
ENG00017,2026-07-14,8.0
ENG00017,2026-07-15,6.11
ENG00017,2026-07-16,4.66
ENG00017,2026-07-17,4.71
ENG00017,2026-07-18,5.07
ENG00017,2026-07-19,4.21
ENG00017,2026-07-20,7.68
ENG00017,2026-07-21,6.09
ENG00017,2026-07-22,6.66
ENG00017,2026-07-23,6.96
ENG00017,2026-07-24,6.46
ENG00017,2026-07-25,7.02
ENG00017,2026-07-26,5.16
ENG00017,2026-07-27,7.2
ENG00017,2026-07-28,4.51
ENG00017,2026-07-29,4.22
ENG00017,2026-07-30,6.3
ENG00017,2026-07-31,5.81
ENG00017,2026-08-01,7.16
ENG00017,2026-08-02,6.14
ENG00017,2026-08-03,4.83
ENG00017,2026-08-04,7.36
ENG00017,2026-08-05,4.97
ENG00018,2026-07-09,5.79
ENG00018,2026-07-10,4.36
ENG00018,2026-07-11,5.36
ENG00018,2026-07-12,7.4
ENG00018,2026-07-13,5.28
ENG00018,2026-07-14,5.19
ENG00018,2026-07-15,6.75
ENG00018,2026-07-16,6.24
ENG00018,2026-07-17,7.9
ENG00018,2026-07-18,7.02
ENG00018,2026-07-19,5.57
ENG00018,2026-07-20,5.2
ENG00018,2026-07-21,4.15
ENG00018,2026-07-22,7.29
ENG00018,2026-07-23,6.87
ENG00018,2026-07-24,7.74
ENG00018,2026-07-25,4.42
ENG00018,2026-07-26,4.63
ENG00018,2026-07-27,6.33
ENG00018,2026-07-28,6.14
ENG00018,2026-07-29,7.91
ENG00018,2026-07-30,7.68
ENG00018,2026-07-31,6.2
ENG00018,2026-08-01,5.01
ENG00018,2026-08-02,6.7
ENG00018,2026-08-03,6.64
ENG00018,2026-08-04,6.38
ENG00018,2026-08-05,5.2
ENG00019,2026-07-09,7.98
ENG00019,2026-07-10,5.84
ENG00019,2026-07-11,4.25
ENG00019,2026-07-12,4.9
ENG00019,2026-07-13,6.56
ENG00019,2026-07-14,5.36
ENG00019,2026-07-15,7.98
ENG00019,2026-07-16,6.23
ENG00019,2026-07-17,7.24
ENG00019,2026-07-18,4.18
ENG00019,2026-07-19,6.14
ENG00019,2026-07-20,6.8
ENG00019,2026-07-21,4.06
ENG00019,2026-07-22,5.66
ENG00019,2026-07-23,5.52
ENG00019,2026-07-24,7.89
ENG00019,2026-07-25,5.93
ENG00019,2026-07-26,6.31
ENG00019,2026-07-27,5.69
ENG00019,2026-07-28,5.46
ENG00019,2026-07-29,6.57
ENG00019,2026-07-30,5.14
ENG00019,2026-07-31,7.85
ENG00019,2026-08-01,5.88
ENG00019,2026-08-02,4.74
ENG00019,2026-08-03,6.97
ENG00019,2026-08-04,7.64
ENG00019,2026-08-05,7.55
ENG00020,2026-07-09,4.55
ENG00020,2026-07-10,4.25
ENG00020,2026-07-11,7.64
ENG00020,2026-07-12,4.96
ENG00020,2026-07-13,4.94
ENG00020,2026-07-14,6.35
ENG00020,2026-07-15,5.17
ENG00020,2026-07-16,4.48
ENG00020,2026-07-17,4.66
ENG00020,2026-07-18,5.03
ENG00020,2026-07-19,5.76
ENG00020,2026-07-20,7.25
ENG00020,2026-07-21,5.3
ENG00020,2026-07-22,4.41
ENG00020,2026-07-23,6.64
ENG00020,2026-07-24,4.78
ENG00020,2026-07-25,7.85
ENG00020,2026-07-26,4.89
ENG00020,2026-07-27,7.89
ENG00020,2026-07-28,5.87
ENG00020,2026-07-29,7.52
ENG00020,2026-07-30,6.49
ENG00020,2026-07-31,4.63
ENG00020,2026-08-01,6.43
ENG00020,2026-08-02,6.25
ENG00020,2026-08-03,5.8
ENG00020,2026-08-04,5.77
ENG00020,2026-08-05,5.12
ENG00021,2026-07-09,6.93
ENG00021,2026-07-10,6.83
ENG00021,2026-07-11,6.11
ENG00021,2026-07-12,6.94
ENG00021,2026-07-13,7.08
ENG00021,2026-07-14,5.3
ENG00021,2026-07-15,4.98
ENG00021,2026-07-16,5.74
ENG00021,2026-07-17,6.27
ENG00021,2026-07-18,7.12
ENG00021,2026-07-19,6.02
ENG00021,2026-07-20,5.59
ENG00021,2026-07-21,7.84
ENG00021,2026-07-22,5.38
ENG00021,2026-07-23,4.26
ENG00021,2026-07-24,4.63
ENG00021,2026-07-25,7.86
ENG00021,2026-07-26,4.92
ENG00021,2026-07-27,6.56
ENG00021,2026-07-28,4.87
ENG00021,2026-07-29,6.94
ENG00021,2026-07-30,5.61
ENG00021,2026-07-31,6.23
ENG00021,2026-08-01,5.44
ENG00021,2026-08-02,4.55
ENG00021,2026-08-03,6.99
ENG00021,2026-08-04,4.21
ENG00021,2026-08-05,4.78
ENG00022,2026-07-09,4.0
ENG00022,2026-07-10,4.55
ENG00022,2026-07-11,7.47
ENG00022,2026-07-12,7.03
ENG00022,2026-07-13,5.36
ENG00022,2026-07-14,6.98
ENG00022,2026-07-15,5.55
ENG00022,2026-07-16,4.14
ENG00022,2026-07-17,6.55
ENG00022,2026-07-18,5.15
ENG00022,2026-07-19,4.42
ENG00022,2026-07-20,7.54
ENG00022,2026-07-21,7.63
ENG00022,2026-07-22,7.09
ENG00022,2026-07-23,6.79
ENG00022,2026-07-24,4.68
ENG00022,2026-07-25,4.93
ENG00022,2026-07-26,5.81
ENG00022,2026-07-27,7.5
ENG00022,2026-07-28,7.03
ENG00022,2026-07-29,7.1
ENG00022,2026-07-30,5.82
ENG00022,2026-07-31,4.94
ENG00022,2026-08-01,6.08
ENG00022,2026-08-02,5.27
ENG00022,2026-08-03,6.88
ENG00022,2026-08-04,5.9
ENG00022,2026-08-05,4.04
ENG00023,2026-07-09,7.5
ENG00023,2026-07-10,4.37
ENG00023,2026-07-11,6.39
ENG00023,2026-07-12,6.57
ENG00023,2026-07-13,7.75
ENG00023,2026-07-14,4.38
ENG00023,2026-07-15,4.95
ENG00023,2026-07-16,7.09
ENG00023,2026-07-17,6.46
ENG00023,2026-07-18,6.62
ENG00023,2026-07-19,6.32
ENG00023,2026-07-20,4.63
ENG00023,2026-07-21,5.29
ENG00023,2026-07-22,6.57
ENG00023,2026-07-23,5.39
ENG00023,2026-07-24,4.56
ENG00023,2026-07-25,6.94
ENG00023,2026-07-26,6.78
ENG00023,2026-07-27,7.74
ENG00023,2026-07-28,5.81
ENG00023,2026-07-29,5.75
ENG00023,2026-07-30,5.92
ENG00023,2026-07-31,4.03
ENG00023,2026-08-01,5.38
ENG00023,2026-08-02,7.47
ENG00023,2026-08-03,4.92
ENG00023,2026-08-04,7.96
ENG00023,2026-08-05,7.81
ENG00024,2026-07-09,6.26
ENG00024,2026-07-10,5.0
ENG00024,2026-07-11,7.99
ENG00024,2026-07-12,7.88
ENG00024,2026-07-13,6.17
ENG00024,2026-07-14,7.65
ENG00024,2026-07-15,6.06
ENG00024,2026-07-16,4.69
ENG00024,2026-07-17,6.85
ENG00024,2026-07-18,7.27
ENG00024,2026-07-19,5.58
ENG00024,2026-07-20,7.51
ENG00024,2026-07-21,5.22
ENG00024,2026-07-22,7.62
ENG00024,2026-07-23,4.97
ENG00024,2026-07-24,4.32
ENG00024,2026-07-25,7.22
ENG00024,2026-07-26,4.77
ENG00024,2026-07-27,5.99
ENG00024,2026-07-28,7.79
ENG00024,2026-07-29,6.49
ENG00024,2026-07-30,5.02
ENG00024,2026-07-31,5.05
ENG00024,2026-08-01,4.7
ENG00024,2026-08-02,4.23
ENG00024,2026-08-03,5.13
ENG00024,2026-08-04,7.59
ENG00024,2026-08-05,5.66
ENG00025,2026-07-09,4.33
ENG00025,2026-07-10,6.66
ENG00025,2026-07-11,7.51
ENG00025,2026-07-12,4.07
ENG00025,2026-07-13,7.33
ENG00025,2026-07-14,6.73
ENG00025,2026-07-15,5.62
ENG00025,2026-07-16,4.57
ENG00025,2026-07-17,7.98
ENG00025,2026-07-18,7.07
ENG00025,2026-07-19,4.33
ENG00025,2026-07-20,6.67
ENG00025,2026-07-21,5.19
ENG00025,2026-07-22,5.13
ENG00025,2026-07-23,4.02
ENG00025,2026-07-24,7.36
ENG00025,2026-07-25,4.49
ENG00025,2026-07-26,6.88
ENG00025,2026-07-27,4.22
ENG00025,2026-07-28,4.4
ENG00025,2026-07-29,4.2
ENG00025,2026-07-30,7.19
ENG00025,2026-07-31,7.2
ENG00025,2026-08-01,6.28
ENG00025,2026-08-02,5.14
ENG00025,2026-08-03,6.46
ENG00025,2026-08-04,6.97
ENG00025,2026-08-05,7.43
ENG00026,2026-07-09,6.97
ENG00026,2026-07-10,5.96
ENG00026,2026-07-11,7.16
ENG00026,2026-07-12,6.83
ENG00026,2026-07-13,6.85
ENG00026,2026-07-14,4.67
ENG00026,2026-07-15,7.98
ENG00026,2026-07-16,6.89
ENG00026,2026-07-17,6.66
ENG00026,2026-07-18,4.02
ENG00026,2026-07-19,4.42
ENG00026,2026-07-20,4.2
ENG00026,2026-07-21,6.66
ENG00026,2026-07-22,5.69
ENG00026,2026-07-23,7.78
ENG00026,2026-07-24,5.82
ENG00026,2026-07-25,5.19
ENG00026,2026-07-26,5.1
ENG00026,2026-07-27,6.27
ENG00026,2026-07-28,5.35
ENG00026,2026-07-29,7.85
ENG00026,2026-07-30,6.07
ENG00026,2026-07-31,6.2
ENG00026,2026-08-01,7.5
ENG00026,2026-08-02,4.24
ENG00026,2026-08-03,7.16
ENG00026,2026-08-04,6.27
ENG00026,2026-08-05,4.9
ENG00027,2026-07-09,6.77
ENG00027,2026-07-10,6.43
ENG00027,2026-07-11,4.21
ENG00027,2026-07-12,4.42
ENG00027,2026-07-13,5.41
ENG00027,2026-07-14,7.7
ENG00027,2026-07-15,7.48
ENG00027,2026-07-16,4.12
ENG00027,2026-07-17,5.93
ENG00027,2026-07-18,7.92
ENG00027,2026-07-19,4.09
ENG00027,2026-07-20,5.88
ENG00027,2026-07-21,6.21
ENG00027,2026-07-22,5.73
ENG00027,2026-07-23,5.22
ENG00027,2026-07-24,4.09
ENG00027,2026-07-25,6.34
ENG00027,2026-07-26,5.89
ENG00027,2026-07-27,7.8
ENG00027,2026-07-28,4.24
ENG00027,2026-07-29,6.82
ENG00027,2026-07-30,7.64
ENG00027,2026-07-31,6.95
ENG00027,2026-08-01,4.94
ENG00027,2026-08-02,6.49
ENG00027,2026-08-03,4.59
ENG00027,2026-08-04,4.82
ENG00027,2026-08-05,7.67
ENG00028,2026-07-09,5.35
ENG00028,2026-07-10,7.54
ENG00028,2026-07-11,4.2
ENG00028,2026-07-12,7.71
ENG00028,2026-07-13,4.05
ENG00028,2026-07-14,6.31
ENG00028,2026-07-15,7.68
ENG00028,2026-07-16,5.38
ENG00028,2026-07-17,6.59
ENG00028,2026-07-18,6.83
ENG00028,2026-07-19,6.72
ENG00028,2026-07-20,4.55
ENG00028,2026-07-21,4.03
ENG00028,2026-07-22,5.45
ENG00028,2026-07-23,7.8
ENG00028,2026-07-24,6.95
ENG00028,2026-07-25,5.58
ENG00028,2026-07-26,6.74
ENG00028,2026-07-27,6.54
ENG00028,2026-07-28,6.79
ENG00028,2026-07-29,4.92
ENG00028,2026-07-30,7.75
ENG00028,2026-07-31,5.04
ENG00028,2026-08-01,7.16
ENG00028,2026-08-02,7.09
ENG00028,2026-08-03,7.57
ENG00028,2026-08-04,5.65
ENG00028,2026-08-05,6.69
ENG00029,2026-07-09,7.07
ENG00029,2026-07-10,5.67
ENG00029,2026-07-11,5.13
ENG00029,2026-07-12,7.13
ENG00029,2026-07-13,4.16
ENG00029,2026-07-14,4.28
ENG00029,2026-07-15,6.62
ENG00029,2026-07-16,6.07
ENG00029,2026-07-17,7.46
ENG00029,2026-07-18,4.02
ENG00029,2026-07-19,7.82
ENG00029,2026-07-20,7.09
ENG00029,2026-07-21,4.09
ENG00029,2026-07-22,7.08
ENG00029,2026-07-23,5.56
ENG00029,2026-07-24,4.1
ENG00029,2026-07-25,7.55
ENG00029,2026-07-26,6.86
ENG00029,2026-07-27,4.41
ENG00029,2026-07-28,7.79
ENG00029,2026-07-29,5.08
ENG00029,2026-07-30,5.79
ENG00029,2026-07-31,6.79
ENG00029,2026-08-01,4.21
ENG00029,2026-08-02,6.24
ENG00029,2026-08-03,6.58
ENG00029,2026-08-04,7.48
ENG00029,2026-08-05,7.09
ENG00030,2026-07-09,5.94
ENG00030,2026-07-10,6.46
ENG00030,2026-07-11,7.86
ENG00030,2026-07-12,7.63
ENG00030,2026-07-13,7.45
ENG00030,2026-07-14,5.52
ENG00030,2026-07-15,6.66
ENG00030,2026-07-16,6.35
ENG00030,2026-07-17,4.23
