pincode,customer_id,epc_rating,current_energy_efficiency,potential_energy_efficiency
PC5655,CUST00180750,G,22,61
PC3518,CUST00081556,C,46,59
PC9172,CUST00031632,C,99,50
PC9557,CUST00059747,F,94,50
PC5535,CUST00195022,B,83,78
PC1424,CUST00264876,E,58,97
PC8421,CUST00233317,C,20,85
PC6062,CUST00247700,B,97,87
PC9169,CUST00060277,B,11,91
PC3514,CUST00206446,E,53,53
PC7483,CUST00228972,E,71,77
PC4568,CUST00173901,C,26,76
PC5353,CUST00078113,G,80,77
PC4008,CUST00097277,E,33,70
PC2250,CUST00139401,G,30,75
PC2197,CUST00207931,C,61,65
PC1917,CUST00142731,E,39,76
PC8540,CUST00213267,D,73,70
PC8513,CUST00182645,B,44,69
PC1389,CUST00002575,B,93,94
PC7644,CUST00058800,B,75,66
PC2707,CUST00213861,A,59,92
PC9677,CUST00008896,G,94,92
PC3082,CUST00217030,G,30,96
PC5355,CUST00202049,A,99,89
PC1933,CUST00206883,D,69,54
PC5226,CUST00022504,F,16,82
PC4042,CUST00202481,G,93,72
PC1590,CUST00188815,B,58,64
PC4459,CUST00106550,D,36,73
PC4043,CUST00237425,F,75,93
PC8379,CUST00007750,E,7,91
PC6183,CUST00263212,F,34,98
PC2759,CUST00091385,D,88,86
PC1589,CUST00142931,F,21,69
PC5982,CUST00079280,D,32,69
PC3248,CUST00228695,B,9,65
PC5786,CUST00251783,C,90,78
PC7633,CUST00075442,B,42,94
PC1596,CUST00131628,A,66,96
PC9210,CUST00242978,A,54,68
PC5440,CUST00261046,A,44,89
PC7601,CUST00080204,B,76,99
PC6110,CUST00157745,B,83,60
PC4507,CUST00238809,C,68,82
PC9293,CUST00230853,A,15,51
PC4728,CUST00167908,G,84,89
PC8937,CUST00173477,F,6,88
PC4598,CUST00052007,E,90,72
PC7917,CUST00104614,D,94,77
PC5737,CUST00121534,F,51,50
PC9339,CUST00115115,D,3,88
PC9892,CUST00032619,F,80,83
PC7040,CUST00032342,A,17,84
PC4189,CUST00115489,A,48,80
PC6031,CUST00010145,E,85,99
PC1461,CUST00001038,E,76,86
PC9493,CUST00227026,F,23,87
PC4467,CUST00226185,B,95,56
PC8897,CUST00053780,E,92,83
PC2963,CUST00263979,E,60,86
PC2202,CUST00269551,E,41,51
PC6254,CUST00013375,C,37,91
PC4777,CUST00037114,F,76,59
PC4959,CUST00232597,C,22,75
PC7833,CUST00167501,C,11,64
PC3688,CUST00116568,G,66,94
PC9798,CUST00132251,G,61,75
PC1115,CUST00011388,G,44,89
PC7976,CUST00068790,D,53,90
PC7389,CUST00098384,B,18,64
PC3656,CUST00065951,D,76,85
PC9274,CUST00020248,G,88,97
PC1668,CUST00095019,D,21,65
PC1900,CUST00170708,F,11,53
PC2784,CUST00023898,D,10,63
PC3518,CUST00251837,F,61,96
PC1265,CUST00265003,F,21,83
PC7232,CUST00164257,E,86,59
PC9844,CUST00088307,E,6,78
PC2210,CUST00183656,B,34,52
PC3209,CUST00218751,C,94,52
PC3876,CUST00263670,E,48,67
PC2973,CUST00083267,E,52,50
PC8114,CUST00062301,F,40,89
PC9443,CUST00107831,C,93,50
PC3330,CUST00006731,E,67,62
PC4182,CUST00242117,B,36,62
PC6641,CUST00024738,E,86,97
PC4173,CUST00119621,B,36,60
PC4535,CUST00008433,D,77,87
PC1163,CUST00150002,A,84,83
PC5612,CUST00169342,E,64,94
PC8924,CUST00133239,C,52,87
PC4290,CUST00049693,G,65,79
PC2974,CUST00083932,D,41,63
PC2897,CUST00170436,D,16,85
PC7967,CUST00066660,G,71,95
PC7124,CUST00032776,A,68,59
PC2872,CUST00213389,F,20,76
PC9818,CUST00109212,C,92,77
PC4260,CUST00116808,C,17,69
PC9040,CUST00232088,A,87,80
PC5869,CUST00238791,B,45,62
PC5841,CUST00127751,E,63,55
PC1226,CUST00197278,G,53,61
PC1538,CUST00205950,F,49,65
PC6853,CUST00101386,F,62,54
PC3637,CUST00038401,B,13,95
PC4470,CUST00055989,B,19,87
PC8315,CUST00119236,E,33,88
PC4844,CUST00041447,A,22,50
PC4564,CUST00132920,A,2,60
PC6279,CUST00226138,C,92,98
PC5871,CUST00050092,G,19,60
PC4246,CUST00196278,F,90,66
PC9252,CUST00027760,F,55,87
PC6926,CUST00040752,A,60,87
PC6426,CUST00147229,C,84,88
PC7593,CUST00242704,G,79,91
PC2908,CUST00083111,G,41,92
PC5445,CUST00065072,B,75,61
PC4466,CUST00145085,F,52,97
PC6130,CUST00107508,E,43,79
PC6614,CUST00098342,F,96,60
PC1633,CUST00042450,E,97,58
PC3593,CUST00200760,G,23,95
PC7760,CUST00030134,B,33,83
PC3825,CUST00016477,F,74,76
PC5461,CUST00032196,F,8,53
PC7398,CUST00158387,B,99,99
PC8873,CUST00262619,A,57,54
PC3565,CUST00039809,D,86,52
PC7760,CUST00213492,A,16,96
PC3108,CUST00210941,G,68,73
PC6405,CUST00034532,G,50,70
PC2908,CUST00227259,C,27,94
PC4326,CUST00121614,C,71,77
PC8526,CUST00263487,E,18,59
PC7410,CUST00000285,G,3,79
PC3876,CUST00027223,D,6,79
PC9338,CUST00241567,C,83,59
PC9416,CUST00123889,E,17,71
PC9195,CUST00051274,C,74,70
PC6776,CUST00123288,C,66,77
PC2224,CUST00145094,F,71,95
PC3333,CUST00099362,C,55,97
PC9156,CUST00036438,G,95,81
PC3841,CUST00108444,A,84,61
PC7557,CUST00222892,E,2,83
PC7329,CUST00195467,F,71,63
PC8809,CUST00117911,E,68,67
PC8535,CUST00077841,F,95,92
PC6671,CUST00132982,F,70,95
PC7342,CUST00155295,A,93,73
PC9709,CUST00146945,C,37,87
PC9305,CUST00167292,A,87,79
PC4126,CUST00106365,E,69,96
PC4104,CUST00168464,C,4,75
PC3253,CUST00090011,B,2,76
PC1587,CUST00247651,D,94,79
PC5758,CUST00013430,B,77,86
PC8017,CUST00033032,F,14,80
PC3015,CUST00037207,F,16,90
PC8689,CUST00101280,D,26,64
PC7455,CUST00153472,F,96,72
PC1795,CUST00029230,C,86,68
PC9077,CUST00141471,E,38,78
PC2456,CUST00222851,C,42,68
PC8001,CUST00251057,C,88,81
PC7021,CUST00071567,B,71,72
PC5525,CUST00198386,F,9,70
PC6631,CUST00208509,E,52,72
PC9763,CUST00047392,A,45,75
PC1246,CUST00086581,F,72,84
PC6681,CUST00096206,E,24,94
PC8411,CUST00251150,B,17,61
PC1785,CUST00105776,G,41,95
PC7573,CUST00234760,A,30,89
PC6898,CUST00212089,C,26,77
PC8656,CUST00080025,F,90,59
PC9388,CUST00176915,D,32,67
PC5322,CUST00017008,A,23,59
PC6774,CUST00264342,E,17,77
PC6919,CUST00021041,C,56,50
PC3412,CUST00034813,A,54,54
PC6764,CUST00216943,F,86,72
PC8240,CUST00252120,D,47,50
PC9762,CUST00126611,C,91,92
PC1876,CUST00255803,G,2,69
PC6555,CUST00058653,E,11,85
PC4069,CUST00027201,C,89,82
PC7271,CUST00057336,B,70,65
PC5200,CUST00015757,C,49,93
PC5120,CUST00219939,A,44,98
PC7592,CUST00071404,F,36,92
PC5621,CUST00014174,G,17,77
PC9185,CUST00035161,C,66,77
PC9481,CUST00065984,D,98,92
PC3229,CUST00099431,F,56,70
PC7417,CUST00201545,G,98,96
PC9555,CUST00039280,D,65,76
PC8880,CUST00154974,D,30,66
PC5807,CUST00084596,A,83,99
PC8461,CUST00160987,B,45,94
PC7368,CUST00220796,C,89,97
PC4894,CUST00241646,B,91,91
PC4130,CUST00245804,E,78,79
PC4345,CUST00197099,C,3,90
PC5582,CUST00205358,E,17,93
PC4275,CUST00249555,G,13,60
PC4726,CUST00034773,F,31,71
PC5022,CUST00239555,B,56,88
PC6521,CUST00023278,F,65,73
PC9346,CUST00029516,C,73,87
PC6231,CUST00082225,G,47,65
PC1624,CUST00142124,A,91,78
PC4738,CUST00147448,D,64,71
PC9843,CUST00216490,B,91,96
PC1880,CUST00166380,G,25,71
PC1849,CUST00086227,B,64,72
PC9869,CUST00070382,F,79,76
PC4688,CUST00196009,F,36,58
PC4361,CUST00112936,A,68,60
PC7013,CUST00072150,F,36,84
PC5226,CUST00171235,G,28,96
PC2820,CUST00179276,G,29,95
PC3345,CUST00119160,D,66,67
PC5790,CUST00096982,B,24,87
PC2385,CUST00021942,C,1,62
PC1065,CUST00035386,E,88,81
PC5559,CUST00073907,D,41,83
PC1275,CUST00171605,G,39,50
PC4563,CUST00040451,D,50,52
PC2618,CUST00212538,D,12,78
PC7659,CUST00020279,C,23,76
PC6177,CUST00002439,B,89,89
PC4962,CUST00217934,E,91,85
PC5211,CUST00242223,B,41,66
PC3602,CUST00185239,B,57,90
PC2823,CUST00096272,E,47,79
PC2907,CUST00234601,G,92,73
PC7771,CUST00238625,E,74,84
PC2496,CUST00010181,C,80,94
PC6770,CUST00071096,D,46,56
PC2596,CUST00019458,E,20,77
PC9206,CUST00050576,D,54,81
PC3133,CUST00258753,D,67,91
PC6962,CUST00267777,G,38,84
PC6884,CUST00117199,A,4,86
PC2290,CUST00142470,D,47,96
PC3067,CUST00071862,D,42,80
PC5774,CUST00233936,A,33,81
PC3428,CUST00046587,E,69,81
PC2966,CUST00161621,D,23,64
PC4395,CUST00267544,E,18,70
PC2845,CUST00009219,G,83,69
PC1991,CUST00020874,G,17,91
PC1645,CUST00050283,B,15,87
PC5522,CUST00055969,F,62,96
PC3820,CUST00268293,E,49,52
PC4437,CUST00237688,G,1,55
PC9751,CUST00194422,C,70,72
PC8125,CUST00164233,B,91,69
PC1093,CUST00190451,D,74,61
PC1126,CUST00142794,F,49,90
PC7947,CUST00124204,F,94,74
PC4175,CUST00022616,A,29,81
PC1816,CUST00072960,B,95,56
PC7069,CUST00180306,C,50,55
PC4229,CUST00049797,A,63,52
PC4719,CUST00218935,G,86,61
PC6911,CUST00241011,C,11,52
PC8093,CUST00231952,A,58,63
PC8942,CUST00138907,B,85,69
PC6852,CUST00202433,F,98,97
PC8322,CUST00138688,F,25,62
PC3434,CUST00029309,C,77,73
PC8663,CUST00108843,G,83,95
PC8950,CUST00168323,E,23,69
PC5544,CUST00221496,C,16,61
PC1434,CUST00263859,C,95,70
PC9787,CUST00210409,G,83,62
PC9887,CUST00136344,G,14,61
PC6333,CUST00249802,G,73,84
PC1431,CUST00023375,G,49,74
PC7345,CUST00003341,D,38,74
PC4285,CUST00218455,D,43,50
PC2471,CUST00208121,G,40,88
PC8756,CUST00219807,D,12,81
PC7859,CUST00186166,B,98,67
PC9471,CUST00064133,C,92,79
PC5086,CUST00133196,D,5,77
PC3688,CUST00188368,F,98,57
PC7772,CUST00263166,D,8,82
PC4690,CUST00019368,C,76,63
PC8471,CUST00025590,E,98,98
PC5036,CUST00112231,C,82,88
PC5991,CUST00185143,G,62,77
PC6761,CUST00250416,E,12,95
PC6487,CUST00087036,A,1,54
PC2082,CUST00166224,E,28,67
PC5843,CUST00186944,A,69,82
PC4960,CUST00268647,F,45,52
PC4367,CUST00124338,D,76,66
PC7317,CUST00199305,D,68,50
PC5282,CUST00004695,C,61,87
PC9979,CUST00058775,G,15,77
PC4836,CUST00065253,E,28,89
PC2562,CUST00205639,G,98,91
PC3054,CUST00005470,C,17,72
PC4828,CUST00063729,B,2,66
PC1446,CUST00236213,G,65,96
PC9705,CUST00031832,C,67,83
PC7881,CUST00136658,F,78,96
PC5649,CUST00069877,A,68,85
PC4375,CUST00101201,F,7,84
PC4955,CUST00033647,E,19,53
PC4046,CUST00141459,C,59,59
PC8486,CUST00167553,A,58,78
PC4944,CUST00149693,B,75,66
PC6041,CUST00136147,D,3,93
PC3895,CUST00174305,F,54,97
PC3943,CUST00068764,A,75,79
PC3725,CUST00045402,D,8,71
PC8877,CUST00066266,F,55,61
PC1134,CUST00230300,B,8,61
PC4460,CUST00118018,C,41,62
PC2826,CUST00132481,A,14,81
PC9750,CUST00177708,D,12,72
PC4810,CUST00228189,B,33,75
PC2374,CUST00097113,A,61,95
