customer_id,property_type,number_of_floors,rooms,have_gas_pipeline,external_or_internal_electricity_source,property_built_date
CUST00089305,Detached,2,5,No,Grid + Solar,2013-01-24
CUST00204722,Flat,3,3,Yes,Grid + Solar,2001-08-01
CUST00146977,Bungalow,2,4,Yes,Company Provided,1995-08-03
CUST00060625,Terraced,3,7,Yes,Company Provided,1970-03-12
CUST00019660,Flat,1,2,Yes,Grid + Solar,1994-01-09
CUST00190340,Terraced,1,6,No,Grid + Solar,1989-04-23
CUST00140998,Bungalow,2,4,Yes,Grid + Solar,2005-07-21
CUST00135990,Terraced,3,5,No,Grid + Solar,1976-02-13
CUST00080036,Detached,1,6,Yes,Solar,1997-11-29
CUST00143850,Flat,3,7,Yes,Solar,2007-03-16
CUST00237931,Semi-Detached,2,4,Yes,Solar,2000-06-10
CUST00263617,Detached,3,3,Yes,Grid + Solar,1975-02-22
CUST00121179,Bungalow,2,6,No,Grid + Solar,2016-10-17
CUST00237109,Bungalow,2,6,No,Grid + Solar,1999-04-07
CUST00143089,Detached,1,5,No,Company Provided,1997-04-13
CUST00028920,Terraced,3,4,No,Company Provided,2000-11-13
CUST00189815,Flat,3,5,Yes,Grid + Solar,2008-08-24
CUST00000728,Semi-Detached,1,5,No,Grid + Solar,2008-09-15
CUST00072421,Detached,1,3,No,Company Provided,1980-09-17
CUST00248391,Flat,2,2,No,Solar,2004-11-08
CUST00253569,Terraced,1,7,No,Grid + Solar,1993-02-27
CUST00098599,Bungalow,3,5,Yes,Company Provided,1977-10-14
CUST00136973,Detached,3,4,Yes,Grid + Solar,1978-09-14
CUST00101496,Detached,1,2,No,Grid + Solar,1989-08-24
CUST00031302,Bungalow,2,5,Yes,Company Provided,1971-04-02
CUST00182031,Detached,1,3,Yes,Solar,1975-04-16
CUST00164556,Detached,1,5,No,Company Provided,1993-02-26
CUST00223205,Detached,3,4,No,Grid + Solar,2005-03-23
CUST00078441,Detached,3,5,No,Solar,1997-12-15
CUST00266084,Bungalow,2,7,No,Solar,1990-06-19
CUST00011634,Bungalow,1,4,Yes,Solar,1985-05-24
CUST00072006,Semi-Detached,1,5,No,Solar,2005-07-27
CUST00081755,Detached,1,4,No,Company Provided,1975-08-20
CUST00208227,Semi-Detached,2,7,Yes,Grid + Solar,2007-06-19
CUST00081752,Flat,1,7,Yes,Company Provided,2013-01-26
CUST00245086,Flat,1,2,No,Solar,1995-07-14
CUST00024129,Flat,2,4,No,Company Provided,2004-12-19
CUST00146557,Detached,1,3,Yes,Solar,2014-11-12
CUST00122703,Detached,2,7,Yes,Solar,2004-04-14
CUST00074659,Detached,2,2,No,Solar,1990-09-01
CUST00048081,Semi-Detached,3,5,No,Company Provided,1987-12-05
CUST00132279,Detached,3,7,No,Grid + Solar,1972-03-10
CUST00004276,Flat,3,7,No,Company Provided,1982-05-23
CUST00083150,Semi-Detached,1,6,No,Grid + Solar,1988-10-13
CUST00228184,Detached,2,2,No,Company Provided,2012-07-26
CUST00127950,Flat,1,2,No,Grid + Solar,1994-12-31
CUST00042351,Semi-Detached,1,5,Yes,Company Provided,2005-12-28
CUST00050004,Detached,1,4,Yes,Company Provided,2015-10-19
CUST00239741,Semi-Detached,2,6,Yes,Grid + Solar,1987-07-19
CUST00249289,Semi-Detached,3,3,Yes,Solar,1971-08-20
CUST00052191,Terraced,1,4,No,Company Provided,2008-07-26
CUST00035568,Detached,1,4,Yes,Solar,1995-09-12
CUST00018814,Flat,3,7,Yes,Grid + Solar,1998-12-25
CUST00110949,Bungalow,1,7,No,Grid + Solar,2013-07-16
CUST00000833,Flat,3,4,No,Grid + Solar,2014-03-30
CUST00220251,Flat,2,7,Yes,Company Provided,2009-09-14
CUST00038462,Flat,3,3,No,Solar,1986-06-11
CUST00124457,Detached,2,2,No,Grid + Solar,2004-05-21
CUST00270885,Terraced,3,4,Yes,Grid + Solar,1984-08-16
CUST00105624,Terraced,2,7,No,Solar,2006-03-29
CUST00232229,Detached,3,3,No,Grid + Solar,2008-08-14
CUST00043842,Terraced,3,5,Yes,Company Provided,2017-01-12
CUST00122934,Bungalow,3,6,No,Company Provided,2011-08-07
CUST00122259,Semi-Detached,3,5,Yes,Grid + Solar,1996-10-01
CUST00266364,Detached,2,5,No,Company Provided,1989-10-11
CUST00253018,Bungalow,1,5,No,Solar,1975-12-24
CUST00025904,Semi-Detached,3,5,No,Grid + Solar,1991-09-25
CUST00109652,Flat,2,7,No,Solar,1984-08-15
CUST00027310,Detached,3,2,No,Grid + Solar,2005-11-27
CUST00222395,Semi-Detached,3,7,Yes,Grid + Solar,1995-12-18
CUST00268628,Detached,2,3,Yes,Company Provided,2001-02-27
CUST00072606,Bungalow,3,4,Yes,Company Provided,1981-11-15
CUST00136784,Terraced,2,6,No,Solar,1973-12-10
CUST00076374,Bungalow,1,6,No,Company Provided,1986-02-09
CUST00189287,Detached,1,2,No,Company Provided,2015-01-29
CUST00107207,Flat,2,2,No,Grid + Solar,1978-11-25
CUST00069676,Detached,1,2,No,Grid + Solar,1973-03-03
CUST00043937,Terraced,3,4,Yes,Company Provided,1991-05-27
CUST00148075,Flat,3,2,No,Company Provided,1988-01-08
CUST00211330,Detached,1,3,Yes,Grid + Solar,2004-10-30
CUST00104871,Flat,3,7,Yes,Solar,2019-01-04
CUST00025472,Flat,1,4,Yes,Grid + Solar,1981-09-26
CUST00243816,Semi-Detached,1,3,Yes,Solar,1986-11-17
CUST00097802,Flat,3,3,No,Grid + Solar,1995-07-02
CUST00270736,Detached,3,6,Yes,Grid + Solar,2000-11-16
CUST00120486,Flat,1,5,Yes,Solar,2002-04-06
CUST00038415,Semi-Detached,1,7,Yes,Grid + Solar,2013-03-09
CUST00072827,Bungalow,2,4,Yes,Solar,1987-08-11
CUST00166612,Terraced,1,3,No,Solar,1977-03-03
CUST00266329,Detached,1,3,Yes,Solar,1991-09-26
CUST00165228,Detached,3,7,No,Company Provided,1975-02-25
CUST00213696,Terraced,3,7,No,Grid + Solar,2000-02-22
CUST00242229,Bungalow,2,7,Yes,Grid + Solar,1975-01-21
CUST00036112,Detached,2,7,No,Grid + Solar,2001-02-20
CUST00195362,Detached,1,4,No,Grid + Solar,1992-09-14
CUST00062514,Flat,1,4,No,Solar,1999-10-21
CUST00243730,Semi-Detached,3,7,Yes,Company Provided,2011-04-23
CUST00035881,Semi-Detached,2,5,No,Grid + Solar,2006-07-13
CUST00194926,Terraced,1,7,Yes,Grid + Solar,1979-10-31
CUST00077265,Flat,3,7,Yes,Solar,2015-03-01
CUST00108606,Semi-Detached,3,3,No,Solar,2014-05-06
CUST00133701,Flat,2,3,Yes,Company Provided,2014-09-08
CUST00160572,Terraced,3,2,No,Grid + Solar,1989-04-20
CUST00238491,Semi-Detached,2,4,No,Grid + Solar,2010-06-07
CUST00104331,Terraced,3,4,No,Grid + Solar,2013-06-21
CUST00112868,Bungalow,1,6,No,Grid + Solar,1993-12-14
CUST00103577,Semi-Detached,2,5,No,Company Provided,1982-06-20
CUST00208932,Terraced,2,7,No,Company Provided,2008-05-02
CUST00046515,Flat,2,6,No,Company Provided,2003-06-28
CUST00002336,Semi-Detached,1,3,Yes,Grid + Solar,2017-10-20
CUST00011108,Flat,1,6,No,Solar,2016-03-22
CUST00033902,Terraced,1,5,Yes,Solar,1996-02-14
CUST00043166,Flat,1,3,Yes,Company Provided,2019-07-25
CUST00078670,Detached,1,2,Yes,Company Provided,1989-07-12
CUST00256009,Bungalow,3,5,Yes,Grid + Solar,1992-04-14
CUST00196119,Semi-Detached,2,4,No,Company Provided,1992-10-06
CUST00256225,Flat,2,3,No,Solar,2009-01-15
CUST00111465,Semi-Detached,1,4,No,Company Provided,2003-08-28
CUST00229407,Detached,3,3,Yes,Solar,2001-03-06
CUST00229829,Terraced,2,4,No,Grid + Solar,1978-07-31
CUST00091758,Bungalow,1,5,Yes,Solar,1972-07-26
CUST00164960,Terraced,2,4,No,Grid + Solar,2010-04-09
CUST00244633,Terraced,3,6,Yes,Solar,1986-08-01
CUST00144590,Terraced,1,4,Yes,Solar,1991-11-30
CUST00182289,Flat,1,2,No,Solar,1988-12-28
CUST00166915,Flat,1,5,Yes,Grid + Solar,2012-11-02
CUST00014745,Semi-Detached,2,4,Yes,Grid + Solar,1987-08-24
CUST00158571,Terraced,1,3,No,Company Provided,2009-01-25
CUST00023595,Terraced,2,3,No,Company Provided,1977-12-09
CUST00031284,Semi-Detached,1,7,Yes,Solar,1988-02-05
CUST00067850,Flat,1,4,No,Solar,2011-10-19
CUST00029975,Semi-Detached,3,4,No,Solar,1988-07-23
CUST00142811,Terraced,2,2,No,Company Provided,1984-01-09
CUST00212307,Flat,1,5,Yes,Solar,1980-11-12
CUST00062361,Semi-Detached,2,6,No,Grid + Solar,1993-02-01
CUST00172987,Flat,2,5,No,Grid + Solar,2005-12-31
CUST00165812,Semi-Detached,3,5,Yes,Company Provided,2006-02-17
CUST00250069,Bungalow,1,3,No,Company Provided,1979-11-14
CUST00121046,Terraced,3,6,No,Company Provided,2017-12-18
CUST00271242,Bungalow,3,4,Yes,Company Provided,1996-06-24
CUST00251678,Terraced,3,2,Yes,Company Provided,1973-02-19
CUST00035874,Semi-Detached,1,3,No,Grid + Solar,1987-06-27
CUST00230381,Bungalow,1,7,No,Solar,1986-01-19
CUST00064940,Semi-Detached,1,4,No,Solar,1987-03-27
CUST00138874,Terraced,1,3,Yes,Grid + Solar,1978-01-30
CUST00225765,Bungalow,3,6,Yes,Grid + Solar,2016-12-11
CUST00238930,Detached,3,4,No,Company Provided,2015-04-17
CUST00160191,Detached,2,6,No,Solar,1997-05-18
CUST00134623,Bungalow,3,2,Yes,Solar,1987-08-16
CUST00215812,Bungalow,1,6,Yes,Solar,1996-04-26
CUST00051862,Terraced,2,4,No,Solar,1990-05-18
CUST00013062,Flat,2,3,Yes,Grid + Solar,1995-02-17
CUST00262664,Semi-Detached,3,6,No,Grid + Solar,1997-04-04
CUST00025064,Bungalow,1,6,No,Company Provided,1973-12-11
CUST00013085,Detached,1,2,Yes,Grid + Solar,2004-06-14
CUST00042452,Detached,3,3,No,Solar,1973-04-25
CUST00048824,Detached,1,4,No,Solar,1991-11-14
CUST00171406,Flat,1,2,No,Grid + Solar,2003-03-07
CUST00072023,Terraced,3,4,No,Solar,1978-08-29
CUST00025786,Terraced,3,3,Yes,Company Provided,2001-11-21
CUST00034672,Bungalow,3,3,No,Grid + Solar,2013-03-29
CUST00145717,Flat,1,6,No,Company Provided,2014-10-14
CUST00125750,Flat,2,6,Yes,Solar,1988-02-12
CUST00118651,Detached,1,3,No,Company Provided,2014-04-24
CUST00045541,Terraced,1,2,Yes,Company Provided,1970-08-10
CUST00219056,Bungalow,1,4,No,Grid + Solar,2008-07-24
CUST00016714,Flat,2,3,Yes,Grid + Solar,2009-12-23
CUST00127058,Flat,2,7,No,Grid + Solar,1995-01-04
CUST00255942,Detached,1,7,No,Company Provided,2007-08-20
CUST00033992,Flat,3,6,Yes,Company Provided,1977-01-06
CUST00050147,Semi-Detached,3,6,No,Grid + Solar,2010-05-03
CUST00176498,Semi-Detached,3,7,No,Solar,1980-02-10
CUST00213967,Detached,2,7,No,Solar,1996-03-15
CUST00187998,Bungalow,2,3,Yes,Grid + Solar,1983-10-27
CUST00162225,Terraced,2,4,Yes,Company Provided,1970-11-24
CUST00265574,Semi-Detached,1,2,No,Grid + Solar,1989-11-29
CUST00146936,Flat,1,5,Yes,Solar,1988-09-17
CUST00163709,Terraced,2,6,No,Grid + Solar,2016-02-01
CUST00229717,Detached,3,5,Yes,Solar,2006-12-08
CUST00002998,Bungalow,3,3,Yes,Company Provided,1984-09-11
CUST00178609,Flat,3,7,No,Grid + Solar,1980-10-21
CUST00164525,Terraced,1,5,Yes,Company Provided,1996-07-26
CUST00005826,Bungalow,2,7,No,Grid + Solar,2002-02-03
CUST00204400,Flat,3,5,Yes,Grid + Solar,1995-09-22
CUST00235982,Detached,1,6,Yes,Solar,1978-08-13
CUST00254772,Flat,1,2,No,Grid + Solar,1978-10-14
CUST00153850,Flat,3,2,No,Solar,1982-07-29
CUST00234794,Semi-Detached,2,6,Yes,Solar,1975-03-05
CUST00257865,Flat,3,7,Yes,Solar,2011-06-30
CUST00260578,Bungalow,1,3,Yes,Grid + Solar,2008-07-29
CUST00232581,Semi-Detached,3,3,Yes,Solar,1984-04-20
CUST00057022,Terraced,1,2,Yes,Company Provided,1980-04-05
CUST00102079,Bungalow,2,5,Yes,Company Provided,1996-02-15
CUST00253915,Flat,1,7,Yes,Company Provided,2007-06-17
CUST00123279,Flat,3,5,Yes,Solar,1980-01-06
CUST00229007,Flat,1,4,No,Solar,1983-04-20
CUST00222170,Bungalow,2,7,No,Grid + Solar,1972-06-25
CUST00029802,Terraced,3,3,Yes,Company Provided,2018-09-09
CUST00082691,Flat,3,2,Yes,Solar,1996-12-20
CUST00129488,Semi-Detached,3,7,Yes,Solar,2003-01-30
CUST00242058,Semi-Detached,3,2,Yes,Grid + Solar,1998-11-18
CUST00032063,Bungalow,2,7,No,Grid + Solar,2007-01-12
CUST00197211,Terraced,1,4,Yes,Company Provided,1989-10-16
CUST00038904,Bungalow,2,3,Yes,Solar,2012-11-11
CUST00097096,Bungalow,3,5,No,Grid + Solar,2009-07-03
CUST00033342,Bungalow,1,7,Yes,Grid + Solar,1986-05-16
CUST00017465,Detached,3,6,No,Company Provided,1987-09-11
CUST00248664,Flat,3,3,Yes,Company Provided,2003-06-23
CUST00207798,Semi-Detached,1,6,Yes,Solar,1977-10-24
CUST00113735,Semi-Detached,1,7,Yes,Company Provided,1991-02-03
CUST00138885,Detached,1,2,Yes,Company Provided,1970-12-15
CUST00080009,Flat,3,7,No,Grid + Solar,1983-09-11
CUST00071614,Bungalow,2,4,Yes,Solar,1975-07-20
CUST00068365,Flat,2,6,No,Grid + Solar,1989-08-09
CUST00110130,Detached,2,5,Yes,Company Provided,1985-11-15
CUST00201169,Terraced,2,4,Yes,Company Provided,1979-11-15
CUST00135950,Semi-Detached,3,7,Yes,Solar,1983-11-29
CUST00041259,Semi-Detached,2,7,No,Solar,1985-12-21
CUST00032874,Semi-Detached,2,7,Yes,Solar,2006-03-17
CUST00242581,Semi-Detached,1,2,No,Company Provided,1975-06-11
CUST00128527,Semi-Detached,3,4,No,Solar,1982-08-18
CUST00160089,Semi-Detached,1,3,No,Grid + Solar,1996-12-09
CUST00012531,Detached,3,7,No,Solar,2014-11-11
CUST00085990,Detached,2,2,Yes,Solar,1986-02-09
CUST00146584,Flat,3,7,No,Company Provided,2002-07-07
CUST00074011,Flat,2,7,No,Company Provided,1973-02-01
CUST00146081,Bungalow,1,3,No,Solar,1975-11-30
CUST00070049,Terraced,2,2,No,Solar,2014-09-26
CUST00211239,Terraced,1,7,No,Company Provided,1976-03-06
CUST00043439,Flat,2,7,Yes,Grid + Solar,1984-06-06
CUST00090879,Terraced,2,7,Yes,Solar,2009-10-02
CUST00202752,Bungalow,1,7,Yes,Grid + Solar,1970-05-07
CUST00048855,Detached,2,6,Yes,Company Provided,1972-05-03
CUST00210109,Detached,1,4,No,Grid + Solar,2005-06-11
CUST00174526,Detached,2,2,Yes,Solar,1998-03-05
CUST00126816,Flat,1,7,Yes,Grid + Solar,2017-12-19
CUST00105093,Terraced,3,6,Yes,Grid + Solar,2005-01-11
CUST00231868,Flat,2,4,Yes,Solar,2010-09-11
CUST00125911,Semi-Detached,1,3,Yes,Company Provided,1977-10-11
CUST00251621,Semi-Detached,3,6,Yes,Grid + Solar,2000-07-02
CUST00258477,Bungalow,3,5,Yes,Solar,2011-07-21
CUST00261965,Terraced,1,7,No,Grid + Solar,2004-04-06
CUST00231656,Flat,3,2,No,Grid + Solar,1985-05-17
CUST00064413,Semi-Detached,1,4,No,Solar,1994-05-15
CUST00174325,Flat,3,5,Yes,Company Provided,2009-11-20
CUST00136028,Detached,3,6,No,Grid + Solar,2005-11-17
CUST00029520,Semi-Detached,2,2,Yes,Grid + Solar,1986-01-04
CUST00192526,Bungalow,1,7,Yes,Grid + Solar,2013-07-05
CUST00133199,Detached,2,4,Yes,Solar,1999-07-06
CUST00193053,Terraced,2,2,No,Company Provided,2014-05-23
CUST00230337,Flat,2,6,Yes,Company Provided,1988-03-13
CUST00009159,Terraced,2,6,Yes,Solar,1977-05-12
CUST00149063,Flat,1,2,Yes,Company Provided,2019-12-19
CUST00029736,Flat,3,5,No,Company Provided,2007-05-08
CUST00253432,Flat,2,7,No,Grid + Solar,1995-12-17
CUST00035633,Terraced,2,7,Yes,Company Provided,1985-08-25
CUST00208862,Semi-Detached,3,7,Yes,Grid + Solar,1982-03-30
CUST00026509,Bungalow,3,3,No,Solar,2019-03-06
CUST00260371,Bungalow,3,2,Yes,Grid + Solar,1998-04-22
CUST00007760,Semi-Detached,1,3,Yes,Grid + Solar,2006-08-04
CUST00130426,Bungalow,3,5,No,Grid + Solar,1972-03-05
CUST00217880,Bungalow,2,7,No,Company Provided,1986-09-17
CUST00004969,Bungalow,3,2,No,Company Provided,2010-05-15
CUST00055780,Flat,3,7,No,Grid + Solar,2019-12-06
CUST00141922,Semi-Detached,1,6,No,Solar,2019-12-22
CUST00012429,Semi-Detached,1,4,Yes,Grid + Solar,2015-09-09
CUST00004049,Flat,2,5,No,Solar,2018-09-18
CUST00226594,Detached,3,2,No,Grid + Solar,2009-08-08
CUST00091276,Detached,3,2,No,Solar,2009-09-25
CUST00195127,Semi-Detached,2,3,Yes,Company Provided,2014-07-25
CUST00195162,Semi-Detached,1,3,No,Solar,2009-10-05
CUST00021673,Flat,3,4,Yes,Solar,1975-03-29
CUST00008582,Flat,2,5,No,Solar,2006-06-08
CUST00175739,Detached,2,7,No,Grid + Solar,2012-08-03
CUST00072636,Bungalow,3,7,No,Company Provided,1987-01-26
CUST00216399,Bungalow,1,6,Yes,Solar,1992-12-06
CUST00234684,Bungalow,1,6,Yes,Grid + Solar,2008-10-04
CUST00089032,Bungalow,3,2,No,Solar,2001-12-31
CUST00030079,Detached,3,5,No,Grid + Solar,1987-04-23
CUST00212791,Bungalow,3,2,No,Company Provided,1977-12-27
CUST00062041,Semi-Detached,2,7,No,Solar,1971-08-26
CUST00209132,Terraced,2,7,Yes,Solar,1977-11-08
CUST00248791,Detached,2,3,No,Solar,1988-03-07
CUST00026291,Semi-Detached,3,4,Yes,Grid + Solar,1992-12-27
CUST00140614,Bungalow,1,3,Yes,Grid + Solar,2012-05-04
CUST00151660,Detached,1,5,Yes,Company Provided,1990-05-05
CUST00058540,Bungalow,1,3,Yes,Company Provided,1975-03-12
CUST00091930,Detached,3,6,Yes,Company Provided,1982-02-28
CUST00105147,Bungalow,1,4,No,Solar,2019-08-08
CUST00177199,Detached,1,2,Yes,Solar,2006-10-12
CUST00189937,Bungalow,3,7,No,Grid + Solar,1980-08-09
CUST00162770,Flat,1,7,Yes,Solar,1986-08-24
CUST00062262,Terraced,2,2,No,Solar,2001-07-24
CUST00047615,Flat,1,4,No,Company Provided,2000-02-05
CUST00226460,Semi-Detached,2,4,Yes,Solar,2018-06-10
CUST00069432,Terraced,1,4,No,Grid + Solar,1975-07-02
CUST00268105,Flat,3,6,No,Grid + Solar,2015-04-16
CUST00174809,Flat,2,3,No,Company Provided,2010-10-17
CUST00029899,Terraced,3,7,No,Solar,1981-07-08
CUST00137125,Terraced,2,6,No,Solar,2005-08-03
CUST00200835,Detached,1,4,Yes,Grid + Solar,1995-04-19
CUST00204241,Semi-Detached,2,6,Yes,Grid + Solar,1974-11-17
CUST00093872,Terraced,2,7,No,Grid + Solar,1980-04-20
CUST00151646,Bungalow,3,2,Yes,Grid + Solar,2004-05-15
CUST00206854,Bungalow,3,3,Yes,Solar,2010-12-10
CUST00061564,Bungalow,3,4,No,Solar,1971-04-29
CUST00093730,Detached,2,5,Yes,Grid + Solar,2016-04-18
CUST00090946,Bungalow,3,7,Yes,Grid + Solar,2005-11-18
CUST00117893,Bungalow,1,5,No,Solar,1989-11-26
CUST00250529,Detached,2,2,Yes,Solar,1993-12-31
CUST00134814,Bungalow,3,2,No,Solar,2007-12-28
CUST00088065,Bungalow,1,2,Yes,Company Provided,1981-07-05
CUST00043405,Semi-Detached,1,3,No,Company Provided,2016-05-13
CUST00122282,Semi-Detached,2,4,No,Solar,2005-11-28
CUST00094801,Semi-Detached,2,2,No,Solar,2013-05-05
CUST00121973,Terraced,1,5,Yes,Solar,2002-11-10
CUST00039411,Semi-Detached,2,2,Yes,Company Provided,1981-12-29
CUST00267440,Terraced,1,3,Yes,Grid + Solar,1983-07-06
CUST00076725,Detached,1,3,Yes,Grid + Solar,2018-10-09
CUST00098669,Detached,1,5,Yes,Solar,2013-02-26
CUST00066364,Semi-Detached,2,2,No,Company Provided,1991-06-17
CUST00198897,Semi-Detached,2,6,No,Company Provided,1995-03-29
CUST00048532,Flat,1,5,No,Solar,1982-02-17
CUST00161184,Semi-Detached,3,2,No,Grid + Solar,1991-03-15
CUST00146951,Detached,3,4,No,Company Provided,2007-11-06
CUST00199649,Semi-Detached,2,4,No,Company Provided,1992-03-13
CUST00235578,Semi-Detached,1,6,No,Solar,2019-05-22
CUST00240087,Detached,1,4,Yes,Solar,1980-08-14
CUST00205627,Flat,1,7,No,Solar,1995-11-20
CUST00197532,Semi-Detached,2,4,Yes,Company Provided,1978-04-26
CUST00171844,Terraced,3,4,No,Solar,1984-07-30
CUST00109228,Semi-Detached,3,2,Yes,Grid + Solar,1972-01-25
CUST00137553,Semi-Detached,3,3,No,Company Provided,1999-12-06
CUST00212468,Bungalow,3,6,Yes,Solar,2013-10-12
CUST00044043,Bungalow,1,6,Yes,Solar,2006-10-22
CUST00116559,Semi-Detached,1,3,Yes,Company Provided,2007-02-11
CUST00227724,Terraced,3,6,No,Grid + Solar,1982-07-14
CUST00113276,Bungalow,1,2,No,Solar,1991-07-02
CUST00201618,Semi-Detached,3,3,No,Grid + Solar,1976-01-03
CUST00028589,Flat,1,2,No,Company Provided,2003-01-12
CUST00190162,Bungalow,1,5,Yes,Solar,1975-01-10
CUST00010880,Semi-Detached,2,3,Yes,Grid + Solar,2001-07-04
CUST00068432,Bungalow,1,5,Yes,Grid + Solar,2008-12-25
CUST00144933,Terraced,2,3,No,Grid + Solar,2016-01-27
CUST00184504,Terraced,3,5,No,Grid + Solar,1979-01-18
CUST00194139,Semi-Detached,2,7,No,Company Provided,2007-12-16
CUST00212517,Flat,2,2,No,Company Provided,1988-10-16
CUST00220054,Terraced,2,2,Yes,Solar,1976-01-06
CUST00162207,Bungalow,3,7,No,Company Provided,1970-10-21
CUST00041461,Flat,2,3,No,Solar,2015-08-25
CUST00237975,Detached,3,2,No,Solar,2005-12-13
CUST00061523,Flat,3,7,No,Solar,1970-10-09
CUST00016545,Flat,1,5,Yes,Solar,2003-05-02
CUST00089476,Terraced,1,3,No,Solar,1972-04-01
CUST00022820,Detached,3,5,No,Grid + Solar,2006-06-29
CUST00124212,Terraced,2,3,Yes,Company Provided,2001-11-10
CUST00135915,Terraced,3,5,No,Solar,2017-04-09
CUST00016582,Terraced,1,5,Yes,Company Provided,2017-08-24
CUST00150810,Detached,2,6,Yes,Solar,1990-05-21
CUST00032158,Bungalow,2,2,No,Grid + Solar,1985-03-24
CUST00269435,Detached,2,5,No,Solar,1976-03-14
CUST00062857,Flat,3,6,Yes,Solar,2015-03-16
CUST00215687,Terraced,3,5,Yes,Grid + Solar,2016-04-23
CUST00015515,Bungalow,2,4,Yes,Company Provided,2015-12-02
