lead_id,primary_quotation,secondary_quotation,final_quotation
LD00000148,1565.54,1673.59,2407.42
LD00000149,2301.02,1602.31,2532.07
LD00000150,2654.16,2211.56,2104.07
LD00000151,1578.27,1824.77,1919.7
LD00000152,2644.68,1554.63,2667.43
LD00000153,2826.94,2409.61,1980.86
LD00000154,2062.37,1236.64,2703.16
LD00000155,1930.32,2278.69,2374.5
LD00000156,2858.79,1224.71,1701.92
LD00000157,2664.26,1508.93,1570.59
LD00000158,1666.29,2376.69,2235.43
LD00000159,1936.91,1202.03,1893.94
LD00000160,1601.52,1883.88,2110.26
LD00000161,2453.51,2475.35,1755.11
LD00000162,2657.25,2155.74,1865.53
LD00000163,2971.23,1822.09,1655.19
LD00000164,1802.39,2228.44,2640.11
LD00000165,1554.93,2040.97,1800.56
LD00000166,2699.01,1768.04,1960.03
LD00000167,2051.02,2236.48,1773.41
LD00000168,2318.21,1617.57,1512.1
LD00000169,2534.65,1657.01,1459.3
LD00000170,2506.78,1728.07,2118.32
LD00000171,1552.2,1287.4,2489.92
LD00000172,2518.59,2433.47,1920.82
LD00000173,1971.58,1562.3,2744.73
LD00000174,1892.67,1538.38,2024.78
LD00000175,1703.59,1296.27,1641.72
LD00000176,2564.31,1915.0,1806.51
LD00000177,2263.13,1357.77,1681.37
LD00000178,2201.11,2477.92,1581.68
LD00000179,2653.75,2270.34,1503.25
LD00000180,1692.5,2277.77,2171.82
LD00000181,2277.15,1595.36,1626.75
LD00000182,1875.91,2025.57,2171.18
LD00000183,2387.71,1954.84,1639.68
LD00000184,1621.83,2433.11,2479.43
LD00000185,2247.06,2015.31,1805.54
LD00000186,2180.32,2095.2,1621.31
LD00000187,1968.87,2133.87,2427.88
LD00000188,1862.61,1359.28,2029.43
LD00000189,1872.41,2324.9,1623.58
LD00000190,2247.4,1869.14,2098.26
LD00000191,2950.03,1479.69,1894.05
LD00000192,2305.04,2301.32,2003.3
LD00000193,2100.87,1941.37,1672.52
LD00000194,2737.97,2010.21,2255.46
LD00000195,2632.45,1458.78,2112.77
LD00000196,2705.95,1875.13,1608.52
LD00000197,2089.43,2001.45,2579.64
LD00000198,2212.34,1221.63,1863.74
LD00000199,1898.3,2052.27,2760.88
LD00000200,1755.77,2017.73,2267.63
LD00000201,1786.18,1773.35,1986.29
LD00000202,2558.66,1874.29,2185.24
LD00000203,2189.5,1893.07,2164.78
LD00000204,1788.4,1520.47,2181.32
LD00000205,1975.56,1653.44,2707.18
LD00000206,2727.57,2440.99,2526.46
LD00000207,2886.01,2052.76,2446.27
LD00000208,1663.84,2163.16,1734.99
LD00000209,1650.3,1629.38,2061.37
LD00000210,2479.34,2344.84,2065.98
LD00000211,2861.91,1316.3,2203.79
LD00000212,2823.37,1428.53,2687.49
LD00000213,1513.9,1938.35,1550.22
LD00000214,2776.59,1808.43,1669.94
LD00000215,2577.9,1218.31,1871.96
LD00000216,2740.48,1869.86,1521.43
LD00000217,2903.74,1208.88,1937.0
LD00000218,1892.33,1667.42,1730.82
LD00000219,2529.11,2400.04,2642.92
LD00000220,2421.94,1484.87,1587.0
LD00000221,2552.91,2386.64,2460.29
LD00000222,2292.26,1670.32,2684.14
LD00000223,1746.81,2310.83,2018.58
LD00000224,2848.33,1779.13,1477.89
LD00000225,2509.15,1600.62,1430.48
LD00000226,1567.93,1647.89,1489.26
LD00000227,1769.97,1376.06,2298.14
LD00000228,2804.43,2378.8,1925.9
LD00000229,1767.71,1898.44,2140.38
LD00000230,2510.25,1907.78,2144.71
LD00000231,1782.72,2337.77,2471.69
LD00000232,1809.12,1331.17,1447.01
LD00000233,2103.4,1504.64,1704.18
LD00000234,2366.21,2204.3,2545.74
LD00000235,1950.75,1279.24,2727.93
LD00000236,1570.33,1647.74,2300.64
LD00000237,1723.83,1689.4,2456.18
LD00000238,2872.11,1931.1,2754.9
LD00000239,1805.01,2040.72,2691.12
LD00000240,1902.69,2075.77,2244.09
LD00000241,1813.33,2379.14,1824.46
LD00000242,2871.66,2104.31,2385.28
LD00000243,2199.38,2043.34,1831.79
LD00000244,2642.44,1616.3,1684.38
LD00000245,1524.33,1919.31,2217.64
LD00000246,1845.03,1940.73,1744.02
LD00000247,2949.76,2034.2,2086.83
LD00000248,1776.07,2356.17,2786.45
LD00000249,2118.59,2295.31,1724.01
LD00000250,1590.68,2029.05,2707.47
LD00000251,1517.78,1888.24,1784.64
LD00000252,1660.52,1325.21,1608.46
LD00000253,2692.4,1302.73,2743.02
LD00000254,2526.06,2302.23,2315.23
LD00000255,2065.75,1818.81,2291.45
LD00000256,2348.78,2315.35,1533.51
LD00000257,1569.84,1296.65,2695.82
LD00000258,1523.49,1469.31,1601.87
LD00000259,2345.94,1936.7,2589.22
LD00000260,2251.19,2466.62,1475.18
LD00000261,1544.44,1555.33,2789.62
LD00000262,1778.61,1961.64,1932.1
LD00000263,1901.96,1694.0,2497.45
LD00000264,1637.28,2425.85,2022.63
LD00000265,2173.27,1921.16,1971.26
LD00000266,2795.58,1216.04,1979.33
LD00000267,1754.25,1549.59,1775.77
LD00000268,1949.63,2217.47,1905.57
LD00000269,1660.46,1596.06,2728.35
LD00000270,2002.1,2260.12,2603.31
LD00000271,1971.27,2453.95,2756.22
LD00000272,1988.83,1564.39,2500.21
LD00000273,2929.51,1800.11,2391.71
LD00000274,2509.47,1380.93,1823.97
LD00000275,1610.95,2487.91,2070.93
LD00000276,2686.08,1667.39,2653.7
LD00000277,2486.4,1661.51,2305.8
LD00000278,2948.58,1759.59,1414.77
LD00000279,2061.18,1801.98,2351.38
LD00000280,1656.82,1740.77,2746.42
LD00000281,2014.6,2219.55,2129.56
LD00000282,1600.76,1258.09,2395.09
LD00000283,2894.88,2162.64,2122.39
LD00000284,1847.78,1726.56,1658.23
LD00000285,2174.36,1758.42,1406.23
LD00000286,2699.25,1897.96,1912.11
LD00000287,2395.46,1994.7,2221.81
LD00000288,2878.02,1967.22,2340.95
LD00000289,2059.96,1383.77,1943.85
LD00000290,2230.01,1898.59,2686.83
LD00000291,1780.65,2294.58,2267.17
LD00000292,2945.74,1857.07,2092.96
LD00000293,1750.88,1935.02,2514.23
LD00000294,1752.31,1794.52,2439.53
LD00000295,2662.67,2270.27,1913.61
LD00000296,1653.62,2279.09,2451.88
LD00000297,2793.3,1313.08,2611.41
LD00000298,1748.97,1381.01,1689.27
LD00000299,2395.29,1418.89,2770.6
LD00000300,2944.16,2221.4,2686.28
LD00000301,1719.37,1618.73,1746.58
LD00000302,2062.76,1298.17,2512.44
LD00000303,2182.04,1834.46,2214.74
LD00000304,2693.52,1717.03,2755.38
LD00000305,2320.97,1369.77,2593.39
LD00000306,1524.42,2408.26,1621.18
LD00000307,1738.47,2412.54,1783.63
LD00000308,1577.68,2013.29,2416.38
LD00000309,1820.13,1301.32,2231.15
LD00000310,2725.66,2484.6,1991.24
LD00000311,2596.15,1333.16,1838.69
LD00000312,2295.76,1211.02,2310.03
LD00000313,2424.11,1775.1,1704.14
LD00000314,2944.87,1608.85,1595.76
LD00000315,2771.84,2055.93,1822.31
LD00000316,2469.25,2218.94,2511.29
LD00000317,2457.12,1292.32,2644.21
LD00000318,2048.12,2087.82,2467.82
LD00000319,1823.61,2399.35,2728.15
LD00000320,2552.72,1307.16,2151.19
LD00000321,2266.96,1464.16,2531.28
LD00000322,2548.01,2148.95,2585.06
LD00000323,2418.45,1271.54,2332.51
LD00000324,2552.25,1412.98,2734.22
LD00000325,1690.4,2215.46,1776.27
LD00000326,2285.78,1541.83,2765.07
LD00000327,2249.42,1936.95,1914.76
LD00000328,2611.17,1203.34,2602.16
LD00000329,2880.34,1432.65,2744.48
LD00000330,1982.7,1741.13,2408.4
LD00000331,2253.06,2372.52,1651.08
LD00000332,2660.29,1603.91,1520.94
LD00000333,2609.36,1515.36,1915.58
LD00000334,1509.57,1733.05,1726.2
LD00000335,2638.39,1689.16,2433.32
LD00000336,2238.04,1277.86,2795.74
LD00000337,2551.27,1684.24,2764.38
LD00000338,1612.25,1938.17,2008.98
LD00000339,2551.09,2155.96,1845.28
LD00000340,1733.12,1413.69,2052.48
LD00000341,1962.46,1544.51,1567.88
LD00000342,2753.89,1626.13,1527.7
LD00000343,1890.25,2487.88,1443.51
LD00000344,2193.06,2245.07,1595.71
LD00000345,2058.36,2019.39,2302.56
LD00000346,1796.63,2039.78,2533.02
LD00000347,1575.96,2401.37,2006.42
LD00000348,1759.21,1479.13,1662.01
LD00000349,2248.34,2347.61,2070.64
LD00000350,2463.98,2236.36,1748.81
LD00000351,2316.78,1830.08,2677.75
LD00000352,1978.32,1484.73,2654.07
LD00000353,2960.97,1330.17,2319.61
LD00000354,2032.21,2290.99,2583.31
LD00000355,2555.18,1657.19,2194.71
LD00000356,2235.65,1317.33,1725.67
LD00000357,2876.84,1461.9,1582.69
LD00000358,2379.91,2392.39,2484.11
LD00000359,2379.02,1637.53,1851.64
LD00000360,1761.3,2459.37,2370.98
LD00000361,1960.23,2095.05,1578.29
LD00000362,1773.12,1613.68,2532.33
LD00000363,1710.97,2168.95,1733.19
LD00000364,1517.09,1472.59,2370.45
LD00000365,2078.91,2152.36,2756.74
LD00000366,2743.21,2225.35,2209.28
LD00000367,1942.36,1614.33,2732.33
LD00000368,2320.57,2367.56,1530.35
LD00000369,2913.66,1414.5,2645.65
LD00000370,2113.92,1920.35,2695.8
LD00000371,1643.87,1710.77,2169.53
LD00000372,1631.44,2271.07,2275.13
LD00000373,2457.29,2470.18,2063.0
LD00000374,1636.71,1907.36,1658.83
LD00000375,2159.61,1542.42,2571.91
LD00000376,2502.21,2250.63,1979.58
LD00000377,2948.44,2093.19,2710.91
LD00000378,2854.17,2128.6,2102.94
LD00000379,2923.88,1783.75,2728.69
LD00000380,1617.55,2088.06,1682.69
LD00000381,1630.54,1923.27,2172.88
LD00000382,2121.66,1392.66,2223.11
LD00000383,2816.84,1543.38,2316.7
LD00000384,2104.46,2003.72,2353.14
LD00000385,2618.62,2397.09,2655.84
LD00000386,2787.35,2090.31,2761.5
LD00000387,1904.13,1741.8,2303.78
LD00000388,2731.53,1869.85,1622.56
LD00000389,1760.61,2337.73,1681.02
LD00000390,2556.95,1556.17,2552.91
LD00000391,2058.7,1972.26,1648.62
LD00000392,2756.48,1536.26,2563.22
LD00000393,2780.73,2213.78,1700.05
LD00000394,2477.38,1867.27,2610.48
LD00000395,1835.66,1990.85,2720.21
LD00000396,2777.38,1796.7,1705.49
LD00000397,1511.02,2499.26,2753.08
LD00000398,2526.62,1826.26,1870.8
LD00000399,1782.54,1872.48,1736.42
LD00000400,2581.92,2052.02,2796.46
LD00000401,2014.75,2127.38,2360.85
LD00000402,2768.13,2292.83,2627.09
LD00000403,2587.78,1926.74,2677.67
LD00000404,1834.99,2332.86,1988.66
LD00000405,2776.82,1811.7,2612.95
LD00000406,2250.72,2327.75,1934.34
LD00000407,2014.0,2483.35,2649.98
LD00000408,2231.37,2020.34,1647.55
LD00000409,2641.79,1419.19,2470.28
LD00000410,2105.09,2454.93,1936.64
LD00000411,2838.01,2183.9,2143.45
LD00000412,2540.29,1647.65,1580.5
LD00000413,2735.77,1587.66,1807.16
LD00000414,2831.96,2494.11,1879.83
LD00000415,1842.63,2145.32,1583.69
LD00000416,2049.89,2045.7,1452.31
LD00000417,2492.95,2049.64,1427.64
LD00000418,2320.92,1816.72,1614.38
LD00000419,2492.5,2061.23,1777.97
LD00000420,1924.06,2220.19,2096.83
LD00000421,2555.16,1583.96,1455.17
LD00000422,1504.11,2073.12,2669.63
LD00000423,2585.35,1331.68,1758.25
LD00000424,1649.71,1427.11,1455.22
LD00000425,1642.5,2185.67,1464.24
LD00000426,2841.79,2441.62,1775.63
LD00000427,2101.17,2451.0,1780.57
LD00000428,1698.77,2144.33,2774.2
LD00000429,1771.89,1693.68,1902.04
LD00000430,2880.6,1346.82,1975.8
LD00000431,2556.85,2081.31,2474.54
LD00000432,2149.27,2144.65,2074.7
LD00000433,1517.47,2414.68,2107.79
LD00000434,1980.95,1630.16,1789.42
LD00000435,2725.65,1302.48,2021.86
LD00000436,1678.06,1846.59,2314.72
LD00000437,2687.67,2452.12,2292.55
LD00000438,2045.01,1270.56,1712.09
LD00000439,2573.87,1348.23,2463.05
LD00000440,2553.14,1259.51,1629.82
LD00000441,1881.43,1454.7,1569.04
LD00000442,2635.72,1260.45,2286.54
LD00000443,2945.78,1205.64,2430.7
LD00000444,2595.74,1366.9,1942.37
LD00000445,2969.25,2390.68,2467.32
LD00000446,1707.27,1983.28,2641.01
LD00000447,1801.33,2011.42,1806.81
LD00000448,2565.53,2189.01,2187.19
LD00000449,2816.22,1749.1,1417.88
LD00000450,1799.85,2175.24,1625.31
LD00000451,1806.0,1903.52,1902.16
LD00000452,1856.39,2219.6,2518.35
LD00000453,2124.85,2224.54,2359.21
LD00000454,2430.84,2215.2,2618.17
LD00000455,2664.22,2453.58,1811.85
LD00000456,2065.8,1757.06,2179.24
LD00000457,2199.5,2418.74,1455.92
LD00000458,2684.86,1915.21,1502.03
LD00000459,2679.39,1407.18,2160.31
LD00000460,1996.6,1581.65,2730.43
LD00000461,2503.41,1779.37,2666.3
LD00000462,2873.9,2428.48,1940.23
LD00000463,2230.21,1585.36,2312.14
LD00000464,2440.4,1474.02,2281.32
LD00000465,2306.63,2113.57,2766.71
LD00000466,2188.84,1631.23,1522.53
LD00000467,2866.48,1729.92,2031.58
LD00000468,2302.25,2033.85,2265.69
LD00000469,2892.07,1337.98,2501.65
LD00000470,2092.67,2058.94,2063.58
LD00000471,2940.2,1387.3,2348.2
LD00000472,1562.66,1944.53,1951.71
LD00000473,2118.98,2039.71,2117.57
LD00000474,1671.93,2072.27,2194.21
LD00000475,2507.53,1525.89,1676.38
LD00000476,1650.07,2005.37,2660.17
LD00000477,2348.33,1673.84,1842.87
LD00000478,2568.3,2033.09,1787.35
LD00000479,2194.27,1666.36,1827.66
LD00000480,2788.07,1382.0,2154.07
LD00000481,2774.38,2021.11,2537.7
LD00000482,2315.2,2498.35,2060.95
LD00000483,2197.05,1863.54,1955.5
LD00000484,2169.33,1432.89,2728.2
LD00000485,1560.63,2189.91,1724.45
LD00000486,2082.14,2393.27,2634.17
LD00000487,2367.95,1941.21,1927.32
LD00000488,2064.49,2379.42,2122.92
LD00000489,2252.76,1380.66,1631.85
LD00000490,1780.36,1670.89,2404.22
LD00000491,2222.27,1822.46,1694.99
LD00000492,1691.83,1970.05,1588.61
LD00000493,1887.39,1434.05,2741.53
LD00000494,1824.89,1988.48,2059.98
LD00000495,2434.82,1864.05,1634.81
LD00000496,2067.32,1371.88,1423.19
LD00000497,2408.27,1430.65,2662.25
LD00000498,2223.36,1369.43,2244.86
LD00000499,2055.57,1256.47,2141.74
LD00000500,2138.23,1530.87,2472.2
LD00000501,1783.53,2121.89,2505.19
LD00000502,2481.82,2094.1,1842.26
LD00000503,2782.47,1750.63,1911.9
LD00000504,1768.08,1926.82,2077.26
LD00000505,2782.5,2057.07,2446.94
LD00000506,2262.52,2221.91,2521.2
LD00000507,2083.66,2026.64,2526.12
LD00000508,1894.64,1682.09,2252.64
LD00000509,2918.57,2266.3,2296.41
LD00000510,1550.41,1979.37,2122.14
LD00000511,1858.88,1200.37,1620.42
LD00000512,2379.12,1873.07,2431.7
LD00000513,2944.93,1559.46,2248.91
LD00000514,1762.55,1858.11,2182.08
LD00000515,2541.29,2455.87,2188.44
LD00000516,2222.96,1535.17,1935.74
LD00000517,2933.17,1871.46,1413.61
LD00000518,1614.04,2410.82,2067.18
LD00000519,2248.5,1459.57,2429.6
LD00000520,1733.99,1338.7,2688.26
LD00000521,2772.02,1682.56,1841.58
LD00000522,2096.82,2175.22,1579.54
LD00000523,2090.58,2092.24,1644.72
LD00000524,1517.73,1473.98,2213.41
LD00000525,1855.71,1812.75,2258.32
LD00000526,2551.07,1684.0,2596.06
LD00000527,2721.29,2137.06,2525.72
LD00000528,2209.48,1212.66,1990.13
LD00000529,1950.05,1930.78,2194.97
LD00000530,2720.73,1819.5,2281.81
LD00000531,2340.53,2411.4,1760.8
LD00000532,2969.06,1569.99,1855.13
LD00000533,2420.5,1802.88,2739.23
LD00000534,1618.67,1646.71,1838.87
LD00000535,2831.54,2215.27,2714.28
LD00000536,1775.83,1230.03,2418.88
LD00000537,1750.37,1333.91,1489.31
LD00000538,1655.89,2003.53,1518.04
LD00000539,2439.72,1370.66,2573.92
LD00000540,2200.79,2332.17,2708.8
LD00000541,2446.57,2026.61,2189.58
LD00000542,2222.48,1495.27,1525.38
LD00000543,1515.83,1880.31,2461.61
LD00000544,2920.44,1820.19,1412.79
LD00000545,2322.32,1445.14,2635.03
LD00000546,1830.89,1302.97,2275.45
LD00000547,2472.69,1891.53,1776.35
LD00000548,1665.53,1791.95,2033.87
LD00000549,1728.22,2460.63,1430.98
LD00000550,1849.22,1395.89,2091.01
LD00000551,2545.4,1241.26,1512.31
LD00000552,1772.41,2364.41,1750.11
LD00000553,2656.84,1775.85,2432.67
LD00000554,2209.24,2085.88,1836.95
LD00000555,1879.97,2030.08,1678.21
LD00000556,2449.36,1621.87,1634.3
LD00000557,2953.25,1955.4,2367.05
LD00000558,1736.55,1318.82,2266.1
LD00000559,1688.74,1502.48,2774.35
LD00000560,2533.87,1665.62,1588.63
LD00000561,1784.66,1442.61,1886.73
LD00000562,2296.71,1784.2,2547.19
LD00000563,2824.4,2005.65,1909.71
LD00000564,1784.8,2088.19,2472.03
LD00000565,1665.7,1880.16,1493.35
LD00000566,1787.42,1241.36,2298.45
LD00000567,2049.53,1987.74,1499.22
LD00000568,2041.39,2166.52,2646.6
LD00000569,2601.45,2284.79,1509.11
LD00000570,1784.19,1884.05,1748.27
LD00000571,2649.43,1949.53,2344.29
LD00000572,2324.95,1856.1,2320.54
LD00000573,2767.28,1736.05,2286.54
LD00000574,2648.56,2403.99,1755.72
LD00000575,2393.64,1872.89,2790.78
LD00000576,1532.55,2268.52,2365.61
LD00000577,1556.6,1662.35,1593.77
LD00000578,1637.86,1719.74,2685.03
LD00000579,2232.41,2368.73,2383.99
LD00000580,1617.72,1272.7,2479.26
LD00000581,2621.52,2304.32,2700.11
LD00000582,2286.58,1615.11,2190.88
LD00000583,2510.45,2496.58,2759.46
LD00000584,1934.67,1712.62,1585.06
LD00000585,1893.84,1718.09,2008.29
LD00000586,2092.98,1942.73,2185.63
LD00000587,2665.16,1620.44,2693.79
LD00000588,2022.46,1616.96,2231.43
LD00000589,2434.77,1772.6,2693.9
LD00000590,1668.56,1270.9,2728.52
LD00000591,1957.68,1812.55,1864.63
LD00000592,2434.56,2489.99,2373.1
LD00000593,1755.48,1569.22,2504.86
LD00000594,2082.97,1552.7,2592.92
LD00000595,1846.75,1694.91,2767.26
LD00000596,1798.31,2456.83,2184.96
LD00000597,2234.9,2167.71,1425.72
LD00000598,2993.99,2472.16,1786.23
LD00000599,1838.37,1644.32,1949.99
LD00000600,1860.54,1398.57,2758.75
LD00000601,2478.71,1955.34,2357.67
LD00000602,2993.53,2468.51,1603.21
LD00000603,1976.4,2343.53,2417.91
LD00000604,1727.94,1444.31,1584.16
LD00000605,2394.54,1500.19,1436.52
LD00000606,1775.96,1703.7,2063.39
LD00000607,2888.15,2435.26,1711.58
LD00000608,2800.69,1836.93,1854.85
LD00000609,2580.3,1712.4,2714.79
LD00000610,2177.41,2275.11,1459.38
LD00000611,2274.19,2019.84,1469.01
LD00000612,1749.73,1582.75,2686.65
LD00000613,2583.97,1347.12,2490.22
LD00000614,2176.33,1432.54,2226.44
LD00000615,2537.58,2379.31,2515.08
LD00000616,2451.11,1310.9,2390.19
LD00000617,2325.52,1257.08,1639.24
LD00000618,1768.3,2125.66,1987.41
LD00000619,2847.81,2448.56,1404.95
LD00000620,2411.98,1841.51,1703.62
LD00000621,2401.82,1208.54,2635.04
LD00000622,1777.26,1271.58,1888.63
LD00000623,2880.58,1263.74,1983.74
LD00000624,2624.0,1668.25,1450.18
LD00000625,2764.96,1284.4,2059.14
LD00000626,2543.74,1995.67,1553.02
LD00000627,2140.58,2302.14,1763.52
LD00000628,2238.76,1433.88,2253.17
LD00000629,2197.33,2235.75,2432.46
LD00000630,2000.69,1928.54,2292.5
LD00000631,2685.29,1600.1,2109.37
LD00000632,2094.07,1939.6,2744.16
LD00000633,2695.88,2039.35,2074.09
LD00000634,2891.68,1272.83,2129.5
LD00000635,2366.1,1631.24,2682.66
LD00000636,2975.43,2014.46,2579.37
LD00000637,2557.9,1608.85,1444.28
LD00000638,2744.19,1593.42,2135.14
LD00000639,2165.66,1232.42,2075.73
LD00000640,2663.3,1386.28,2620.52
LD00000641,2081.38,2324.25,1562.17
LD00000642,2200.31,1259.98,2128.81
LD00000643,1981.32,1450.31,1787.31
LD00000644,1723.98,1555.73,1421.36
LD00000645,2324.05,1552.37,2720.59
LD00000646,2419.89,1640.36,2021.11
LD00000647,2075.4,1311.96,1948.68
LD00000648,1968.66,2262.67,2398.06
LD00000649,1639.37,2243.06,2378.04
LD00000650,1847.54,1490.93,2605.53
LD00000651,2683.17,2347.13,2034.6
LD00000652,2191.86,1422.04,2475.12
LD00000653,2726.33,2235.79,1856.22
LD00000654,2385.8,1510.15,1741.17
LD00000655,2720.87,1968.26,2498.04
LD00000656,2493.92,1301.26,2703.21
LD00000657,2332.63,2268.63,1646.64
LD00000658,2241.44,2058.21,1526.75
LD00000659,2179.46,1578.95,2261.8
LD00000660,2355.41,2387.17,1826.37
LD00000661,2771.46,2308.26,1487.37
LD00000662,2791.87,2325.38,1729.34
LD00000663,2109.05,1765.75,1695.7
LD00000664,2759.94,1400.55,2796.44
