job_id,job_registration_datetime,contact_center_agent_id,mode_of_contact
JOB00001678,2026-07-13 09:00:00,CCA128,Call
JOB00001679,2026-07-14 09:00:00,CCA120,Email
JOB00001680,2026-07-09 09:00:00,CCA114,Email
JOB00001681,2026-07-15 09:00:00,CCA129,Call
JOB00001682,2026-07-10 09:00:00,CCA147,App
JOB00001683,2026-07-14 09:00:00,CCA149,Email
JOB00001684,2026-07-10 09:00:00,CCA135,Email
JOB00001685,2026-07-10 09:00:00,CCA143,Email
JOB00001686,2026-07-11 09:00:00,CCA141,Email
JOB00001687,2026-07-14 09:00:00,CCA148,Visit
JOB00001688,2026-07-14 09:00:00,CCA117,Email
JOB00001689,2026-07-15 09:00:00,CCA128,App
JOB00001690,2026-07-12 09:00:00,CCA144,Visit
JOB00001691,2026-07-14 09:00:00,CCA146,Visit
JOB00001692,2026-07-15 09:00:00,CCA148,Call
JOB00001693,2026-07-14 09:00:00,CCA129,Visit
JOB00001694,2026-07-14 09:00:00,CCA100,Email
JOB00001695,2026-07-09 09:00:00,CCA119,App
JOB00001696,2026-07-15 09:00:00,CCA107,Visit
JOB00001697,2026-07-11 09:00:00,CCA106,App
JOB00001698,2026-07-11 09:00:00,CCA131,Call
JOB00001699,2026-07-11 09:00:00,CCA101,Email
JOB00001700,2026-07-13 09:00:00,CCA126,App
JOB00001701,2026-07-09 09:00:00,CCA126,Email
JOB00001702,2026-07-11 09:00:00,CCA127,Visit
JOB00001703,2026-07-15 09:00:00,CCA119,App
JOB00001704,2026-07-09 09:00:00,CCA116,App
JOB00001705,2026-07-12 09:00:00,CCA107,Call
JOB00001706,2026-07-09 09:00:00,CCA129,App
JOB00001707,2026-07-15 09:00:00,CCA114,Visit
JOB00001708,2026-07-10 09:00:00,CCA129,Call
JOB00001709,2026-07-14 09:00:00,CCA142,Email
JOB00001710,2026-07-10 09:00:00,CCA129,Visit
JOB00001711,2026-07-10 09:00:00,CCA124,App
JOB00001712,2026-07-15 09:00:00,CCA136,App
JOB00001713,2026-07-14 09:00:00,CCA138,Call
JOB00001714,2026-07-15 09:00:00,CCA140,Call
JOB00001715,2026-07-11 09:00:00,CCA132,Call
JOB00001716,2026-07-15 09:00:00,CCA128,Visit
JOB00001717,2026-07-11 09:00:00,CCA136,Visit
JOB00001718,2026-07-11 09:00:00,CCA101,Email
JOB00001719,2026-07-15 09:00:00,CCA107,Call
JOB00001720,2026-07-14 09:00:00,CCA103,Call
JOB00001721,2026-07-13 09:00:00,CCA149,Email
JOB00001722,2026-07-10 09:00:00,CCA115,Call
JOB00001723,2026-07-15 09:00:00,CCA122,App
JOB00001724,2026-07-15 09:00:00,CCA106,Call
JOB00001725,2026-07-10 09:00:00,CCA123,Call
JOB00001726,2026-07-15 09:00:00,CCA103,Call
JOB00001727,2026-07-10 09:00:00,CCA115,App
JOB00001728,2026-07-11 09:00:00,CCA146,Visit
JOB00001729,2026-07-11 09:00:00,CCA143,App
JOB00001730,2026-07-11 09:00:00,CCA150,Email
JOB00001731,2026-07-10 09:00:00,CCA108,Email
JOB00001732,2026-07-09 09:00:00,CCA142,Visit
JOB00001733,2026-07-10 09:00:00,CCA104,Email
JOB00001734,2026-07-11 09:00:00,CCA140,Call
JOB00001735,2026-07-09 09:00:00,CCA101,Visit
JOB00001736,2026-07-09 09:00:00,CCA100,App
JOB00001737,2026-07-09 09:00:00,CCA147,App
JOB00001738,2026-07-14 09:00:00,CCA113,Call
JOB00001739,2026-07-15 09:00:00,CCA123,Visit
JOB00001740,2026-07-10 09:00:00,CCA143,Email
JOB00001741,2026-07-11 09:00:00,CCA141,App
JOB00001742,2026-07-15 09:00:00,CCA141,Visit
JOB00001743,2026-07-14 09:00:00,CCA112,Email
JOB00001744,2026-07-14 09:00:00,CCA120,App
JOB00001745,2026-07-09 09:00:00,CCA126,Call
JOB00001746,2026-07-14 09:00:00,CCA142,Email
JOB00001747,2026-07-11 09:00:00,CCA109,App
JOB00001748,2026-07-15 09:00:00,CCA105,Email
JOB00001749,2026-07-15 09:00:00,CCA120,Visit
JOB00001750,2026-07-12 09:00:00,CCA134,Visit
JOB00001751,2026-07-12 09:00:00,CCA108,Email
JOB00001752,2026-07-09 09:00:00,CCA106,Email
JOB00001753,2026-07-15 09:00:00,CCA137,Email
JOB00001754,2026-07-09 09:00:00,CCA112,Visit
JOB00001755,2026-07-10 09:00:00,CCA135,Email
JOB00001756,2026-07-13 09:00:00,CCA122,Call
JOB00001757,2026-07-14 09:00:00,CCA142,Email
JOB00001758,2026-07-14 09:00:00,CCA132,Call
JOB00001759,2026-07-11 09:00:00,CCA131,Email
JOB00001760,2026-07-09 09:00:00,CCA145,Call
JOB00001761,2026-07-13 09:00:00,CCA140,App
JOB00001762,2026-07-15 09:00:00,CCA123,Email
JOB00001763,2026-07-15 09:00:00,CCA108,Email
JOB00001764,2026-07-10 09:00:00,CCA145,App
JOB00001765,2026-07-12 09:00:00,CCA130,Email
JOB00001766,2026-07-11 09:00:00,CCA136,App
JOB00001767,2026-07-11 09:00:00,CCA115,Call
JOB00001768,2026-07-11 09:00:00,CCA118,Call
JOB00001769,2026-07-09 09:00:00,CCA100,App
JOB00001770,2026-07-13 09:00:00,CCA132,Visit
JOB00001771,2026-07-12 09:00:00,CCA134,App
JOB00001772,2026-07-10 09:00:00,CCA142,App
JOB00001773,2026-07-11 09:00:00,CCA113,App
JOB00001774,2026-07-12 09:00:00,CCA114,Email
JOB00001775,2026-07-14 09:00:00,CCA141,App
JOB00001776,2026-07-09 09:00:00,CCA106,Visit
JOB00001777,2026-07-09 09:00:00,CCA116,Call
JOB00001778,2026-07-12 09:00:00,CCA123,Email
JOB00001779,2026-07-15 09:00:00,CCA146,Visit
JOB00001780,2026-07-13 09:00:00,CCA102,Call
JOB00001781,2026-07-15 09:00:00,CCA103,Visit
JOB00001782,2026-07-10 09:00:00,CCA147,Email
JOB00001783,2026-07-12 09:00:00,CCA128,Visit
JOB00001784,2026-07-12 09:00:00,CCA123,Call
JOB00001785,2026-07-14 09:00:00,CCA118,Visit
JOB00001786,2026-07-09 09:00:00,CCA125,Call
JOB00001787,2026-07-10 09:00:00,CCA123,Call
JOB00001788,2026-07-14 09:00:00,CCA147,Email
JOB00001789,2026-07-10 09:00:00,CCA140,Email
JOB00001790,2026-07-11 09:00:00,CCA129,Email
JOB00001791,2026-07-10 09:00:00,CCA115,App
JOB00001792,2026-07-09 09:00:00,CCA137,Email
JOB00001793,2026-07-13 09:00:00,CCA146,Email
JOB00001794,2026-07-11 09:00:00,CCA138,Email
JOB00001795,2026-07-14 09:00:00,CCA122,App
JOB00001796,2026-07-14 09:00:00,CCA107,Visit
JOB00001797,2026-07-12 09:00:00,CCA112,Call
JOB00001798,2026-07-12 09:00:00,CCA118,Visit
JOB00001799,2026-07-12 09:00:00,CCA106,Visit
JOB00001800,2026-07-10 09:00:00,CCA143,Email
JOB00001801,2026-07-09 09:00:00,CCA113,Visit
JOB00001802,2026-07-12 09:00:00,CCA108,App
JOB00001803,2026-07-12 09:00:00,CCA129,App
JOB00001804,2026-07-15 09:00:00,CCA145,Call
JOB00001805,2026-07-15 09:00:00,CCA117,Call
JOB00001806,2026-07-11 09:00:00,CCA124,Email
JOB00001807,2026-07-14 09:00:00,CCA106,Call
JOB00001808,2026-07-10 09:00:00,CCA124,Visit
JOB00001809,2026-07-13 09:00:00,CCA107,Call
JOB00001810,2026-07-11 09:00:00,CCA108,Visit
JOB00001811,2026-07-13 09:00:00,CCA138,Visit
JOB00001812,2026-07-09 09:00:00,CCA149,Email
JOB00001813,2026-07-14 09:00:00,CCA121,Email
JOB00001814,2026-07-10 09:00:00,CCA145,Visit
JOB00001815,2026-07-12 09:00:00,CCA131,App
JOB00001816,2026-07-15 09:00:00,CCA111,Visit
JOB00001817,2026-07-13 09:00:00,CCA120,Email
JOB00001818,2026-07-10 09:00:00,CCA140,App
JOB00001819,2026-07-10 09:00:00,CCA150,Visit
JOB00001820,2026-07-14 09:00:00,CCA133,Visit
JOB00001821,2026-07-13 09:00:00,CCA149,Visit
JOB00001822,2026-07-09 09:00:00,CCA107,Call
JOB00001823,2026-07-09 09:00:00,CCA124,Call
JOB00001824,2026-07-12 09:00:00,CCA148,Visit
JOB00001825,2026-07-09 09:00:00,CCA112,Email
JOB00001826,2026-07-14 09:00:00,CCA124,App
JOB00001827,2026-07-15 09:00:00,CCA113,App
JOB00001828,2026-07-09 09:00:00,CCA122,App
JOB00001829,2026-07-10 09:00:00,CCA101,Email
JOB00001830,2026-07-10 09:00:00,CCA135,Visit
JOB00001831,2026-07-09 09:00:00,CCA129,Visit
JOB00001832,2026-07-09 09:00:00,CCA136,Email
JOB00001833,2026-07-09 09:00:00,CCA139,Visit
JOB00001834,2026-07-15 09:00:00,CCA129,App
JOB00001835,2026-07-15 09:00:00,CCA106,Visit
JOB00001836,2026-07-13 09:00:00,CCA112,Email
JOB00001837,2026-07-09 09:00:00,CCA119,Email
JOB00001838,2026-07-09 09:00:00,CCA143,App
JOB00001839,2026-07-14 09:00:00,CCA138,Call
JOB00001840,2026-07-13 09:00:00,CCA126,Call
JOB00001841,2026-07-09 09:00:00,CCA103,App
JOB00001842,2026-07-10 09:00:00,CCA101,App
JOB00001843,2026-07-09 09:00:00,CCA148,Call
JOB00001844,2026-07-13 09:00:00,CCA148,Email
JOB00001845,2026-07-11 09:00:00,CCA115,Email
JOB00001846,2026-07-13 09:00:00,CCA149,Call
JOB00001847,2026-07-10 09:00:00,CCA113,Call
JOB00001848,2026-07-15 09:00:00,CCA139,App
JOB00001849,2026-07-11 09:00:00,CCA129,Email
JOB00001850,2026-07-12 09:00:00,CCA101,Visit
JOB00001851,2026-07-10 09:00:00,CCA100,Call
JOB00001852,2026-07-15 09:00:00,CCA100,Email
JOB00001853,2026-07-09 09:00:00,CCA121,Call
JOB00001854,2026-07-10 09:00:00,CCA117,Call
JOB00001855,2026-07-10 09:00:00,CCA103,App
JOB00001856,2026-07-13 09:00:00,CCA134,App
JOB00001857,2026-07-12 09:00:00,CCA122,App
JOB00001858,2026-07-11 09:00:00,CCA143,Email
JOB00001859,2026-07-09 09:00:00,CCA121,Call
JOB00001860,2026-07-11 09:00:00,CCA102,Email
JOB00001861,2026-07-13 09:00:00,CCA111,Visit
JOB00001862,2026-07-12 09:00:00,CCA139,Email
JOB00001863,2026-07-14 09:00:00,CCA108,App
JOB00001864,2026-07-10 09:00:00,CCA127,Email
JOB00001865,2026-07-09 09:00:00,CCA107,Email
JOB00001866,2026-07-15 09:00:00,CCA108,Call
JOB00001867,2026-07-11 09:00:00,CCA141,Email
JOB00001868,2026-07-15 09:00:00,CCA120,Call
JOB00001869,2026-07-14 09:00:00,CCA116,App
JOB00001870,2026-07-10 09:00:00,CCA131,App
JOB00001871,2026-07-11 09:00:00,CCA112,Email
JOB00001872,2026-07-13 09:00:00,CCA136,Email
JOB00001873,2026-07-09 09:00:00,CCA150,App
JOB00001874,2026-07-12 09:00:00,CCA102,App
JOB00001875,2026-07-13 09:00:00,CCA135,App
JOB00001876,2026-07-13 09:00:00,CCA147,Email
JOB00001877,2026-07-13 09:00:00,CCA128,Email
JOB00001878,2026-07-13 09:00:00,CCA148,Call
JOB00001879,2026-07-09 09:00:00,CCA141,App
JOB00001880,2026-07-12 09:00:00,CCA109,App
JOB00001881,2026-07-11 09:00:00,CCA132,App
JOB00001882,2026-07-13 09:00:00,CCA141,App
JOB00001883,2026-07-13 09:00:00,CCA120,Visit
JOB00001884,2026-07-12 09:00:00,CCA103,Call
JOB00001885,2026-07-10 09:00:00,CCA136,Visit
JOB00001886,2026-07-15 09:00:00,CCA127,Email
JOB00001887,2026-07-11 09:00:00,CCA142,Visit
JOB00001888,2026-07-11 09:00:00,CCA128,Call
JOB00001889,2026-07-11 09:00:00,CCA100,Email
JOB00001890,2026-07-09 09:00:00,CCA140,Visit
JOB00001891,2026-07-12 09:00:00,CCA104,App
JOB00001892,2026-07-11 09:00:00,CCA150,Visit
JOB00001893,2026-07-12 09:00:00,CCA137,Visit
JOB00001894,2026-07-15 09:00:00,CCA149,Visit
JOB00001895,2026-07-14 09:00:00,CCA110,App
JOB00001896,2026-07-10 09:00:00,CCA149,App
JOB00001897,2026-07-09 09:00:00,CCA123,App
JOB00001898,2026-07-12 09:00:00,CCA104,Visit
JOB00001899,2026-07-15 09:00:00,CCA100,Call
JOB00001900,2026-07-13 09:00:00,CCA129,Email
JOB00001901,2026-07-15 09:00:00,CCA107,Email
JOB00001902,2026-07-10 09:00:00,CCA145,Email
JOB00001903,2026-07-10 09:00:00,CCA149,App
JOB00001904,2026-07-12 09:00:00,CCA100,Call
JOB00001905,2026-07-15 09:00:00,CCA131,Visit
JOB00001906,2026-07-12 09:00:00,CCA138,Call
JOB00001907,2026-07-14 09:00:00,CCA101,Visit
JOB00001908,2026-07-11 09:00:00,CCA115,App
JOB00001909,2026-07-11 09:00:00,CCA112,Visit
JOB00001910,2026-07-13 09:00:00,CCA120,App
JOB00001911,2026-07-14 09:00:00,CCA117,App
JOB00001912,2026-07-15 09:00:00,CCA128,Call
JOB00001913,2026-07-14 09:00:00,CCA102,App
JOB00001914,2026-07-09 09:00:00,CCA131,Email
JOB00001915,2026-07-12 09:00:00,CCA117,Visit
JOB00001916,2026-07-10 09:00:00,CCA102,Call
JOB00001917,2026-07-15 09:00:00,CCA146,Call
JOB00001918,2026-07-14 09:00:00,CCA131,Email
JOB00001919,2026-07-11 09:00:00,CCA124,App
JOB00001920,2026-07-09 09:00:00,CCA146,App
JOB00001921,2026-07-10 09:00:00,CCA144,App
JOB00001922,2026-07-12 09:00:00,CCA105,Email
JOB00001923,2026-07-12 09:00:00,CCA131,Email
JOB00001924,2026-07-15 09:00:00,CCA147,Email
JOB00001925,2026-07-11 09:00:00,CCA132,App
JOB00001926,2026-07-12 09:00:00,CCA133,Visit
JOB00001927,2026-07-11 09:00:00,CCA146,App
JOB00001928,2026-07-11 09:00:00,CCA117,Visit
JOB00001929,2026-07-12 09:00:00,CCA123,Visit
JOB00001930,2026-07-14 09:00:00,CCA116,Call
JOB00001931,2026-07-14 09:00:00,CCA138,App
JOB00001932,2026-07-10 09:00:00,CCA113,Email
JOB00001933,2026-07-14 09:00:00,CCA111,Call
JOB00001934,2026-07-14 09:00:00,CCA108,Visit
JOB00001935,2026-07-14 09:00:00,CCA136,Visit
JOB00001936,2026-07-09 09:00:00,CCA136,Call
JOB00001937,2026-07-09 09:00:00,CCA144,Call
JOB00001938,2026-07-10 09:00:00,CCA142,Call
JOB00001939,2026-07-11 09:00:00,CCA117,Email
JOB00001940,2026-07-15 09:00:00,CCA126,App
JOB00001941,2026-07-15 09:00:00,CCA104,Email
JOB00001942,2026-07-15 09:00:00,CCA117,Call
JOB00001943,2026-07-14 09:00:00,CCA141,App
JOB00001944,2026-07-12 09:00:00,CCA118,Email
JOB00001945,2026-07-12 09:00:00,CCA137,Visit
JOB00001946,2026-07-13 09:00:00,CCA106,App
JOB00001947,2026-07-14 09:00:00,CCA119,Email
JOB00001948,2026-07-12 09:00:00,CCA125,App
JOB00001949,2026-07-15 09:00:00,CCA128,App
JOB00001950,2026-07-11 09:00:00,CCA146,App
JOB00001951,2026-07-12 09:00:00,CCA116,App
JOB00001952,2026-07-12 09:00:00,CCA135,Email
JOB00001953,2026-07-10 09:00:00,CCA132,Email
JOB00001954,2026-07-15 09:00:00,CCA108,App
JOB00001955,2026-07-11 09:00:00,CCA120,Visit
JOB00001956,2026-07-09 09:00:00,CCA123,Call
JOB00001957,2026-07-11 09:00:00,CCA139,App
JOB00001958,2026-07-13 09:00:00,CCA137,App
JOB00001959,2026-07-10 09:00:00,CCA123,Email
JOB00001960,2026-07-14 09:00:00,CCA109,Visit
JOB00001961,2026-07-09 09:00:00,CCA104,Email
JOB00001962,2026-07-14 09:00:00,CCA126,Visit
JOB00001963,2026-07-13 09:00:00,CCA129,Visit
JOB00001964,2026-07-14 09:00:00,CCA127,Email
JOB00001965,2026-07-09 09:00:00,CCA124,App
JOB00001966,2026-07-10 09:00:00,CCA126,App
JOB00001967,2026-07-10 09:00:00,CCA102,Visit
JOB00001968,2026-07-10 09:00:00,CCA116,Visit
JOB00001969,2026-07-09 09:00:00,CCA105,Visit
JOB00001970,2026-07-13 09:00:00,CCA115,Call
JOB00001971,2026-07-09 09:00:00,CCA107,Email
JOB00001972,2026-07-14 09:00:00,CCA125,Email
JOB00001973,2026-07-11 09:00:00,CCA134,Email
JOB00001974,2026-07-11 09:00:00,CCA131,Email
JOB00001975,2026-07-11 09:00:00,CCA144,Email
JOB00001976,2026-07-11 09:00:00,CCA136,App
JOB00001977,2026-07-09 09:00:00,CCA104,Email
JOB00001978,2026-07-10 09:00:00,CCA138,App
JOB00001979,2026-07-11 09:00:00,CCA129,Visit
JOB00001980,2026-07-11 09:00:00,CCA128,Visit
JOB00001981,2026-07-14 09:00:00,CCA129,Call
JOB00001982,2026-07-14 09:00:00,CCA121,Email
JOB00001983,2026-07-12 09:00:00,CCA139,App
JOB00001984,2026-07-10 09:00:00,CCA113,Email
JOB00001985,2026-07-14 09:00:00,CCA134,App
JOB00001986,2026-07-14 09:00:00,CCA104,App
JOB00001987,2026-07-14 09:00:00,CCA109,Email
JOB00001988,2026-07-14 09:00:00,CCA102,Call
JOB00001989,2026-07-13 09:00:00,CCA147,Call
JOB00001990,2026-07-15 09:00:00,CCA127,Visit
JOB00001991,2026-07-11 09:00:00,CCA138,Email
JOB00001992,2026-07-14 09:00:00,CCA126,Visit
JOB00001993,2026-07-13 09:00:00,CCA125,Email
JOB00001994,2026-07-10 09:00:00,CCA133,Email
JOB00001995,2026-07-15 09:00:00,CCA131,App
JOB00001996,2026-07-10 09:00:00,CCA130,Call
JOB00001997,2026-07-09 09:00:00,CCA108,App
JOB00001998,2026-07-15 09:00:00,CCA138,Call
JOB00001999,2026-07-14 09:00:00,CCA120,Visit
JOB00002000,2026-07-15 09:00:00,CCA112,App
JOB00002001,2026-07-10 09:00:00,CCA108,Call
JOB00002002,2026-07-15 09:00:00,CCA140,Call
JOB00002003,2026-07-13 09:00:00,CCA140,Email
JOB00002004,2026-07-11 09:00:00,CCA150,App
JOB00002005,2026-07-10 09:00:00,CCA146,Email
JOB00002006,2026-07-12 09:00:00,CCA111,Visit
JOB00002007,2026-07-09 09:00:00,CCA125,Email
JOB00002008,2026-07-12 09:00:00,CCA113,Visit
JOB00002009,2026-07-13 09:00:00,CCA143,Email
JOB00002010,2026-07-09 09:00:00,CCA109,Email
JOB00002011,2026-07-10 09:00:00,CCA108,App
JOB00002012,2026-07-10 09:00:00,CCA115,Call
JOB00002013,2026-07-11 09:00:00,CCA115,Call
JOB00002014,2026-07-14 09:00:00,CCA120,Email
JOB00002015,2026-07-15 09:00:00,CCA148,Email
JOB00002016,2026-07-09 09:00:00,CCA117,Visit
JOB00002017,2026-07-09 09:00:00,CCA118,Email
JOB00002018,2026-07-10 09:00:00,CCA103,App
JOB00002019,2026-07-11 09:00:00,CCA100,Visit
JOB00002020,2026-07-14 09:00:00,CCA111,Call
JOB00002021,2026-07-15 09:00:00,CCA140,App
JOB00002022,2026-07-09 09:00:00,CCA116,Email
JOB00002023,2026-07-09 09:00:00,CCA150,Visit
JOB00002024,2026-07-09 09:00:00,CCA139,Call
JOB00002025,2026-07-12 09:00:00,CCA106,Visit
JOB00002026,2026-07-10 09:00:00,CCA121,Visit
JOB00002027,2026-07-10 09:00:00,CCA130,Visit
JOB00002028,2026-07-12 09:00:00,CCA122,Email
JOB00002029,2026-07-11 09:00:00,CCA125,Call
JOB00002030,2026-07-12 09:00:00,CCA128,Email
JOB00002031,2026-07-12 09:00:00,CCA121,Email
JOB00002032,2026-07-11 09:00:00,CCA106,Email
JOB00002033,2026-07-12 09:00:00,CCA111,App
JOB00002034,2026-07-12 09:00:00,CCA106,Email
JOB00002035,2026-07-14 09:00:00,CCA137,Visit
JOB00002036,2026-07-15 09:00:00,CCA147,Visit
JOB00002037,2026-07-13 09:00:00,CCA111,App
JOB00002038,2026-07-14 09:00:00,CCA108,Call
JOB00002039,2026-07-11 09:00:00,CCA141,Call
JOB00002040,2026-07-10 09:00:00,CCA114,Visit
JOB00002041,2026-07-13 09:00:00,CCA127,Visit
JOB00002042,2026-07-12 09:00:00,CCA147,Email
JOB00002043,2026-07-13 09:00:00,CCA118,App
JOB00002044,2026-07-12 09:00:00,CCA113,Call
JOB00002045,2026-07-15 09:00:00,CCA138,Call
JOB00002046,2026-07-10 09:00:00,CCA107,Call
JOB00002047,2026-07-10 09:00:00,CCA122,Visit
JOB00002048,2026-07-13 09:00:00,CCA150,Email
JOB00002049,2026-07-11 09:00:00,CCA142,Call
JOB00002050,2026-07-11 09:00:00,CCA105,Call
JOB00002051,2026-07-12 09:00:00,CCA111,Visit
