date,region,job_type,detailed_category,number_of_jobs,jobs_hours
2026-08-29,South East,Repair,Leak,336,656
2026-08-30,South East,Repair,Leak,310,423
2026-08-31,South East,Repair,Boiler Breakdown,192,418
2026-09-01,South East,Service,Annual Service,328,548
2026-09-02,South East,Repair,Boiler Breakdown,126,856
2026-09-03,South East,Service,Boiler Breakdown,224,730
2026-09-04,South East,Repair,Leak,173,248
2026-09-05,South East,Service,Leak,344,961
2026-09-06,South East,Repair,Annual Service,276,601
2026-09-07,South East,Repair,Leak,406,990
2026-09-08,South East,Repair,Boiler Breakdown,100,871
2026-09-09,South East,Repair,Leak,426,354
2026-09-10,South East,Repair,Boiler Breakdown,209,395
2026-09-11,South East,Service,Leak,446,611
2026-09-12,South East,Service,Annual Service,310,246
2026-09-13,South East,Service,Annual Service,465,894
2026-09-14,South East,Service,Leak,201,798
2026-09-15,South East,Repair,Boiler Breakdown,142,780
2026-09-16,South East,Repair,Leak,137,604
2026-09-17,South East,Repair,Boiler Breakdown,292,774
2026-09-18,South East,Service,Leak,153,449
2026-09-19,South East,Service,Boiler Breakdown,413,477
2026-09-20,South East,Service,Leak,300,344
2026-09-21,South East,Repair,Annual Service,239,853
2026-09-22,South East,Repair,Boiler Breakdown,409,554
2026-09-23,South East,Repair,Annual Service,138,484
2026-09-24,South East,Service,Leak,466,429
2026-09-25,South East,Service,Boiler Breakdown,202,418
2026-09-26,South East,Service,Annual Service,304,701
2026-09-27,South East,Repair,Boiler Breakdown,132,746
2026-09-28,South East,Repair,Annual Service,254,541
2026-09-29,South East,Repair,Annual Service,164,898
2026-09-30,South East,Repair,Boiler Breakdown,451,288
2026-10-01,South East,Service,Boiler Breakdown,171,353
2026-10-02,South East,Service,Leak,107,515
2026-10-03,South East,Service,Annual Service,487,644
2026-10-04,South East,Repair,Annual Service,439,704
2026-10-05,South East,Repair,Boiler Breakdown,470,888
2026-10-06,South East,Repair,Annual Service,247,384
2026-10-07,South East,Repair,Boiler Breakdown,383,699
2026-10-08,South East,Service,Annual Service,485,357
2026-10-09,South East,Repair,Leak,265,765
2026-10-10,South East,Service,Leak,158,448
2026-10-11,South East,Service,Annual Service,211,937
2026-10-12,South East,Repair,Boiler Breakdown,446,615
2026-10-13,South East,Service,Leak,140,876
2026-10-14,South East,Service,Boiler Breakdown,272,917
2026-10-15,South East,Repair,Annual Service,317,200
2026-10-16,South East,Repair,Annual Service,411,804
2026-10-17,South East,Repair,Annual Service,282,272
2026-10-18,South East,Service,Boiler Breakdown,279,406
2026-10-19,South East,Repair,Annual Service,121,458
2026-10-20,South East,Service,Boiler Breakdown,375,849
2026-10-21,South East,Repair,Leak,296,767
2026-10-22,South East,Repair,Annual Service,496,460
2026-10-23,South East,Service,Leak,369,537
2026-10-24,South East,Service,Annual Service,456,749
2026-10-25,South East,Service,Boiler Breakdown,413,333
2026-10-26,South East,Repair,Leak,310,265
2026-10-27,South East,Repair,Leak,336,748
2026-10-28,South East,Repair,Boiler Breakdown,111,760
2026-10-29,South East,Repair,Leak,363,977
2026-07-09,South West,Repair,Leak,354,430
2026-07-10,South West,Service,Boiler Breakdown,154,883
2026-07-11,South West,Repair,Annual Service,149,404
2026-07-12,South West,Repair,Leak,449,225
2026-07-13,South West,Repair,Leak,416,958
2026-07-14,South West,Service,Boiler Breakdown,356,831
2026-07-15,South West,Service,Annual Service,451,410
2026-07-16,South West,Service,Boiler Breakdown,427,640
2026-07-17,South West,Service,Boiler Breakdown,123,933
2026-07-18,South West,Service,Boiler Breakdown,158,486
2026-07-19,South West,Service,Annual Service,191,350
2026-07-20,South West,Repair,Boiler Breakdown,141,651
2026-07-21,South West,Repair,Boiler Breakdown,116,942
2026-07-22,South West,Repair,Boiler Breakdown,450,441
2026-07-23,South West,Service,Annual Service,376,395
2026-07-24,South West,Service,Annual Service,239,342
2026-07-25,South West,Service,Annual Service,166,384
2026-07-26,South West,Service,Annual Service,111,976
2026-07-27,South West,Service,Leak,241,989
2026-07-28,South West,Service,Leak,301,463
2026-07-29,South West,Repair,Annual Service,230,386
2026-07-30,South West,Service,Leak,281,663
2026-07-31,South West,Repair,Boiler Breakdown,435,270
2026-08-01,South West,Repair,Annual Service,130,767
2026-08-02,South West,Repair,Annual Service,170,205
2026-08-03,South West,Repair,Leak,261,964
2026-08-04,South West,Service,Boiler Breakdown,426,646
2026-08-05,South West,Service,Leak,218,911
2026-08-07,South West,Service,Annual Service,465,853
2026-08-08,South West,Repair,Leak,329,813
2026-08-09,South West,Repair,Boiler Breakdown,155,355
2026-08-10,South West,Repair,Annual Service,409,783
2026-08-11,South West,Service,Annual Service,185,625
2026-08-12,South West,Repair,Leak,164,754
2026-08-13,South West,Service,Annual Service,428,854
2026-08-14,South West,Service,Boiler Breakdown,355,712
2026-08-15,South West,Repair,Leak,426,303
2026-08-16,South West,Repair,Leak,301,456
2026-08-17,South West,Repair,Leak,186,906
2026-08-18,South West,Service,Boiler Breakdown,458,754
2026-08-19,South West,Repair,Boiler Breakdown,217,485
2026-08-20,South West,Service,Boiler Breakdown,132,699
2026-08-21,South West,Repair,Leak,180,654
2026-08-22,South West,Service,Annual Service,218,659
2026-08-23,South West,Repair,Annual Service,209,890
2026-08-24,South West,Repair,Annual Service,384,766
2026-08-25,South West,Repair,Annual Service,196,669
2026-08-26,South West,Service,Annual Service,131,483
2026-08-27,South West,Service,Leak,313,343
2026-08-28,South West,Service,Annual Service,337,432
2026-08-29,South West,Service,Leak,255,602
2026-08-30,South West,Service,Leak,378,410
2026-08-31,South West,Repair,Annual Service,442,793
2026-09-01,South West,Service,Boiler Breakdown,329,649
2026-09-02,South West,Repair,Boiler Breakdown,421,774
2026-09-03,South West,Repair,Annual Service,229,258
2026-09-04,South West,Repair,Annual Service,421,643
2026-09-05,South West,Service,Annual Service,271,480
2026-09-06,South West,Service,Leak,469,952
2026-09-07,South West,Service,Boiler Breakdown,163,618
2026-09-08,South West,Repair,Boiler Breakdown,331,590
2026-09-09,South West,Repair,Leak,291,957
2026-09-10,South West,Service,Boiler Breakdown,179,901
2026-09-11,South West,Service,Annual Service,140,675
2026-09-12,South West,Repair,Leak,241,620
2026-09-13,South West,Service,Boiler Breakdown,491,899
2026-09-14,South West,Repair,Leak,479,622
2026-09-15,South West,Service,Leak,112,500
2026-09-16,South West,Repair,Annual Service,183,980
2026-09-17,South West,Service,Boiler Breakdown,418,448
2026-09-18,South West,Repair,Boiler Breakdown,376,460
2026-09-19,South West,Service,Annual Service,411,383
2026-09-20,South West,Repair,Boiler Breakdown,456,761
2026-09-21,South West,Service,Boiler Breakdown,107,599
2026-09-22,South West,Repair,Leak,249,436
2026-09-23,South West,Service,Boiler Breakdown,184,806
2026-09-24,South West,Repair,Leak,256,343
2026-09-25,South West,Service,Leak,424,857
2026-09-26,South West,Repair,Boiler Breakdown,139,413
2026-09-27,South West,Service,Leak,318,246
2026-09-28,South West,Repair,Annual Service,230,737
2026-09-29,South West,Repair,Boiler Breakdown,250,443
2026-09-30,South West,Service,Annual Service,282,529
2026-10-01,South West,Service,Leak,306,526
2026-10-02,South West,Repair,Leak,291,603
2026-10-03,South West,Service,Annual Service,390,384
2026-10-04,South West,Service,Boiler Breakdown,365,866
2026-10-05,South West,Repair,Leak,101,299
2026-10-06,South West,Repair,Boiler Breakdown,324,437
2026-10-07,South West,Service,Leak,309,564
2026-10-08,South West,Repair,Annual Service,139,375
2026-10-09,South West,Service,Boiler Breakdown,244,538
2026-10-10,South West,Repair,Boiler Breakdown,164,466
2026-10-11,South West,Repair,Boiler Breakdown,381,967
2026-10-12,South West,Repair,Leak,189,544
2026-10-13,South West,Service,Annual Service,324,335
2026-10-14,South West,Service,Boiler Breakdown,221,994
2026-10-15,South West,Service,Annual Service,146,868
2026-10-16,South West,Service,Annual Service,398,258
2026-10-17,South West,Repair,Leak,277,934
2026-10-18,South West,Service,Annual Service,496,770
2026-10-19,South West,Service,Boiler Breakdown,236,728
2026-10-20,South West,Repair,Annual Service,461,605
2026-10-21,South West,Repair,Boiler Breakdown,391,435
2026-10-22,South West,Repair,Annual Service,223,431
2026-10-23,South West,Repair,Boiler Breakdown,448,1000
2026-10-24,South West,Repair,Leak,491,404
2026-10-25,South West,Repair,Boiler Breakdown,470,821
2026-10-26,South West,Service,Leak,266,320
2026-10-27,South West,Service,Boiler Breakdown,428,375
2026-10-28,South West,Service,Boiler Breakdown,169,461
2026-10-29,South West,Repair,Annual Service,284,973
2026-07-09,Midlands,Service,Leak,491,961
2026-07-10,Midlands,Repair,Leak,259,876
2026-07-11,Midlands,Repair,Annual Service,475,281
2026-07-12,Midlands,Service,Boiler Breakdown,132,687
2026-07-13,Midlands,Repair,Boiler Breakdown,110,794
2026-07-14,Midlands,Service,Annual Service,155,580
2026-07-15,Midlands,Service,Annual Service,474,481
2026-07-16,Midlands,Service,Leak,386,943
2026-07-17,Midlands,Service,Boiler Breakdown,228,993
2026-07-18,Midlands,Service,Boiler Breakdown,138,949
2026-07-19,Midlands,Repair,Annual Service,150,309
2026-07-20,Midlands,Repair,Boiler Breakdown,201,490
2026-07-21,Midlands,Service,Boiler Breakdown,236,330
2026-07-22,Midlands,Service,Boiler Breakdown,284,616
2026-07-23,Midlands,Service,Annual Service,114,423
2026-07-24,Midlands,Service,Leak,139,481
2026-07-25,Midlands,Repair,Annual Service,443,369
2026-07-26,Midlands,Service,Annual Service,299,376
2026-07-27,Midlands,Service,Leak,365,684
2026-07-28,Midlands,Repair,Annual Service,304,574
2026-07-29,Midlands,Repair,Leak,338,724
2026-07-30,Midlands,Service,Annual Service,429,885
2026-07-31,Midlands,Service,Annual Service,314,871
2026-08-01,Midlands,Service,Leak,287,753
2026-08-02,Midlands,Service,Leak,362,617
2026-08-03,Midlands,Repair,Boiler Breakdown,329,670
2026-08-04,Midlands,Repair,Boiler Breakdown,380,689
2026-08-05,Midlands,Repair,Leak,272,493
2026-08-07,Midlands,Service,Annual Service,476,539
2026-08-08,Midlands,Service,Boiler Breakdown,307,608
2026-08-09,Midlands,Repair,Annual Service,452,377
2026-08-10,Midlands,Repair,Leak,423,583
2026-08-11,Midlands,Repair,Leak,476,368
2026-08-12,Midlands,Service,Leak,270,771
2026-08-13,Midlands,Service,Annual Service,340,269
2026-08-14,Midlands,Repair,Boiler Breakdown,240,207
2026-08-15,Midlands,Repair,Leak,463,238
2026-08-16,Midlands,Service,Boiler Breakdown,486,300
2026-08-17,Midlands,Service,Leak,485,348
2026-08-18,Midlands,Repair,Annual Service,215,361
2026-08-19,Midlands,Service,Boiler Breakdown,263,249
2026-08-20,Midlands,Service,Leak,450,375
2026-08-21,Midlands,Repair,Leak,233,861
2026-08-22,Midlands,Service,Leak,222,939
2026-08-23,Midlands,Service,Leak,340,340
2026-08-24,Midlands,Repair,Boiler Breakdown,348,709
2026-08-25,Midlands,Service,Boiler Breakdown,314,522
2026-08-26,Midlands,Repair,Boiler Breakdown,152,909
2026-08-27,Midlands,Repair,Boiler Breakdown,259,230
2026-08-28,Midlands,Repair,Leak,403,614
2026-08-29,Midlands,Service,Boiler Breakdown,406,833
2026-08-30,Midlands,Service,Boiler Breakdown,247,489
2026-08-31,Midlands,Repair,Boiler Breakdown,246,215
2026-09-01,Midlands,Repair,Annual Service,290,567
2026-09-02,Midlands,Repair,Leak,316,777
2026-09-03,Midlands,Service,Leak,372,333
2026-09-04,Midlands,Service,Leak,148,914
2026-09-05,Midlands,Repair,Boiler Breakdown,119,956
2026-09-06,Midlands,Repair,Boiler Breakdown,485,947
2026-09-07,Midlands,Repair,Annual Service,138,869
2026-09-08,Midlands,Service,Annual Service,243,710
2026-09-09,Midlands,Repair,Leak,310,520
2026-09-10,Midlands,Repair,Boiler Breakdown,345,571
2026-09-11,Midlands,Service,Annual Service,272,765
2026-09-12,Midlands,Service,Leak,446,710
2026-09-13,Midlands,Repair,Annual Service,160,392
2026-09-14,Midlands,Repair,Annual Service,155,441
2026-09-15,Midlands,Service,Leak,149,777
2026-09-16,Midlands,Service,Annual Service,488,759
2026-09-17,Midlands,Repair,Annual Service,432,327
2026-09-18,Midlands,Service,Leak,431,919
2026-09-19,Midlands,Service,Leak,185,560
2026-09-20,Midlands,Repair,Annual Service,216,318
2026-09-21,Midlands,Service,Leak,429,530
2026-09-22,Midlands,Repair,Boiler Breakdown,359,854
2026-09-23,Midlands,Service,Leak,228,845
2026-09-24,Midlands,Service,Annual Service,143,927
2026-09-25,Midlands,Service,Boiler Breakdown,498,485
2026-09-26,Midlands,Service,Boiler Breakdown,167,585
2026-09-27,Midlands,Service,Annual Service,289,274
2026-09-28,Midlands,Repair,Leak,150,801
2026-09-29,Midlands,Service,Boiler Breakdown,388,487
2026-09-30,Midlands,Repair,Leak,154,564
2026-10-01,Midlands,Repair,Leak,223,857
2026-10-02,Midlands,Service,Annual Service,220,585
2026-10-03,Midlands,Service,Leak,333,739
2026-10-04,Midlands,Service,Annual Service,144,998
2026-10-05,Midlands,Repair,Leak,359,601
2026-10-06,Midlands,Repair,Boiler Breakdown,254,628
2026-10-07,Midlands,Repair,Boiler Breakdown,385,788
2026-10-08,Midlands,Repair,Annual Service,203,814
2026-10-09,Midlands,Repair,Boiler Breakdown,187,716
2026-10-10,Midlands,Repair,Leak,256,442
2026-10-11,Midlands,Service,Boiler Breakdown,215,466
2026-10-12,Midlands,Repair,Boiler Breakdown,460,488
2026-10-13,Midlands,Repair,Annual Service,449,518
2026-10-14,Midlands,Service,Annual Service,491,762
2026-10-15,Midlands,Repair,Leak,449,965
2026-10-16,Midlands,Service,Leak,349,871
2026-10-17,Midlands,Service,Boiler Breakdown,245,759
2026-10-18,Midlands,Service,Boiler Breakdown,317,924
2026-10-19,Midlands,Repair,Annual Service,294,617
2026-10-20,Midlands,Repair,Boiler Breakdown,407,809
2026-10-21,Midlands,Service,Annual Service,364,445
2026-10-22,Midlands,Repair,Annual Service,363,702
2026-10-23,Midlands,Service,Boiler Breakdown,172,680
2026-10-24,Midlands,Service,Annual Service,350,698
2026-10-25,Midlands,Service,Leak,424,546
2026-10-26,Midlands,Repair,Boiler Breakdown,275,992
2026-10-27,Midlands,Service,Boiler Breakdown,473,821
2026-10-28,Midlands,Repair,Leak,273,956
2026-10-29,Midlands,Repair,Boiler Breakdown,457,560
2026-07-09,North West,Repair,Boiler Breakdown,278,537
2026-07-10,North West,Repair,Boiler Breakdown,461,200
2026-07-11,North West,Repair,Leak,197,719
2026-07-12,North West,Repair,Leak,237,824
2026-07-13,North West,Repair,Leak,131,347
2026-07-14,North West,Repair,Boiler Breakdown,215,375
2026-07-15,North West,Service,Annual Service,493,494
2026-07-16,North West,Repair,Boiler Breakdown,115,785
2026-07-17,North West,Repair,Annual Service,450,810
2026-07-18,North West,Service,Boiler Breakdown,112,661
2026-07-19,North West,Repair,Leak,139,862
2026-07-20,North West,Repair,Leak,152,752
2026-07-21,North West,Repair,Annual Service,489,431
2026-07-22,North West,Repair,Boiler Breakdown,189,364
2026-07-23,North West,Service,Leak,192,296
2026-07-24,North West,Service,Leak,151,877
2026-07-25,North West,Repair,Annual Service,196,879
2026-07-26,North West,Repair,Leak,299,207
2026-07-27,North West,Repair,Annual Service,401,463
2026-07-28,North West,Repair,Boiler Breakdown,269,708
2026-07-29,North West,Service,Boiler Breakdown,222,339
2026-07-30,North West,Repair,Annual Service,475,831
2026-07-31,North West,Repair,Boiler Breakdown,319,502
2026-08-01,North West,Repair,Leak,128,485
2026-08-02,North West,Repair,Boiler Breakdown,150,359
2026-08-03,North West,Service,Annual Service,307,512
2026-08-04,North West,Repair,Leak,360,907
2026-08-05,North West,Repair,Leak,161,982
2026-08-07,North West,Service,Leak,300,756
2026-08-08,North West,Repair,Leak,223,674
2026-08-09,North West,Service,Annual Service,330,640
2026-08-10,North West,Repair,Leak,266,552
2026-08-11,North West,Service,Boiler Breakdown,174,400
2026-08-12,North West,Repair,Boiler Breakdown,485,328
2026-08-13,North West,Service,Leak,352,634
2026-08-14,North West,Repair,Annual Service,394,826
2026-08-15,North West,Service,Annual Service,114,414
2026-08-16,North West,Repair,Annual Service,350,840
2026-08-17,North West,Service,Boiler Breakdown,159,224
2026-08-18,North West,Repair,Boiler Breakdown,439,354
2026-08-19,North West,Repair,Leak,326,673
2026-08-20,North West,Service,Leak,348,466
2026-08-21,North West,Repair,Leak,344,414
2026-08-22,North West,Repair,Annual Service,432,557
2026-08-23,North West,Service,Annual Service,444,256
2026-08-24,North West,Service,Leak,387,587
2026-08-25,North West,Service,Leak,404,669
2026-08-26,North West,Repair,Leak,302,932
2026-08-27,North West,Repair,Leak,299,653
2026-08-28,North West,Repair,Leak,485,371
2026-08-29,North West,Repair,Boiler Breakdown,124,304
2026-08-30,North West,Service,Boiler Breakdown,491,846
2026-08-31,North West,Repair,Annual Service,456,779
2026-09-01,North West,Repair,Leak,249,666
2026-09-02,North West,Service,Annual Service,463,957
2026-09-03,North West,Service,Annual Service,318,718
2026-09-04,North West,Service,Boiler Breakdown,306,767
2026-09-05,North West,Service,Leak,141,425
2026-09-06,North West,Repair,Leak,434,674
2026-09-07,North West,Repair,Boiler Breakdown,112,623
2026-09-08,North West,Service,Boiler Breakdown,200,588
2026-09-09,North West,Repair,Leak,427,999
2026-09-10,North West,Repair,Boiler Breakdown,330,232
2026-09-11,North West,Service,Boiler Breakdown,380,727
2026-09-12,North West,Service,Leak,272,802
2026-09-13,North West,Service,Annual Service,500,493
2026-09-14,North West,Repair,Annual Service,193,881
2026-09-15,North West,Service,Leak,158,496
2026-09-16,North West,Service,Annual Service,259,623
2026-09-17,North West,Service,Leak,484,288
2026-09-18,North West,Repair,Annual Service,105,800
2026-09-19,North West,Repair,Boiler Breakdown,265,685
2026-09-20,North West,Service,Boiler Breakdown,491,935
2026-09-21,North West,Service,Boiler Breakdown,116,777
2026-09-22,North West,Repair,Boiler Breakdown,123,568
2026-09-23,North West,Repair,Boiler Breakdown,295,247
2026-09-24,North West,Service,Leak,477,391
2026-09-25,North West,Repair,Leak,297,582
2026-09-26,North West,Service,Annual Service,435,773
2026-09-27,North West,Service,Leak,300,252
2026-09-28,North West,Service,Boiler Breakdown,279,920
2026-09-29,North West,Service,Boiler Breakdown,186,859
2026-09-30,North West,Service,Boiler Breakdown,119,322
2026-10-01,North West,Repair,Leak,250,995
2026-10-02,North West,Service,Leak,480,358
2026-10-03,North West,Repair,Boiler Breakdown,337,719
2026-10-04,North West,Service,Boiler Breakdown,374,201
2026-10-05,North West,Repair,Boiler Breakdown,289,397
2026-10-06,North West,Service,Annual Service,304,595
2026-10-07,North West,Service,Leak,290,858
2026-10-08,North West,Repair,Leak,356,350
2026-10-09,North West,Repair,Leak,339,868
2026-10-10,North West,Repair,Annual Service,354,571
2026-10-11,North West,Repair,Leak,182,370
2026-10-12,North West,Service,Leak,301,344
2026-10-13,North West,Service,Boiler Breakdown,298,774
2026-10-14,North West,Repair,Boiler Breakdown,204,868
2026-10-15,North West,Service,Leak,343,411
2026-10-16,North West,Repair,Boiler Breakdown,429,899
2026-10-17,North West,Repair,Leak,315,807
2026-10-18,North West,Repair,Leak,482,433
2026-10-19,North West,Service,Boiler Breakdown,402,980
2026-10-20,North West,Repair,Boiler Breakdown,235,842
2026-10-21,North West,Service,Boiler Breakdown,413,875
2026-10-22,North West,Service,Leak,225,546
2026-10-23,North West,Repair,Boiler Breakdown,183,543
2026-10-24,North West,Service,Annual Service,264,779
2026-10-25,North West,Repair,Leak,310,308
2026-10-26,North West,Service,Leak,429,550
2026-10-27,North West,Repair,Leak,493,445
2026-10-28,North West,Repair,Leak,297,583
2026-10-29,North West,Repair,Annual Service,186,205
2026-07-09,North East,Repair,Annual Service,292,968
2026-07-10,North East,Service,Boiler Breakdown,331,459
2026-07-11,North East,Repair,Leak,122,277
2026-07-12,North East,Service,Leak,238,720
2026-07-13,North East,Repair,Boiler Breakdown,337,289
2026-07-14,North East,Repair,Boiler Breakdown,142,988
2026-07-15,North East,Repair,Annual Service,197,575
2026-07-16,North East,Repair,Leak,190,526
2026-07-17,North East,Service,Annual Service,495,870
2026-07-18,North East,Service,Leak,175,501
